geo,time,sl_agr_empl_fe_zs
afg,1991,76.38
afg,1992,76.41
afg,1993,76.76
afg,1994,76.34
afg,1995,76.65
afg,1996,77.05
afg,1997,77.41
afg,1998,77.75
afg,1999,78.19
afg,2000,78.79
afg,2001,79.64
afg,2002,78.72
afg,2003,78.39
afg,2004,78.96
afg,2005,78.09
afg,2006,77.64
afg,2007,76.38
afg,2008,76.16
afg,2009,74.22
afg,2010,72.9
afg,2011,72.41
afg,2012,70.95
afg,2013,69.99
afg,2014,69.18
afg,2015,68.6
afg,2016,67.56
afg,2017,66.22
afg,2018,65.77
afg,2019,64.96
ago,1991,45.75
ago,1992,46.57
ago,1993,47.1
ago,1994,47.46
ago,1995,46.82
ago,1996,46.24
ago,1997,45.47
ago,1998,44.42
ago,1999,45.24
ago,2000,44.93
ago,2001,44.1
ago,2002,43.99
ago,2003,43.98
ago,2004,44.23
ago,2005,46.08
ago,2006,47.78
ago,2007,49.38
ago,2008,51.14
ago,2009,52.75
ago,2010,55.47
ago,2011,58.01
ago,2012,58.45
ago,2013,58.46
ago,2014,58.2
ago,2015,57.8
ago,2016,57.52
ago,2017,57.2
ago,2018,57.06
ago,2019,56.78
alb,1991,66.16
alb,1992,65.1
alb,1993,64.57
alb,1994,63.97
alb,1995,63.27
alb,1996,64.84
alb,1997,65.49
alb,1998,65.02
alb,1999,64.75
alb,2000,63.98
alb,2001,63.2
alb,2002,62.19
alb,2003,61.06
alb,2004,60.35
alb,2005,59.66
alb,2006,58.54
alb,2007,57.73
alb,2008,56.89
alb,2009,57.22
alb,2010,53.09
alb,2011,54.37
alb,2012,57
alb,2013,53.17
alb,2014,49.88
alb,2015,47.68
alb,2016,45.23
alb,2017,42.39
alb,2018,42.28
alb,2019,41.63
are,1991,0.07
are,1992,0.07
are,1993,0.06
are,1994,0.06
are,1995,0.06
are,1996,0.06
are,1997,0.06
are,1998,0.06
are,1999,0.06
are,2000,0.06
are,2001,0.05
are,2002,0.05
are,2003,0.04
are,2004,0.04
are,2005,0.04
are,2006,0.03
are,2007,0.03
are,2008,0.03
are,2009,0.02
are,2010,0.02
are,2011,0.02
are,2012,0.02
are,2013,0.02
are,2014,0.01
are,2015,0.01
are,2016,0.01
are,2017,0.01
are,2018,0.01
are,2019,0.01
arg,1991,0.14
arg,1992,0.32
arg,1993,0.3
arg,1994,0.24
arg,1995,0.37
arg,1996,0.22
arg,1997,0.26
arg,1998,0.23
arg,1999,0.24
arg,2000,0.24
arg,2001,0.3
arg,2002,0.47
arg,2003,0.98
arg,2004,0.97
arg,2005,0.73
arg,2006,0.49
arg,2007,0.42
arg,2008,0.35
arg,2009,0.4
arg,2010,0.38
arg,2011,0.29
arg,2012,0.29
arg,2013,0.23
arg,2014,0.16
arg,2015,0.07
arg,2016,0.03
arg,2017,0.02
arg,2018,0.06
arg,2019,0.03
arm,1991,48.52
arm,1992,48.34
arm,1993,48.29
arm,1994,48.59
arm,1995,48.75
arm,1996,48.8
arm,1997,48.73
arm,1998,48.55
arm,1999,48.23
arm,2000,47.94
arm,2001,47.46
arm,2002,46.97
arm,2003,46.31
arm,2004,45.74
arm,2005,45.24
arm,2006,44.53
arm,2007,43.86
arm,2008,44.88
arm,2009,45.74
arm,2010,47.27
arm,2011,45.62
arm,2012,44.01
arm,2013,44.72
arm,2014,40.57
arm,2015,40.08
arm,2016,36.91
arm,2017,34.86
arm,2018,28.65
arm,2019,26.89
aus,1991,3.85
aus,1992,3.61
aus,1993,3.62
aus,1994,3.52
aus,1995,3.49
aus,1996,3.39
aus,1997,3.47
aus,1998,3.45
aus,1999,3.5
aus,2000,3.43
aus,2001,3.45
aus,2002,3.03
aus,2003,2.62
aus,2004,2.68
aus,2005,2.45
aus,2006,2.36
aus,2007,2.27
aus,2008,2.22
aus,2009,2.22
aus,2010,2.28
aus,2011,1.89
aus,2012,1.92
aus,2013,1.67
aus,2014,1.83
aus,2015,1.85
