geo,time,sl_emp_1524_sp_ne_zs
afg,2008,52.64
afg,2012,37.64
afg,2014,43.63
afg,2017,32.36
afg,2020,28.45
ago,2004,21.58
ago,2009,38.49
ago,2010,46.12
ago,2011,48
ago,2014,21.58
alb,2007,22.14
alb,2008,24.12
alb,2009,25.29
alb,2010,23.38
alb,2011,34.11
alb,2012,25.62
alb,2013,18.96
alb,2014,17.41
alb,2015,18.79
alb,2016,20.06
alb,2017,21.62
alb,2018,25.65
alb,2019,26.72
are,2017,48.78
are,2018,50.83
are,2019,45.62
are,2020,34.27
arg,2004,33.41
arg,2005,33.48
arg,2006,34.74
arg,2008,34.54
arg,2009,33.42
arg,2010,33.11
arg,2011,33.25
arg,2012,33.11
arg,2013,32.31
arg,2014,31.33
arg,2017,30.14
arg,2018,30.06
arg,2019,28.92
arg,2020,23.11
arm,2007,19.68
arm,2008,18.21
arm,2009,17.62
arm,2010,22.8
arm,2011,23.94
arm,2012,21.08
arm,2013,25.37
arm,2014,23.67
arm,2015,26.86
arm,2016,22.07
arm,2017,21.71
arm,2018,23.66
arm,2019,25.24
arm,2020,22.12
aus,1979,61.33
aus,1980,63.13
aus,1981,63.92
aus,1982,61.82
aus,1983,58.24
aus,1984,59.11
aus,1985,60.42
aus,1986,61.17
aus,1987,60.65
aus,1988,61.51
aus,1989,64.05
aus,1990,62.72
aus,1991,57.48
aus,1992,56.01
aus,1993,55.98
aus,1994,58.66
aus,1995,60.75
aus,1996,60.45
aus,1997,58.95
aus,1998,59.76
aus,1999,60.75
aus,2000,61.69
aus,2001,61.14
aus,2002,61.02
aus,2003,61.82
aus,2004,62.16
aus,2005,63.29
aus,2006,63.7
aus,2007,64.13
aus,2008,64.51
aus,2009,61.18
aus,2010,60.52
aus,2011,60.39
aus,2012,59.6
aus,2013,58.66
aus,2014,57.7
aus,2015,58.45
aus,2016,58.34
aus,2017,58.47
aus,2018,59.85
aus,2019,60.12
aus,2020,56.81
aus,2021,60.83
aut,1994,59.16
aut,1995,58.09
aut,1996,55.53
aut,1997,53.99
aut,1998,54.16
aut,1999,54.91
aut,2000,52.54
aut,2001,51.39
aut,2002,51.75
aut,2003,50.63
aut,2004,48.9
aut,2005,51.62
aut,2006,52.25
aut,2007,53.82
aut,2008,54.45
aut,2009,53.15
aut,2010,52.75
aut,2011,53.9
aut,2012,53.67
aut,2013,53.09
aut,2014,52.06
aut,2015,51.35
aut,2016,51
aut,2017,50.59
aut,2018,51.33
aut,2019,51.6
aut,2020,50.25
aze,2007,34.88
aze,2008,31.71
aze,2009,30.47
aze,2010,28.38
aze,2011,28.28
bdi,2014,51.35
bdi,2017,51.33
bel,1983,33.38
bel,1984,31.59
bel,1985,32.36
bel,1986,33.72
bel,1987,32.62
bel,1988,30.87
bel,1989,30.42
bel,1990,30.4
bel,1991,31.38
bel,1992,31.43
bel,1993,28.06
bel,1994,27.5
