geo,time,sl_emp_mpyr_fe_zs
afg,1991,0.05
afg,1992,0.05
afg,1993,0.05
afg,1994,0.05
afg,1995,0.05
afg,1996,0.05
afg,1997,0.05
afg,1998,0.05
afg,1999,0.04
afg,2000,0.04
afg,2001,0.04
afg,2002,0.04
afg,2003,0.05
afg,2004,0.05
afg,2005,0.05
afg,2006,0.05
afg,2007,0.06
afg,2008,0.06
afg,2009,0.09
afg,2010,0.14
afg,2011,0.2
afg,2012,0.31
afg,2013,0.47
afg,2014,0.7
afg,2015,1.02
afg,2016,1.49
afg,2017,2.19
afg,2018,2.22
afg,2019,2.33
ago,1991,1.13
ago,1992,1.19
ago,1993,1.23
ago,1994,1.5
ago,1995,1.51
ago,1996,1.56
ago,1997,1.63
ago,1998,1.7
ago,1999,1.62
ago,2000,1.65
ago,2001,1.73
ago,2002,2.11
ago,2003,2.1
ago,2004,2.47
ago,2005,2.38
ago,2006,2.46
ago,2007,2.44
ago,2008,2.4
ago,2009,2.44
ago,2010,2.49
ago,2011,2.49
ago,2012,2.5
ago,2013,2.35
ago,2014,2.56
ago,2015,2.65
ago,2016,2.75
ago,2017,2.8
ago,2018,2.93
ago,2019,2.65
alb,1991,0.36
alb,1992,0.3
alb,1993,0.3
alb,1994,0.3
alb,1995,0.33
alb,1996,0.34
alb,1997,0.31
alb,1998,0.34
alb,1999,0.4
alb,2000,0.46
alb,2001,0.56
alb,2002,0.63
alb,2003,0.71
alb,2004,0.8
alb,2005,0.82
alb,2006,0.85
alb,2007,0.95
alb,2008,0.58
alb,2009,0.34
alb,2010,0.45
alb,2011,1.15
alb,2012,0.98
alb,2013,1.06
alb,2014,0.54
alb,2015,0.96
alb,2016,1.28
alb,2017,1.29
alb,2018,1.28
alb,2019,1.07
are,1991,0.55
are,1992,0.55
are,1993,0.55
are,1994,0.54
are,1995,0.54
are,1996,0.55
are,1997,0.55
are,1998,0.54
are,1999,0.55
are,2000,0.57
are,2001,0.57
are,2002,0.56
are,2003,0.58
are,2004,0.63
are,2005,0.73
are,2006,0.72
are,2007,0.69
are,2008,0.67
are,2009,0.69
are,2010,0.74
are,2011,0.82
are,2012,0.88
are,2013,0.94
are,2014,1
are,2015,1.03
are,2016,1.09
are,2017,1.45
are,2018,1.4
are,2019,1.63
arg,1991,2.08
arg,1992,2.48
arg,1993,3.22
arg,1994,2.49
arg,1995,2.36
arg,1996,2.46
arg,1997,2.49
arg,1998,2.44
arg,1999,2.51
arg,2000,2.98
arg,2001,2.48
arg,2002,1.92
arg,2003,2.19
arg,2004,2.38
arg,2005,2.26
arg,2006,2.37
arg,2007,2.57
arg,2008,2.86
arg,2009,2.98
arg,2010,2.91
arg,2011,2.63
arg,2012,2.64
arg,2013,2.45
arg,2014,2.27
arg,2015,2.36
arg,2016,2.39
arg,2017,2.46
arg,2018,2.62
arg,2019,2.4
arm,1991,0.01
arm,1992,0.01
arm,1993,0.01
arm,1994,0.01
arm,1995,0.01
arm,1996,0.02
arm,1997,0.02
arm,1998,0.02
arm,1999,0.03
arm,2000,0.03
arm,2001,0.04
arm,2002,0.05
arm,2003,0.05
arm,2004,0.06
arm,2005,0.07
arm,2006,0.08
arm,2007,0.09
arm,2008,0.09
arm,2009,0.09
arm,2010,0.13
arm,2011,0.29
arm,2012,0.23
arm,2013,0.18
arm,2014,0.56
arm,2015,0.34
arm,2016,0.4
arm,2017,0.52
arm,2018,0.31
arm,2019,0.32
aus,1991,5.43
aus,1992,5.27
aus,1993,5.34
aus,1994,5.52
aus,1995,5.52
aus,1996,5.42
aus,1997,5.5
aus,1998,5.53
aus,1999,5.2
aus,2000,5.32
aus,2001,5.72
aus,2002,5.6
aus,2003,5.44
aus,2004,5.32
aus,2005,5.34
aus,2006,5.09
aus,2007,4.96
aus,2008,4.95
aus,2009,4.62
aus,2010,4.76
aus,2011,4.59
aus,2012,4.38
aus,2013,4.34
aus,2014,4.3
aus,2015,4.35
aus,2016,4.21
aus,2017,4.1
aus,2018,3.84
aus,2019,4.14
aut,1991,2.61
aut,1992,2.62
aut,1993,2.63
aut,1994,2.67
