global,time,sl_emp_self_ma_zs
world,1991,56.55029
world,1992,56.43585
world,1993,56.3236
world,1994,56.06805
world,1995,55.82513
world,1996,55.57145
world,1997,55.44096
world,1998,55.53252
world,1999,55.59781
world,2000,55.37864
world,2001,55.12252
world,2002,54.95371
world,2003,54.79666
world,2004,54.26897
world,2005,53.68973
world,2006,52.94882
world,2007,52.16766
world,2008,51.70028
world,2009,51.60139
world,2010,51.02857
world,2011,50.35412
world,2012,49.66954
world,2013,49.22707
world,2014,48.83569
world,2015,48.39406
world,2016,48.07856
world,2017,47.76649
world,2018,47.35777
world,2019,46.9722
