geo,time,sl_emp_vuln_fe_zs
afg,1991,98.49
afg,1992,98.5
afg,1993,98.54
afg,1994,98.6
afg,1995,98.6
afg,1996,98.62
afg,1997,98.64
afg,1998,98.66
afg,1999,98.68
afg,2000,98.72
afg,2001,98.76
afg,2002,98.67
afg,2003,98.6
afg,2004,98.55
afg,2005,98.48
afg,2006,98.41
afg,2007,98.31
afg,2008,98.24
afg,2009,97.87
afg,2010,97.41
afg,2011,96.93
afg,2012,96.27
afg,2013,95.44
afg,2014,94.5
afg,2015,93.4
afg,2016,92.04
afg,2017,90.26
afg,2018,89.92
afg,2019,89.47
ago,1991,81.39
ago,1992,80.57
ago,1993,80.35
ago,1994,78.75
ago,1995,78.83
ago,1996,78.46
ago,1997,78.67
ago,1998,78.73
ago,1999,76.53
ago,2000,76.01
ago,2001,76.19
ago,2002,76.3
ago,2003,76.27
ago,2004,75.05
ago,2005,74.94
ago,2006,75.8
ago,2007,76.11
ago,2008,76.91
ago,2009,80.4
ago,2010,80.37
ago,2011,81.03
ago,2012,81.33
ago,2013,82.37
ago,2014,83.09
ago,2015,83.74
ago,2016,83.8
ago,2017,84.12
ago,2018,84.35
ago,2019,84.68
alb,1991,58.91
alb,1992,61.14
alb,1993,60.78
alb,1994,60.36
alb,1995,59.3
alb,1996,58.85
alb,1997,62.85
alb,1998,62.32
alb,1999,60.88
alb,2000,60.19
alb,2001,58.83
alb,2002,58.8
alb,2003,58.34
alb,2004,57.99
alb,2005,58.49
alb,2006,57.48
alb,2007,57.12
alb,2008,66.64
alb,2009,64.89
alb,2010,62.6
alb,2011,64.13
alb,2012,67.04
alb,2013,61.86
alb,2014,58.19
alb,2015,56.34
alb,2016,55.46
alb,2017,53.64
alb,2018,51.7
alb,2019,51.05
are,1991,0.57
are,1992,0.58
are,1993,0.58
are,1994,0.59
are,1995,0.59
are,1996,0.59
are,1997,0.58
are,1998,0.59
are,1999,0.59
are,2000,0.58
are,2001,0.59
are,2002,0.59
are,2003,0.56
are,2004,0.54
are,2005,0.53
are,2006,0.42
are,2007,0.33
are,2008,0.27
are,2009,0.28
are,2010,0.28
are,2011,0.26
are,2012,0.25
are,2013,0.25
are,2014,0.24
are,2015,0.23
are,2016,0.22
are,2017,1.05
are,2018,2.35
are,2019,3.99
arg,1991,26.53
arg,1992,25.03
arg,1993,25.51
arg,1994,25.42
arg,1995,22.76
arg,1996,23.24
arg,1997,22.51
arg,1998,22.07
arg,1999,21.65
arg,2000,20.64
arg,2001,21.42
arg,2002,19.99
arg,2003,19.04
arg,2004,18.66
arg,2005,18.31
arg,2006,17.44
arg,2007,16.54
arg,2008,16.36
arg,2009,16.9
arg,2010,16.46
arg,2011,16.08
arg,2012,16.1
arg,2013,16.68
arg,2014,17.22
arg,2015,17.69
arg,2016,18.43
arg,2017,19
arg,2018,19.96
arg,2019,21.01
arm,1991,43.44
arm,1992,45.12
arm,1993,46.54
arm,1994,48.53
arm,1995,49.7
arm,1996,51
arm,1997,52.1
arm,1998,52.49
arm,1999,53.28
arm,2000,54.28
arm,2001,54.3
arm,2002,54.33
arm,2003,53.83
