geo,time,sl_emp_vuln_zs
afg,1991,90.51
afg,1992,90.66
afg,1993,91.16
afg,1994,91.73
afg,1995,91.51
afg,1996,91.76
afg,1997,92
afg,1998,92.22
afg,1999,92.49
afg,2000,92.87
afg,2001,93.33
afg,2002,92.52
afg,2003,92.16
afg,2004,92.1
afg,2005,91.72
afg,2006,91.47
afg,2007,90.89
afg,2008,90.59
afg,2009,89.25
afg,2010,87.83
afg,2011,87
afg,2012,85.57
afg,2013,84.38
afg,2014,83.33
afg,2015,82.38
afg,2016,81.31
afg,2017,79.83
afg,2018,79.62
afg,2019,79.36
ago,1991,65.48
ago,1992,64.92
ago,1993,65.14
ago,1994,63.98
ago,1995,63.95
ago,1996,63.43
ago,1997,63.55
ago,1998,63.54
ago,1999,61.59
ago,2000,61.17
ago,2001,61.32
ago,2002,61.08
ago,2003,61.07
ago,2004,59.88
ago,2005,59.77
ago,2006,60.7
ago,2007,61
ago,2008,61.87
ago,2009,65.99
ago,2010,66.42
ago,2011,67.71
ago,2012,67.9
ago,2013,69
ago,2014,70.07
ago,2015,71.15
ago,2016,71.7
ago,2017,72.41
ago,2018,73.13
ago,2019,73.71
alb,1991,60.59
alb,1992,62.17
alb,1993,62.14
alb,1994,62.07
alb,1995,61.51
alb,1996,61.18
alb,1997,63.15
alb,1998,62.61
alb,1999,61.44
alb,2000,60.6
alb,2001,59.33
alb,2002,58.8
alb,2003,58.04
alb,2004,57.27
alb,2005,56.89
alb,2006,55.66
alb,2007,54.88
alb,2008,58.42
alb,2009,56.48
alb,2010,55.13
alb,2011,59.2
alb,2012,61.53
alb,2013,57.78
alb,2014,55.98
alb,2015,56.46
alb,2016,55.9
alb,2017,54.11
alb,2018,52.19
alb,2019,51.2
are,1991,1.66
are,1992,1.67
are,1993,1.68
are,1994,1.68
are,1995,1.68
are,1996,1.68
are,1997,1.66
are,1998,1.69
are,1999,1.7
are,2000,1.66
are,2001,1.68
are,2002,1.69
are,2003,1.65
are,2004,1.59
are,2005,1.57
are,2006,1.39
are,2007,1.27
are,2008,1.16
are,2009,1.04
are,2010,0.91
are,2011,0.78
are,2012,0.67
are,2013,0.56
are,2014,0.47
are,2015,0.4
are,2016,0.34
are,2017,0.71
are,2018,0.96
are,2019,1.4
arg,1991,24.79
arg,1992,24.34
arg,1993,25.38
arg,1994,24.98
arg,1995,24.14
arg,1996,24.53
arg,1997,23.64
arg,1998,23.28
arg,1999,23.07
arg,2000,22.82
arg,2001,23.76
arg,2002,24.55
arg,2003,22.54
arg,2004,21.61
arg,2005,21.28
arg,2006,20.26
arg,2007,19.17
arg,2008,19.1
arg,2009,19.59
arg,2010,19.05
arg,2011,18.62
arg,2012,19.03
arg,2013,19.69
arg,2014,20.18
arg,2015,20.43
arg,2016,21.12
arg,2017,21.51
arg,2018,21.62
arg,2019,22.71
arm,1991,37.57
arm,1992,39.75
arm,1993,41.84
arm,1994,43.69
arm,1995,45.05
arm,1996,46.16
arm,1997,47.14
arm,1998,47.67
arm,1999,48.37
arm,2000,48.98
arm,2001,49.14
arm,2002,48.83
arm,2003,48.1
