geo,time,sl_fam_0714_zs
afg,2011,61.67
ago,2001,80.06
alb,2005,94.5
alb,2010,94.28
arg,2004,56.2
arg,2012,76.42
arm,2010,97.53
aze,2005,92.1
bdi,2010,85.34
ben,2012,80.48
bfa,2006,95.83
bfa,2010,89.84
bgd,2006,77.82
bgd,2013,41.15
bih,2006,92.13
blr,2005,78.77
blr,2012,82.4
bol,2009,88.91
bol,2013,92.7
bol,2015,90
bra,2011,65.7
bra,2013,61.65
bra,2014,67.48172
bra,2015,63.7
caf,2006,71.8
caf,2010,81.63
civ,2006,88
civ,2012,85.56
cmr,2007,87.61
cmr,2011,68.3
cod,2010,80.2
cog,2005,84.49
cog,2012,78.45
col,2009,63.02
col,2012,58.52
col,2014,71.67
col,2015,70.01
cri,2011,76.3
cri,2016,67.84
dom,2009,33.74
dom,2012,41.35
dza,2013,85.64
ecu,2011,78.33
ecu,2015,93.18
egy,2005,87.42
egy,2009,40.2
eth,2011,90.66
gab,2012,78.53
geo,2006,77
gha,2006,76.18
gha,2012,96.9
gin,2010,91.36
gin,2012,85.16
gmb,2015,94.62
gnb,2006,87.74
gtm,2006,79.19
gtm,2012,81.94
gtm,2014,70
gtm,2015,73.96208
hnd,2007,73.45
hnd,2011,72.34
hnd,2013,73.82
hnd,2014,73.32
hti,2006,79.36
hti,2012,77.12
idn,2010,81.99
ind,2010,59.23
ind,2012,53.9
irq,2006,85.25
irq,2011,81.15
jam,2005,74.88
jam,2011,79.16
jor,2007,50.07
jor,2016,75
kaz,2006,75.01
kgz,2007,98.02
kgz,2014,96.31969
khm,2009,85.02
khm,2012,77.12
lao,2006,88.71
lao,2010,80.03
lbr,2010,80.55
lka,2009,92.9
lso,2000,83.25
mda,2009,97.44
mdg,2007,89.95
mex,2011,59.85
mex,2013,59.56
mkd,2006,89.51
mkd,2011,72.74
mli,2007,83.02
mli,2013,82.99
mng,2007,94.49
mng,2012,97.62
moz,2008,90.39
mrt,2007,90.13
mrt,2011,86.97
mwi,2006,75.52
mwi,2015,84.99
nam,1999,94.96
ner,2009,90.66
ner,2012,70.78
nga,2007,80.78
nga,2011,84.22
nic,2005,85.04
nic,2010,82.05
nic,2012,82.89
npl,1999,92.41
npl,2008,92.26
pak,2011,75.08
pan,2008,76.09
pan,2010,73.85
pan,2012,68.5
pan,2014,77.41
per,2007,88.57
phl,2001,73.1
phl,2011,73.46
pry,2005,65.84
pry,2014,62
rou,2000,92.86
rwa,2008,72.28
rwa,2010,80.45
rwa,2011,56.57
sdn,2008,60.62
sen,2011,85.46
sle,2008,70.51
sle,2010,66.04
sle,2013,60.36
slv,2011,81.29
slv,2012,82.37
slv,2013,79.85
som,2006,94.79
srb,2005,89.35
ssd,2008,71.48
swz,2010,75.17
syr,2006,68.78
tcd,2004,77.2
tcd,2010,63.62
tgo,2010,89.48
tha,2005,79.95
tha,2006,79.95
tjk,2005,71.32
tto,2006,33.19
tun,2012,78.12
tur,2006,63.8
tza,2006,42.78
tza,2011,91.79
tza,2014,96.23
uga,2006,97.07
uga,2012,85.7
ukr,2005,79.34
ukr,2012,84.61
ury,2009,45.11
uzb,2005,78.62
uzb,2006,78.62
ven,2006,35.32
ven,2013,46.69
vnm,2011,87.37
vnm,2012,84.29
yem,2006,86.05
yem,2010,89.88
zaf,1999,85.8
zmb,2008,93.1
zwe,1999,68.18
