geo,time,sl_fam_work_zs
afg,1991,39.12
afg,1992,38.97
afg,1993,39.07
afg,1994,39.07
afg,1995,38.57
afg,1996,38.59
afg,1997,38.56
afg,1998,38.49
afg,1999,38.4
afg,2000,38.3
afg,2001,38.1
afg,2002,36.73
afg,2003,36.05
afg,2004,35.77
afg,2005,35.03
afg,2006,34.4
afg,2007,33.4
afg,2008,32.74
afg,2009,31.18
afg,2010,29.9
afg,2011,29.21
afg,2012,27.97
afg,2013,27.01
afg,2014,26.27
afg,2015,25.61
afg,2016,24.8
afg,2017,23.76
afg,2018,23.45
afg,2019,22.98
ago,1991,6.2
ago,1992,5.37
ago,1993,5.28
ago,1994,4.14
ago,1995,4.07
ago,1996,3.78
ago,1997,4.23
ago,1998,4.67
ago,1999,2.92
ago,2000,2.89
ago,2001,3.47
ago,2002,4.53
ago,2003,4.93
ago,2004,4.52
ago,2005,4.16
ago,2006,4.97
ago,2007,5
ago,2008,5.61
ago,2009,10.84
ago,2010,9.69
ago,2011,10.81
ago,2012,10.22
ago,2013,10.77
ago,2014,12.27
ago,2015,13.15
ago,2016,12.45
ago,2017,12.08
ago,2018,11.73
ago,2019,10.19
alb,1991,24.88
alb,1992,26.99
alb,1993,26.74
alb,1994,26.52
alb,1995,25.61
alb,1996,24.8
alb,1997,28.08
alb,1998,27.29
alb,1999,25.77
alb,2000,24.95
alb,2001,23.6
alb,2002,23.4
alb,2003,22.84
alb,2004,22.37
alb,2005,22.36
alb,2006,21.29
alb,2007,20.78
alb,2008,29.81
alb,2009,27.91
alb,2010,26.39
alb,2011,31.41
alb,2012,36.27
alb,2013,33.76
alb,2014,31.9
alb,2015,29.7
alb,2016,23.76
alb,2017,22.68
alb,2018,21.49
alb,2019,22.03
are,1991,0
are,1992,0
are,1993,0
are,1994,0
are,1995,0
are,1996,0
are,1997,0
are,1998,0
are,1999,0
are,2000,0
are,2001,0
are,2002,0
are,2003,0
are,2004,0
are,2005,0
are,2006,0
are,2007,0
are,2008,0
are,2009,0
are,2010,0
are,2011,0
are,2012,0.01
are,2013,0.01
are,2014,0.01
are,2015,0.01
are,2016,0.01
are,2017,0.06
are,2018,0.47
are,2019,0.83
arg,1991,1.04
arg,1992,1.24
arg,1993,1.26
arg,1994,1.63
arg,1995,1.41
arg,1996,1.67
arg,1997,1.54
arg,1998,1.33
arg,1999,1.36
arg,2000,1.15
arg,2001,1.09
arg,2002,1.11
arg,2003,1.66
arg,2004,1.31
arg,2005,1.03
arg,2006,0.99
arg,2007,0.94
arg,2008,0.72
arg,2009,0.72
arg,2010,0.78
arg,2011,0.72
arg,2012,0.55
arg,2013,0.54
arg,2014,0.58
arg,2015,0.58
arg,2016,0.59
arg,2017,0.59
arg,2018,0.55
arg,2019,0.56
arm,1991,24.69
arm,1992,25.13
arm,1993,25.22
arm,1994,25.2
arm,1995,25
arm,1996,24.86
arm,1997,24.72
arm,1998,24.4
arm,1999,24.17
arm,2000,23.83
arm,2001,23.14
arm,2002,22.51
arm,2003,21.85
arm,2004,21.09
arm,2005,20.41
arm,2006,19.58
arm,2007,18.63
arm,2008,17.92
arm,2009,17.4
