geo,time,sl_mnf_0714_fe_zs
alb,2010,1.36
aze,2005,0.6
bfa,2003,0.45074
bfa,2006,1.39
bgd,2003,15.49
bgd,2013,26.98
bol,2002,3.8
bol,2005,3
bol,2008,6.2
bol,2009,5.94
bol,2013,7.28
bol,2015,4.73
bra,2004,9.7
bra,2008,8.6
bra,2009,9.85
bra,2011,9.55
bra,2013,8.06
bra,2014,8.87356
bra,2015,9.34
chl,2003,4.5
chl,2012,3.67
cmr,2001,2.32
cmr,2007,4.16
col,2007,11.96
col,2009,21.61
col,2012,28.32
col,2014,18.77
col,2015,19.56
cri,2004,9.56
cri,2011,16.83
cri,2016,0
dom,2005,9.92
dom,2009,3.09
dom,2012,4.03
ecu,2004,4.1
ecu,2006,5.26
ecu,2009,3.64
ecu,2011,7.72
ecu,2015,5.7
egy,2009,4.51
eth,2005,2.79
gha,2003,4.1
gha,2012,3.6
gin,2010,1.66
gmb,2015,0.08
gtm,2003,20.1
gtm,2004,21.1
gtm,2006,14.96
gtm,2012,10.77
gtm,2014,13.56
gtm,2015,22.94018
hnd,2004,17.9
hnd,2007,22.93
hnd,2011,16.49
hnd,2013,27.66
hnd,2014,19.34
idn,2009,10.74
idn,2010,13.97
ind,2000,15.38
ind,2005,18.92
ind,2010,15.58
ind,2012,25.22
jam,2002,11.6
jor,2007,0
jor,2016,0
ken,1999,0.29313
kgz,1998,0
kgz,2007,0.1
kgz,2014,0.34658
khm,2001,5.4
khm,2009,4.34
khm,2012,14.67
lao,2010,2.27
lbr,2010,3.43
lka,1999,14.96
lka,2009,16.73
mar,1999,8.46
mar,2004,6.41
mda,2009,0.14
mdg,2001,1.37
mdg,2007,4.88
mex,2004,11.47
mex,2009,14.27
mex,2010,12.19
mex,2011,12.52
mex,2013,12.7
mli,2005,5.9
mli,2007,7.54
mng,2007,0.4
mng,2012,2.55
mwi,2015,0.08
nam,1999,0.35
ner,2009,4.2
nga,2010,7.35
nic,2001,10.17213
nic,2005,15.18
nic,2010,14.99
nic,2012,10.72
npl,1999,1.53166
npl,2008,1.48
pak,2008,7.36
pak,2011,4.3
pan,2003,5.22
pan,2008,5.32
pan,2010,8.18
pan,2012,4
pan,2014,5.03
per,2000,2.46
per,2007,5.47
phl,2001,4.5
phl,2011,6.27
prt,2001,10.72265
pry,2005,6.85
pry,2014,3.18
rou,2000,0
rwa,2008,0
rwa,2011,2.72
rwa,2014,0.67
sdn,2008,0.46
sen,2005,2.25
sen,2011,1.78
sle,2007,0.68
slv,2003,16.13208
slv,2007,20.6
slv,2009,17.04
slv,2011,15.72
slv,2012,16.79
slv,2013,20.29
ssd,2008,0.66
tgo,2006,1.61
tgo,2010,1.37
tur,1999,10.21571
tur,2006,17.2
tza,2001,0.20303
tza,2006,0.54
tza,2014,0.46
uga,2006,1.71
uga,2012,0.88
ury,2009,9.1
ven,2003,9.54306
ven,2005,8.6
ven,2006,8.8
ven,2013,9.66
vnm,2012,8.41
yem,1999,0.8
yem,2010,0.35
zmb,2005,0.45
zmb,2008,0.76
