geo,time,sl_srv_empl_ma_zs
afg,1991,26.83
afg,1992,26.78
afg,1993,26.6
afg,1994,26.59
afg,1995,26.73
afg,1996,26.76
afg,1997,26.83
afg,1998,26.96
afg,1999,27.09
afg,2000,27.19
afg,2001,27.27
afg,2002,28.29
afg,2003,28.71
afg,2004,28.97
afg,2005,29.41
afg,2006,29.82
afg,2007,30.6
afg,2008,31.24
afg,2009,32.68
afg,2010,34.27
afg,2011,35.51
afg,2012,37.01
afg,2013,38.53
afg,2014,40.03
afg,2015,41.57
afg,2016,43.35
afg,2017,45.2
afg,2018,45.85
afg,2019,46.55
ago,1991,50.4
ago,1992,51.19
ago,1993,51.27
ago,1994,51.98
ago,1995,52.51
ago,1996,53.13
ago,1997,53.24
ago,1998,52.96
ago,1999,54.26
ago,2000,54.56
ago,2001,54.15
ago,2002,55.09
ago,2003,55.04
ago,2004,55.54
ago,2005,53.88
ago,2006,51.77
ago,2007,49.78
ago,2008,47.75
ago,2009,45.51
ago,2010,43.19
ago,2011,40.76
ago,2012,41.19
ago,2013,41.43
ago,2014,41.48
ago,2015,41.37
ago,2016,41.44
ago,2017,41.8
ago,2018,42.21
ago,2019,42.65
alb,1991,33.13
alb,1992,32.31
alb,1993,32.51
alb,1994,32.8
alb,1995,33.2
alb,1996,35.38
alb,1997,35.62
alb,1998,36.44
alb,1999,37.45
alb,2000,37.89
alb,2001,38.54
alb,2002,38.61
alb,2003,38.93
alb,2004,39.47
alb,2005,39.93
alb,2006,40.09
alb,2007,40.16
alb,2008,39.97
alb,2009,38.39
alb,2010,38.07
alb,2011,36.88
alb,2012,40.01
alb,2013,40.65
alb,2014,41.18
alb,2015,41.3
alb,2016,41.05
alb,2017,42.61
alb,2018,43.62
alb,2019,44.41
are,1991,54.84
are,1992,54.83
are,1993,54.73
are,1994,54.79
are,1995,54.74
are,1996,54.67
are,1997,54.58
are,1998,54.69
are,1999,54.92
are,2000,54.99
are,2001,55.46
are,2002,55.98
are,2003,56.03
are,2004,56.16
are,2005,56.34
are,2006,56.09
are,2007,56.01
are,2008,56.18
are,2009,56.62
are,2010,57.2
are,2011,57.67
are,2012,57.81
are,2013,57.89
are,2014,57.63
are,2015,57.27
are,2016,57.32
are,2017,57.71
are,2018,57.79
are,2019,58.27
arg,1991,58.11
arg,1992,58.29
arg,1993,60.9
arg,1994,61.43
arg,1995,64.3
arg,1996,65.41
arg,1997,63.81
arg,1998,63.94
arg,1999,66.09
arg,2000,67.44
arg,2001,68.37
arg,2002,70.65
arg,2003,69.25
arg,2004,67.2
arg,2005,66.38
arg,2006,65.86
arg,2007,65.18
arg,2008,64.77
arg,2009,65.51
arg,2010,65.23
arg,2011,65.52
arg,2012,65.73
arg,2013,64.84
arg,2014,64.18
arg,2015,65.47
arg,2016,67.01
arg,2017,67.93
arg,2018,68.57
arg,2019,68.73
arm,1991,38.16
arm,1992,37.74
arm,1993,37.65
arm,1994,37.93
arm,1995,38.4
arm,1996,38.85
arm,1997,39.17
arm,1998,39.52
arm,1999,39.8
arm,2000,39.98
arm,2001,40.31
arm,2002,40.59
arm,2003,40.86
arm,2004,40.88
arm,2005,40.8
arm,2006,40.89
arm,2007,41.22
arm,2008,40.08
arm,2009,38.9
arm,2010,41.65
arm,2011,41.26
arm,2012,42.08
arm,2013,44.95
arm,2014,45.95
arm,2015,45.63
arm,2016,46.65
arm,2017,48.15
arm,2018,43.94
arm,2019,42.46
aus,1991,61.85
aus,1992,62.18
aus,1993,62.12
aus,1994,62.36
aus,1995,63.04
aus,1996,63.46
aus,1997,63.68
aus,1998,63.96
aus,1999,64.22
aus,2000,63.57
aus,2001,64.62
aus,2002,64.64
aus,2003,65.11
aus,2004,64.75
aus,2005,64.87
aus,2006,64.55
aus,2007,64.68
aus,2008,64.15
aus,2009,64.66
aus,2010,64.9
aus,2011,65.44
aus,2012,65.5
aus,2013,65.95
aus,2014,65.85
aus,2015,67.35
aus,2016,67.41
aus,2017,66.99
aus,2018,66.48
aus,2019,67.54
aut,1991,48.29
aut,1992,48.68
aut,1993,49.35
aut,1994,49.5
aut,1995,50.19
aut,1996,51.95
aut,1997,52.63
aut,1998,52.73
aut,1999,52.45
aut,2000,51.94
aut,2001,53.12
aut,2002,52.93
aut,2003,53.05
aut,2004,57.3
aut,2005,55.08
aut,2006,54.43
aut,2007,55.35
aut,2008,56.78
aut,2009,57.99
aut,2010,58.14
aut,2011,57.08
aut,2012,57.18
aut,2013,57.92
aut,2014,57.68
aut,2015,57.4
aut,2016,57.7
aut,2017,59.01
aut,2018,58.7
aut,2019,58.78
aze,1991,46.08
aze,1992,46.31
aze,1993,47.07
aze,1994,46.28
aze,1995,46.11
aze,1996,46.11
aze,1997,47.31
aze,1998,48.15
aze,1999,48.26
aze,2000,49.68
aze,2001,48.57
aze,2002,43.95
aze,2003,43.93
aze,2004,43.93
aze,2005,43.74
aze,2006,43.91
aze,2007,43.7
aze,2008,43.6
aze,2009,48.22
aze,2010,46.82
aze,2011,46.31
aze,2012,46.34
aze,2013,46.71
aze,2014,46.84
aze,2015,47.24
aze,2016,46.95
aze,2017,46.89
aze,2018,46.17
aze,2019,46.34
bdi,1991,8.62
bdi,1992,8.67
bdi,1993,8.68
bdi,1994,8.73
bdi,1995,8.7
bdi,1996,8.61
bdi,1997,8.7
bdi,1998,8.98
bdi,1999,9.3
bdi,2000,9.63
bdi,2001,10
bdi,2002,10.38
bdi,2003,10.73
bdi,2004,10.87
bdi,2005,11.35
bdi,2006,11.8
bdi,2007,12.33
bdi,2008,12.73
bdi,2009,13.21
bdi,2010,13.7
bdi,2011,14.24
bdi,2012,14.82
bdi,2013,15.34
bdi,2014,15.92
bdi,2015,15.78
bdi,2016,15.75
bdi,2017,15.71
bdi,2018,15.81
bdi,2019,15.91
bel,1991,55.99
bel,1992,56.42
bel,1993,57.3
bel,1994,58
bel,1995,58.85
bel,1996,59.59
bel,1997,59.59
bel,1998,59.94
bel,1999,61.13
bel,2000,61.42
bel,2001,62.9
bel,2002,62.12
bel,2003,62.88
bel,2004,61.63
bel,2005,62.59
bel,2006,62
bel,2007,62.75
bel,2008,61.85
bel,2009,63.45
bel,2010,64
bel,2011,63.93
bel,2012,65.79
bel,2013,65.41
bel,2014,65.8
bel,2015,65.68
bel,2016,65.88
bel,2017,67.37
bel,2018,66.8
bel,2019,67.23
ben,1991,24.68
ben,1992,24.78
ben,1993,24.86
ben,1994,25.05
ben,1995,25.21
ben,1996,25.28
ben,1997,25.46
ben,1998,25.59
ben,1999,25.82
ben,2000,26.12
ben,2001,26.42
ben,2002,26.62
ben,2003,26.91
ben,2004,27.11
ben,2005,27.31
ben,2006,27.57
ben,2007,27.99
ben,2008,28.37
ben,2009,28.64
ben,2010,28.95
ben,2011,29.41
ben,2012,29.85
ben,2013,30.42
ben,2014,30.93
ben,2015,31.23
ben,2016,31.49
ben,2017,31.98
ben,2018,32.53
