geo,time,sl_tlf_0714_sw_ma_tm
afg,2011,14.1
ago,2001,12.5
alb,2010,14.2
arm,2010,6.4
aze,2005,14.4
bdi,2010,12.5
ben,2012,11
bfa,2010,18.8
bgd,2006,10.1
bgd,2013,32.37249
bih,2006,3.5
blr,2012,2.5
bol,2009,17.9
bol,2013,19.05868
bol,2015,23.88
bra,2011,19.1
bra,2013,17.37838
bra,2014,16.61442
bra,2015,15.49
caf,2010,16.8
chl,2012,8.1
civ,2012,10.6
cmr,2011,12.5
cod,2010,8.9
cod,2014,6.91946
cog,2012,7.8
col,2012,15.6
col,2014,15.25631
col,2015,14.6
cri,2011,8.3
cri,2016,10.56
dom,2009,15.4
dom,2012,20.93865
dom,2014,9.03776
dza,2013,4.1
ecu,2011,15.7
ecu,2015,11.01881
egy,2009,18.6
eth,2011,20.5
gab,2012,7.2
geo,2006,5.4
gha,2006,14.5
gin,2012,17.7
gmb,2008,13.3
gmb,2015,11.22
gnb,2006,13.4
gnb,2014,6.27748
gtm,2012,15.6
gtm,2014,32.84649
gtm,2015,18.78217
hnd,2013,15.5
hnd,2014,13.60987
hti,2012,6.3
idn,2010,13.9
irq,2011,11.2
jam,2011,2
jor,2007,28
jor,2016,16.31
kaz,2006,6.8
ken,2000,10
ken,2009,32.90313
kgz,2007,13.6
kgz,2014,12.62404
khm,2012,17.8
lao,2010,34
lbr,2010,22.3
lka,2009,8.1
lso,2000,9
mda,2009,7.4
mdg,2007,17.2
mex,2011,14.2
mex,2013,13.9073
mkd,2011,2.3
mli,2013,15.7
mng,2012,16.4
mng,2013,14.94608
moz,2008,13.1
mrt,2007,13.9
mrt,2011,20.98219
mwi,2011,10.3
mwi,2014,5.87207
mwi,2015,10.88
nam,1999,24.4
ner,2012,7.4
nga,2010,31.4
nga,2011,7.25054
nic,2010,17.8
nic,2012,15.40554
npl,2008,16.2
npl,2014,8.13529
pak,2011,25.7
pan,2012,10.1
pan,2014,8.98677
per,2015,11.16433
phl,2011,7.2
pry,2005,30.2
pry,2014,29.35977
rou,2000,9.7
rwa,2010,15
rwa,2011,12.65962
rwa,2014,12.3
sdn,2014,9.27817
sen,2011,42
sen,2015,21.12287
sle,2013,8.5
slv,2012,19.9
slv,2013,20.42878
som,2006,25.6
srb,2005,3.7
srb,2014,4.28358
swz,2010,4.2
syr,2006,12.7
tcd,2010,6.4
tcd,2015,10.35003
tgo,2010,16.5
tgo,2014,8.09988
tha,2005,8.7
tjk,2005,13.1
tls,2007,20.8
tto,2006,6.7
tun,2012,2.7
tur,2006,15.7
tza,2014,14.59925
uga,2012,10.7
ukr,2012,3.1
ury,2009,9.5
uzb,2005,4.4
ven,2006,22.6
ven,2013,18.64073
vnm,2012,11.8
yem,2010,17.4
zmb,2008,4.2
