geo,time,sl_tlf_0714_sw_tm
afg,2011,13.1
ago,2001,12.5
alb,2010,13.6
arm,2010,5.4
aze,2005,14
bdi,2010,12.1
ben,2012,10.6
bfa,2010,17.6
bgd,2006,9.8
bgd,2013,32.03822
bih,2006,3.7
blr,2012,2.3
bol,2009,17.6
bol,2013,20.11952
bol,2015,23.44
bra,2011,18.8
bra,2013,16.99434
bra,2014,16.10477
bra,2015,14.77
caf,2010,15.7
chl,2012,7.9
civ,2012,10
cmr,2011,11.4
cod,2010,9
cod,2014,7.0981
cog,2012,7.3
col,2012,15.2
col,2014,14.34622
col,2015,14.1
cri,2011,8
cri,2016,10.19
dom,2009,14.1
dom,2012,19.74884
dom,2014,7.63632
dza,2013,3.6
ecu,2011,15.1
ecu,2015,10.84399
egy,2009,18.8
eth,2011,18.8
gab,2012,7.5
geo,2006,4.9
gha,2006,13.7
gin,2012,15.6
gmb,2008,13.4
gmb,2015,10.3
gnb,2006,12.9
gnb,2014,5.77447
gtm,2012,16.2
gtm,2014,31.0951
gtm,2015,18.54953
hnd,2013,15.7
hnd,2014,14.29735
hti,2012,5.9
idn,2010,14.4
irq,2011,10.3
jam,2011,1.9
jor,2007,25
jor,2016,15.54
kaz,2006,6.7
ken,2000,9.4
ken,2009,32.70899
kgz,2007,13.7
kgz,2014,12.83103
khm,2012,17.7
lao,2010,34.4
lbr,2010,22.4
lka,2009,7.9
lso,2000,8.5
mda,2009,7.1
mdg,2007,17.6
mex,2011,14.5
mex,2013,13.65239
mkd,2011,2.3
mli,2013,16.3
mng,2012,15.1
mng,2013,13.68177
moz,2008,12.9
mrt,2007,13
mrt,2011,18.81
mwi,2011,9.8
mwi,2014,5.57166
mwi,2015,10.75
nam,1999,34.3
ner,2012,7.2
nga,2010,29.9
nga,2011,7.02954
nic,2010,16.8
nic,2012,14.13476
npl,2008,16.4
npl,2014,8.81549
pak,2011,24.9
pan,2012,12
pan,2014,8.78614
per,2015,10.97533
phl,2011,7.1
pry,2005,31.5
pry,2014,29.33432
rou,2000,10.1
rwa,2010,14.5
rwa,2011,12.26099
rwa,2014,11.8
sdn,2014,8.89415
sen,2011,40.3
sen,2015,19.07945
sle,2013,8.4
slv,2012,20.2
slv,2013,20.01278
som,2006,26.1
srb,2005,3.7
srb,2014,4.05081
swz,2010,4.1
syr,2006,12.2
tcd,2010,6.3
tcd,2015,8.82644
tgo,2010,16.2
tgo,2014,8.11709
tha,2005,8.3
tjk,2005,13.1
tls,2007,21.3
tto,2006,6.5
tun,2012,3.5
tur,2006,14.8
tza,2014,14.17376
uga,2012,10.6
ukr,2012,3
ury,2009,9.3
uzb,2005,4.2
ven,2006,21.3
ven,2013,16.28939
vnm,2012,11.6
yem,2010,16.9
zmb,2008,4.2
