geo,time,sl_tlf_0714_zs
afg,2011,9.3
ago,2001,30.1
alb,2000,36.58605
alb,2005,22
alb,2010,5.5
arg,2004,12.9
arg,2012,5.02525
arm,2010,9.9
aze,2000,9.72984
aze,2005,5.2
bdi,2000,36.96453
bdi,2005,11.7
bdi,2010,31.9
ben,2006,74.4
ben,2012,24.1
bfa,2003,50
bfa,2006,42.1
bfa,2010,50.3
bgd,2003,17.5385
bgd,2006,16.2
bgd,2013,5.00208
bih,2000,20.2
bih,2006,10.6
blr,2005,11.7
blr,2012,2.3
bol,2002,23.2
bol,2005,22
bol,2008,32.1
bol,2009,20.2
bol,2013,20.20834
bol,2015,13.92
bra,2004,7
bra,2007,6.1
bra,2008,5.2
bra,2009,5
bra,2011,4.2
bra,2013,3.21527
bra,2014,3.53265
bra,2015,2.54
caf,2000,67
caf,2010,37.2
chl,2003,4.1
chl,2012,4.5
civ,2000,40.7
civ,2006,45.7
civ,2012,36.5
cmr,2001,15.9114
cmr,2007,43.4
cmr,2011,62
cod,2000,39.8
cod,2007,30.5
cod,2010,20.5
cod,2014,41.39143
cog,2005,30.06
cog,2012,31.5
col,2005,4
col,2007,3.9
col,2009,6.44
col,2012,7.2
col,2014,6.61916
col,2015,5.56
cri,2004,5.7
cri,2011,2.5
cri,2016,1.31
dom,2002,3.5
dom,2005,5.8
dom,2009,14.05843
dom,2012,2.68444
dom,2014,13.19659
dza,2013,7.50076
ecu,2004,12
ecu,2006,14.3
ecu,2009,6.3
ecu,2011,3.2
ecu,2015,5.56201
egy,2005,7.9
egy,2009,2.9
eth,2005,56
eth,2011,26.1
gab,2012,24
geo,2006,31.8
gha,2003,6
gha,2006,48.9
gha,2012,28.76078
gin,1994,48.3
gin,2010,44.9
gin,2012,38.1
gmb,2000,25.31456
gmb,2005,43.5
gmb,2008,35.9
gmb,2015,23.75
gnb,2000,67.5
gnb,2006,50.5
gnb,2014,63.91618
gtm,2003,21.1
gtm,2004,16.8
gtm,2006,18.2
gtm,2012,19.2
gtm,2014,10.60697
gtm,2015,7.24264
hnd,2004,6.8
hnd,2007,8.7
hnd,2011,7.8
hnd,2013,9.2
hnd,2014,10.50187
hti,2006,33.4
hti,2012,37.8
idn,2000,8.93413
idn,2009,6.6
idn,2010,3.7
ind,2000,5.2
ind,2005,4.2
ind,2006,15.3
ind,2010,2.5
ind,2012,1.7
irq,2000,13.65009
irq,2006,14.7
irq,2011,6.4
jam,2002,1.1
jam,2005,9.8
jam,2011,6.2
jor,2007,1
