geo,time,sl_tlf_cact_fe_zs
afg,1990,15.18
afg,1991,15.214
afg,1992,15.223
afg,1993,15.197
afg,1994,15.178
afg,1995,15.221
afg,1996,15.078
afg,1997,14.954
afg,1998,14.873
afg,1999,14.827
afg,2000,14.795
afg,2001,14.936
afg,2002,15.113
afg,2003,15.298
afg,2004,15.475
afg,2005,15.644
afg,2006,15.455
afg,2007,15.275
afg,2008,15.137
afg,2009,15.076
afg,2010,15.111
afg,2011,15.454
afg,2012,15.879
afg,2013,16.794
afg,2014,17.749
afg,2015,18.746
afg,2016,19.798
afg,2017,20.887
afg,2018,21.228
afg,2019,21.566
afg,2020,16.189
afg,2021,14.848
ago,1990,75.408
ago,1991,75.381
ago,1992,75.369
ago,1993,75.371
ago,1994,75.387
ago,1995,75.416
ago,1996,75.414
ago,1997,75.428
ago,1998,75.456
ago,1999,75.494
ago,2000,75.539
ago,2001,75.546
ago,2002,75.564
ago,2003,75.59
ago,2004,75.617
ago,2005,75.641
ago,2006,75.625
ago,2007,75.614
ago,2008,75.607
ago,2009,75.603
ago,2010,75.605
ago,2011,74.847
ago,2012,74.834
ago,2013,74.833
ago,2014,74.843
ago,2015,74.864
ago,2016,74.882
ago,2017,74.912
ago,2018,74.955
ago,2019,75.011
ago,2020,73.618
ago,2021,73.968
alb,1990,51.364
alb,1991,54.727
alb,1992,55.608
alb,1993,54.638
alb,1994,53.825
alb,1995,52.576
alb,1996,51.66
alb,1997,52.615
alb,1998,51.658
alb,1999,50.445
alb,2000,49.782
alb,2001,49.087
alb,2002,48.757
alb,2003,48.186
alb,2004,47.625
alb,2005,47.067
alb,2006,46.511
alb,2007,45.958
alb,2008,45.41
alb,2009,45.839
alb,2010,46.727
alb,2011,52.446
alb,2012,48.778
alb,2013,43.598
alb,2014,43.733
alb,2015,46.898
alb,2016,49.676
alb,2017,49.51
alb,2018,51.189
alb,2019,52.723
alb,2020,49.786
alb,2021,50.733
are,1990,29.083
are,1991,29.779
are,1992,30.272
are,1993,30.944
are,1994,31.121
are,1995,31.279
are,1996,31.883
are,1997,32.48
are,1998,33.072
are,1999,33.659
are,2000,34.244
are,2001,34.911
are,2002,35.586
are,2003,36.216
are,2004,36.744
are,2005,37.176
are,2006,37.979
are,2007,38.812
are,2008,39.739
are,2009,40.795
are,2010,41.976
are,2011,43.301
are,2012,44.718
are,2013,46.19
are,2014,47.659
are,2015,49.072
are,2016,50.373
are,2017,51.947
are,2018,48.951
are,2019,48.923
are,2020,45.703
are,2021,46.542
arg,1990,45.041
arg,1991,46.331
arg,1992,47.486
arg,1993,48.717
arg,1994,49.576
arg,1995,48.966
arg,1996,49.762
arg,1997,50.973
arg,1998,51.494
arg,1999,50.775
arg,2000,50.509
arg,2001,49.613
arg,2002,47.508
arg,2003,48.801
arg,2004,50.136
arg,2005,49.28
arg,2006,49.916
arg,2007,49.08
arg,2008,48.243
arg,2009,48.964
arg,2010,47.875
arg,2011,48.134
arg,2012,48.234
arg,2013,47.826
arg,2014,47.6
arg,2015,47.679
arg,2016,47.76
arg,2017,47.844
arg,2018,49.316
arg,2019,50.168
arg,2020,46.642
arg,2021,50.01
arm,1990,44.833
arm,1991,44.864
arm,1992,44.904
arm,1993,44.952
arm,1994,45.003
arm,1995,45.053
arm,1996,45.087
arm,1997,45.117
arm,1998,45.141
arm,1999,45.158
arm,2000,45.169
arm,2001,45.162
arm,2002,45.151
arm,2003,45.139
arm,2004,45.132
arm,2005,45.13
arm,2006,45.134
arm,2007,45.145
arm,2008,44.839
arm,2009,45.55
arm,2010,46.934
arm,2011,49.462
arm,2012,49.837
arm,2013,50.207
arm,2014,49.539
arm,2015,48.778
arm,2016,47.034
arm,2017,46.891
arm,2018,43.112
arm,2019,44.757
arm,2020,41.961
arm,2021,42.663
aus,1990,52.218
aus,1991,51.95
aus,1992,51.909
aus,1993,51.672
aus,1994,52.571
aus,1995,53.576
aus,1996,53.763
aus,1997,53.544
aus,1998,53.599
aus,1999,53.58
aus,2000,54.466
aus,2001,55.002
aus,2002,55.189
aus,2003,55.871
aus,2004,55.645
aus,2005,56.927
aus,2006,57.478
aus,2007,58.028
aus,2008,58.504
aus,2009,58.707
aus,2010,58.565
aus,2011,58.816
aus,2012,58.725
aus,2013,58.644
aus,2014,58.614
aus,2015,59.077
aus,2016,59.305
aus,2017,59.814
aus,2018,60.456
aus,2019,60.929
aus,2020,60.173
aus,2021,61.057
aut,1990,43.006
aut,1991,43.544
aut,1992,44.846
aut,1993,45.309
aut,1994,48.639
aut,1995,49.386
aut,1996,48.818
aut,1997,48.705
aut,1998,49.312
aut,1999,49.48
aut,2000,49.373
aut,2001,49.335
aut,2002,50.589
aut,2003,50.773
aut,2004,49.999
aut,2005,51.297
aut,2006,51.982
aut,2007,52.85
aut,2008,53.383
aut,2009,54.047
aut,2010,54.151
aut,2011,54.501
aut,2012,54.988
aut,2013,55.282
aut,2014,55.298
aut,2015,55.359
aut,2016,55.923
aut,2017,55.911
aut,2018,55.907
aut,2019,55.978
aut,2020,55.621
aut,2021,55.514
aze,1990,67.539
aze,1991,67.676
aze,1992,69.559
aze,1993,71.866
aze,1994,74.052
aze,1995,75.43
aze,1996,75.405
aze,1997,74.932
aze,1998,74.079
aze,1999,73.471
aze,2000,72.556
aze,2001,70.657
aze,2002,68.851
aze,2003,66.977
aze,2004,65.411
aze,2005,64.127
aze,2006,62.494
aze,2007,62.056
aze,2008,61.897
aze,2009,61.784
aze,2010,61.967
aze,2011,61.482
