geo,time,sl_tlf_cact_ma_zs
afg,1990,77.43
afg,1991,77.176
afg,1992,76.871
afg,1993,76.58
afg,1994,76.33
afg,1995,76.102
afg,1996,76.14
afg,1997,76.262
afg,1998,76.415
afg,1999,76.549
afg,2000,76.646
afg,2001,76.589
afg,2002,76.491
afg,2003,76.393
afg,2004,76.332
afg,2005,76.318
afg,2006,76.422
afg,2007,76.567
afg,2008,76.712
afg,2009,76.813
afg,2010,76.842
afg,2011,76.659
afg,2012,76.42
afg,2013,75.588
afg,2014,74.737
afg,2015,73.875
afg,2016,73.045
afg,2017,72.183
afg,2018,72.023
afg,2019,71.863
afg,2020,65.58
afg,2021,66.515
ago,1990,79.292
ago,1991,79.367
ago,1992,79.405
ago,1993,79.409
ago,1994,79.381
ago,1995,79.321
ago,1996,79.335
ago,1997,79.31
ago,1998,79.252
ago,1999,79.167
ago,2000,79.064
ago,2001,79.055
ago,2002,79.017
ago,2003,78.961
ago,2004,78.901
ago,2005,78.85
ago,2006,78.897
ago,2007,78.93
ago,2008,78.955
ago,2009,78.97
ago,2010,78.972
ago,2011,79.883
ago,2012,79.922
ago,2013,79.93
ago,2014,79.912
ago,2015,79.865
ago,2016,79.827
ago,2017,79.756
ago,2018,79.653
ago,2019,79.519
ago,2020,78.798
ago,2021,79.071
alb,1990,72.51
alb,1991,75.143
alb,1992,75.858
alb,1993,75.222
alb,1994,74.68
alb,1995,73.768
alb,1996,73.023
alb,1997,73.726
alb,1998,72.917
alb,1999,71.884
alb,2000,71.298
alb,2001,70.702
alb,2002,70.424
alb,2003,68.96
alb,2004,67.465
alb,2005,65.93
alb,2006,64.357
alb,2007,62.75
alb,2008,61.114
alb,2009,64.292
alb,2010,63.788
alb,2011,67.483
alb,2012,65.197
alb,2013,61.18
alb,2014,62.984
alb,2015,63.957
alb,2016,64.8
alb,2017,66.44
alb,2018,67.247
alb,2019,67.742
alb,2020,65.631
alb,2021,66.154
are,1990,91.714
are,1991,91.894
are,1992,91.989
are,1993,92.196
are,1994,92.168
are,1995,92.137
are,1996,92.143
are,1997,92.114
are,1998,92.053
are,1999,91.969
are,2000,91.865
are,2001,91.968
are,2002,92.077
are,2003,92.054
are,2004,91.767
are,2005,91.243
are,2006,90.443
are,2007,89.732
are,2008,89.251
are,2009,89.056
are,2010,89.125
are,2011,89.472
are,2012,89.976
are,2013,90.557
are,2014,91.098
are,2015,91.509
are,2016,91.697
are,2017,91.559
are,2018,90.621
are,2019,90.686
are,2020,87.191
are,2021,88.003
arg,1990,74.389
arg,1991,74.812
arg,1992,75.107
arg,1993,75.38
arg,1994,75.522
arg,1995,75.197
arg,1996,75.358
arg,1997,75.66
arg,1998,75.746
arg,1999,75.441
arg,2000,75.28
arg,2001,74.897
arg,2002,74.102
arg,2003,74.491
arg,2004,74.871
arg,2005,74.895
arg,2006,74.794
arg,2007,74.266
arg,2008,73.729
arg,2009,73.66
arg,2010,73.601
arg,2011,74.266
arg,2012,73.538
arg,2013,73.135
arg,2014,72.283
arg,2015,71.749
arg,2016,71.213
arg,2017,70.674
arg,2018,70.717
arg,2019,71.223
arg,2020,66.141
arg,2021,71.603
arm,1990,62.743
arm,1991,62.786
arm,1992,62.842
arm,1993,62.909
arm,1994,62.98
arm,1995,63.051
arm,1996,63.099
