geo,time,sl_tlf_cact_zs
afg,1990,46.838
afg,1991,46.857
afg,1992,46.86
afg,1993,46.837
afg,1994,46.798
afg,1995,46.759
afg,1996,46.698
afg,1997,46.655
afg,1998,46.636
afg,1999,46.64
afg,2000,46.66
afg,2001,46.751
afg,2002,46.852
afg,2003,46.951
afg,2004,47.038
afg,2005,47.113
afg,2006,46.996
afg,2007,46.887
afg,2008,46.797
afg,2009,46.738
afg,2010,46.717
afg,2011,46.826
afg,2012,46.96
afg,2013,47.03
afg,2014,47.1
afg,2015,47.17
afg,2016,47.24
afg,2017,47.31
afg,2018,47.376
afg,2019,47.44
afg,2020,41.58
afg,2021,41.391
ago,1990,77.366
ago,1991,77.387
ago,1992,77.397
ago,1993,77.398
ago,1994,77.389
ago,1995,77.371
ago,1996,77.374
ago,1997,77.366
ago,1998,77.348
ago,1999,77.323
ago,2000,77.292
ago,2001,77.289
ago,2002,77.277
ago,2003,77.261
ago,2004,77.243
ago,2005,77.228
ago,2006,77.241
ago,2007,77.25
ago,2008,77.256
ago,2009,77.26
ago,2010,77.26
ago,2011,77.32
ago,2012,77.331
ago,2013,77.332
ago,2014,77.327
ago,2015,77.313
ago,2016,77.301
ago,2017,77.281
ago,2018,77.251
ago,2019,77.213
ago,2020,76.147
ago,2021,76.459
alb,1990,62.133
alb,1991,65.028
alb,1992,65.696
alb,1993,64.751
alb,1994,63.948
alb,1995,62.78
alb,1996,61.994
alb,1997,62.919
alb,1998,62.147
alb,1999,61.125
alb,2000,60.571
alb,2001,59.934
alb,2002,59.61
alb,2003,58.557
alb,2004,57.495
alb,2005,56.427
alb,2006,55.353
alb,2007,54.273
alb,2008,53.19
alb,2009,54.99
alb,2010,55.2
alb,2011,59.94
alb,2012,56.99
alb,2013,52.42
alb,2014,53.42
alb,2015,55.5
alb,2016,57.31
alb,2017,58.06
alb,2018,59.3
alb,2019,60.31
alb,2020,57.792
alb,2021,58.527
are,1990,74.202
are,1991,74.57
are,1992,74.794
are,1993,75.125
are,1994,75.132
are,1995,75.13
are,1996,75.374
are,1997,75.617
are,1998,75.858
are,1999,76.098
are,2000,76.335
are,2001,76.572
