geo,time,sl_tlf_intm_zs
afg,2014,63.15
afg,2017,51.55
afg,2020,45.39
ago,2004,90.99
ago,2009,74.4
ago,2011,84.37
ago,2014,54.7
alb,2007,60.28
alb,2008,61.69
alb,2009,60.75
alb,2010,59.47
alb,2011,66.55
alb,2012,63.16
alb,2013,58.94
alb,2014,59.08
alb,2015,59.97
alb,2016,62.28
alb,2017,63.03
alb,2018,58.93
alb,2019,59.9
are,2017,75.2
are,2018,76.71
arg,2004,67.5
arg,2005,67.02
arg,2006,67.74
arg,2008,66.46
arg,2009,67.31
arg,2010,66.34
arg,2011,66.61
arg,2012,66.42
arg,2013,66.24
arg,2014,65.15
arg,2017,65.19
arg,2018,66.09
arg,2019,66.4
arg,2020,61.27
arm,2007,48.59
arm,2008,54.8
arm,2009,54.68
arm,2010,63.68
arm,2011,62.07
arm,2012,55.68
arm,2013,61.62
arm,2014,62.11
arm,2015,59.61
arm,2016,58.85
arm,2017,59.22
arm,2018,56.64
arm,2019,57.28
arm,2020,52.74
aus,2009,82.54
aus,2010,81.77
aus,2011,82.52
aus,2012,81.97
aus,2013,76.14
aus,2014,75.19
aus,2015,75.81
aus,2016,76.07
aus,2017,75.45
aut,1995,71.31
aut,1996,71.63
aut,1997,70.83
aut,1998,68.49
aut,1999,68.35
aut,2000,67.59
aut,2001,66.75
aut,2002,66.43
aut,2003,67.19
aut,2004,64.87
aut,2005,65.66
aut,2006,66.22
aut,2007,66.82
aut,2008,67.35
aut,2009,67.32
aut,2010,67.29
aut,2011,67.07
aut,2012,67.26
aut,2013,67.27
aut,2014,64.25
aut,2015,63.89
aut,2016,63.91
aut,2017,63.67
aut,2018,63.98
aut,2019,63.55
aut,2020,61.95
bdi,2014,72.63
bel,1992,63.01
bel,1993,64.29
bel,1994,64.47
bel,1995,65.31
bel,1996,64.55
bel,1997,65.02
bel,1998,63.29
bel,1999,64.07
bel,2000,63.69
bel,2001,62.78
bel,2002,62.72
bel,2003,63.73
bel,2004,62.24
bel,2005,64.12
bel,2006,63.21
bel,2007,63.07
bel,2008,63.77
bel,2009,62.59
bel,2010,62.94
bel,2011,61.45
bel,2012,61.3
bel,2013,61.36
bel,2014,60.51
bel,2015,60.34
bel,2016,59.22
bel,2017,58.96
bel,2018,59.48
bel,2019,59.35
bel,2020,57.24
ben,2011,45.07
ben,2018,51.6
bfa,2014,45.97
bfa,2018,51.22
bgd,2006,49.67
bgd,2010,49.25
bgd,2013,55.81
bgd,2016,51.31
bgd,2017,47.61
bgr,2000,65.07
bgr,2001,65.65
bgr,2002,64.78
bgr,2003,64.83
bgr,2004,65.43
bgr,2005,64.26
bgr,2006,65.9
bgr,2007,66.89
bgr,2008,67.48
bgr,2009,65.63
bgr,2010,64.18
bgr,2011,62.26
bgr,2012,62.27
bgr,2013,62
bgr,2014,61.33
bgr,2015,60.76
bgr,2016,59.62
bgr,2017,61.66
bgr,2018,61.17
bgr,2019,61.81
bgr,2020,60.34
bih,2006,61.74
bih,2007,61.48
bih,2008,60.58
bih,2009,59.14
bih,2010,59.3
bih,2011,58.42
bih,2012,58.57
bih,2013,56.77
bih,2014,57.69
bih,2015,57.27
bih,2016,55.2
bih,2017,54.58
bih,2018,54.18
bih,2019,53.34
bih,2020,57.62
blr,2020,69.44
blz,2012,74.06
blz,2013,68.05
blz,2014,69.46
blz,2015,69.79
blz,2016,70.2
blz,2017,67.59
blz,2019,72.37
bol,1999,67.03
bol,2000,63.42
bol,2001,66.09
bol,2002,62.84
bol,2004,59.74
bol,2005,64.36
bol,2006,68.08
bol,2007,63.35
bol,2008,66.52
bol,2009,68.11
bol,2011,65.76
bol,2012,67.46
bol,2013,64.37
bol,2014,66.57
bol,2015,65.08
bol,2016,63.33
bol,2017,63.28
bol,2018,66.71
bol,2019,68.86
bol,2020,67.85
bra,1995,76.91
bra,1996,76.22
bra,1997,77.13
bra,1998,77.41
bra,1999,77.35
bra,2001,77.61
bra,2002,78.19
bra,2003,78.03
bra,2004,78.55
bra,2005,79.56
bra,2006,78.82
bra,2007,78.71
bra,2008,78.53
bra,2009,78.92
bra,2011,76.76
bra,2012,82.91
bra,2013,83.06
bra,2014,82.99
bra,2015,79.07
bra,2016,74.94
bra,2017,75.19
bra,2018,74.93
bra,2019,75.44
bra,2020,69.36
brb,2015,74.98
brb,2016,77.05
brb,2017,75.51
brb,2018,74.82
brb,2019,74.05
brn,2014,67.69
brn,2017,66.01
brn,2018,67.91
brn,2019,67.26
btn,2009,51.93
btn,2010,53.17
btn,2014,43.49
btn,2015,48.97
bwa,2006,100
bwa,2009,63.31
bwa,2010,62.51
bwa,2019,61.5
bwa,2020,61.77
can,1990,73.68
can,1991,73.23
can,1992,71.84
can,1993,71
can,1994,70.79
can,1995,70.46
can,1996,70.44
can,1997,70.22
can,1998,69.9
can,1999,70.43
can,2000,70.05
can,2001,69.71
can,2002,70.83
can,2003,70.52
can,2004,70.73
can,2005,69.87
can,2006,69.23
can,2007,69.48
can,2008,69.14
can,2009,67.86
can,2010,67.53
can,2011,66.99
can,2012,66.35
can,2013,65.89
can,2014,64.92
can,2015,63.68
can,2016,63.37
can,2017,63.1
can,2018,61.79
can,2019,61.99
can,2020,59.8
can,2021,60.03
che,1996,75.27
che,1997,75.14
che,1998,71.3
che,1999,71.15
che,2000,71.26
che,2001,70.69
che,2002,70.84
che,2003,70.59
che,2004,69.64
che,2005,69.17
che,2006,69.11
che,2007,69.04
che,2008,68.97
che,2009,68.48
che,2010,67.74
che,2011,68.2
