global,time,sl_uem_1524_fe_zs
world,1991,11.29849
world,1992,11.50031
world,1993,12.1305
world,1994,12.84742
world,1995,13.49936
world,1996,13.66552
world,1997,13.95764
world,1998,14.36162
world,1999,14.67462
world,2000,14.59882
world,2001,14.83407
world,2002,15.10233
world,2003,15.31885
world,2004,15.39121
world,2005,15.50634
world,2006,15.11102
world,2007,14.5833
world,2008,14.63112
world,2009,15.5262
world,2010,15.59455
world,2011,15.67097
world,2012,15.90849
world,2013,16.19251
world,2014,16.23703
world,2015,16.63216
world,2016,16.98049
world,2017,17.1224
world,2018,17.28861
world,2019,17.1347
world,2020,18.70642
