geo,time,sl_uem_totl_ma_zs
afg,1991,10.089
afg,1992,10.258
afg,1993,10.165
afg,1994,10.17
afg,1995,10.61
afg,1996,10.402
afg,1997,10.23
afg,1998,10.25
afg,1999,10.256
afg,2000,10.254
afg,2001,10.253
afg,2002,10.685
afg,2003,10.567
afg,2004,10.413
afg,2005,10.63
afg,2006,10.518
afg,2007,10.717
afg,2008,10.516
afg,2009,10.728
afg,2010,10.764
afg,2011,10.462
afg,2012,10.728
afg,2013,10.552
afg,2014,10.469
afg,2015,10.42
afg,2016,10.412
afg,2017,10.395
afg,2018,10.358
afg,2019,10.41
afg,2020,10.508
afg,2021,12.057
ago,1991,4.773
ago,1992,4.795
ago,1993,4.846
ago,1994,4.787
ago,1995,4.753
ago,1996,4.756
ago,1997,4.77
ago,1998,4.776
ago,1999,4.78
ago,2000,4.776
ago,2001,4.77
ago,2002,4.743
ago,2003,4.766
ago,2004,4.741
ago,2005,4.726
ago,2006,4.722
ago,2007,4.703
ago,2008,4.696
ago,2009,4.707
ago,2010,7.95
ago,2011,7.01
ago,2012,6.989
ago,2013,7
ago,2014,6.999
ago,2015,7.012
ago,2016,7.024
ago,2017,7.013
ago,2018,7.019
ago,2019,7.012
ago,2020,7.901
ago,2021,7.958
alb,1991,10.332
alb,1992,32.162
alb,1993,26.932
alb,1994,22.293
alb,1995,14.986
alb,1996,14.682
alb,1997,17.723
alb,1998,20.244
alb,1999,21.158
alb,2000,19.372
alb,2001,18.313
alb,2002,17.627
alb,2003,16.7
alb,2004,16.027
alb,2005,15.642
alb,2006,15.296
alb,2007,15.65
alb,2008,12.542
alb,2009,12.193
alb,2010,12.762
alb,2011,13.269
alb,2012,14.799
alb,2013,17.649
alb,2014,19.828
alb,2015,17.244
alb,2016,16.137
alb,2017,14.439
alb,2018,12.62
alb,2019,11.582
alb,2020,13.448
alb,2021,11.736
are,1991,1.777
are,1992,1.757
are,1993,1.768
are,1994,1.727
are,1995,1.726
are,1996,1.828
are,1997,1.909
are,1998,2.072
are,1999,2.152
are,2000,2.186
are,2001,2.331
are,2002,2.381
are,2003,2.378
are,2004,2.433
are,2005,2.552
are,2006,2.404
are,2007,2.363
are,2008,2.252
are,2009,2.202
are,2010,2.009
are,2011,1.827
are,2012,1.696
are,2013,1.542
are,2014,1.397
are,2015,1.248
are,2016,1.12
are,2017,1.472
are,2018,1.489
are,2019,1.479
are,2020,2.327
are,2021,2.381
arg,1991,5.234
arg,1992,6.12
arg,1993,8.386
arg,1994,10.224
arg,1995,16.403
arg,1996,15.619
arg,1997,12.767
arg,1998,11.632
arg,1999,13.245
arg,2000,14.014
arg,2001,17.413
arg,2002,20.127
arg,2003,13.786
arg,2004,11.861
arg,2005,10.032
arg,2006,8.394
arg,2007,7.033
arg,2008,6.497
arg,2009,7.778
arg,2010,6.663
arg,2011,6.248
arg,2012,6.08
arg,2013,6.117
arg,2014,6.481
arg,2015,6.727
arg,2016,7.295
arg,2017,7.528
arg,2018,8.224
arg,2019,9.187
arg,2020,10.763
arg,2021,9.113
arm,1991,1.172
arm,1992,1.307
arm,1993,3.532
arm,1994,4.953
arm,1995,3.74
arm,1996,4.596
arm,1997,5.413
arm,1998,5.75
arm,1999,7.721
arm,2000,8
arm,2001,8.298
arm,2002,8.6
arm,2003,8.864
arm,2004,9.067
arm,2005,9.361
arm,2006,9.596
arm,2007,9.847
arm,2008,13.856
arm,2009,17.357
arm,2010,17.089
arm,2011,17.366
arm,2012,16.516
arm,2013,14.427
arm,2014,15.751
arm,2015,17.383
arm,2016,17.731
arm,2017,17.898
arm,2018,17.83
arm,2019,17.484
arm,2020,20.336
arm,2021,19.757
aus,1991,9.888
aus,1992,11.307
aus,1993,11.502
aus,1994,9.982
aus,1995,8.739
aus,1996,8.712
aus,1997,8.579
aus,1998,7.943
aus,1999,7.034
aus,2000,6.455
aus,2001,6.973
aus,2002,6.533
aus,2003,5.89
aus,2004,5.275
aus,2005,4.878
aus,2006,4.668
aus,2007,4.047
aus,2008,3.956
aus,2009,5.691
aus,2010,5.07
aus,2011,4.894
aus,2012,5.134
aus,2013,5.706
aus,2014,6.002
aus,2015,6.036
aus,2016,5.65
aus,2017,5.52
aus,2018,5.281
aus,2019,5.211
aus,2020,6.554
aus,2021,5.384
aut,1991,3.334
aut,1992,3.461
aut,1993,4.069
aut,1994,3.215
aut,1995,3.923
aut,1996,5.336
aut,1997,5.059
aut,1998,5.468
aut,1999,4.652
aut,2000,4.76
aut,2001,3.913
aut,2002,5.109
aut,2003,5.132
aut,2004,5.785
aut,2005,5.439
aut,2006,4.939
aut,2007,4.49
aut,2008,3.891
aut,2009,5.485
aut,2010,4.982
aut,2011,4.546
aut,2012,4.935
aut,2013,5.367
aut,2014,5.831
aut,2015,6.086
aut,2016,6.428
aut,2017,5.912
aut,2018,5.023
aut,2019,4.611
aut,2020,5.477
aut,2021,6.344
aze,1991,0.839
aze,1992,1.676
aze,1993,4.184
aze,1994,5.849
aze,1995,6.676
aze,1996,7.504
aze,1997,8.423
aze,1998,9.249
aze,1999,10.07
aze,2000,10.875
aze,2001,10.326
aze,2002,9.717
aze,2003,9.072
aze,2004,7.941
aze,2005,7.236
aze,2006,6.886
aze,2007,7.091
aze,2008,6.154
aze,2009,4.937
aze,2010,4.388
aze,2011,4.427
aze,2012,4.323
aze,2013,4.037
aze,2014,4.019
aze,2015,4.088
aze,2016,4.135
aze,2017,4.119
aze,2018,4.076
aze,2019,4.031
aze,2020,5.527
aze,2021,5.497
bdi,1991,1.76
bdi,1992,1.798
bdi,1993,1.851
bdi,1994,1.863
bdi,1995,1.904
bdi,1996,1.926
bdi,1997,1.918
bdi,1998,1.911
bdi,1999,1.96
bdi,2000,1.982
bdi,2001,1.991
bdi,2002,2.004
bdi,2003,2.056
bdi,2004,2.052
bdi,2005,2.097
bdi,2006,2.101
bdi,2007,2.137
bdi,2008,2.158
bdi,2009,2.139
bdi,2010,2.108
bdi,2011,2.09
bdi,2012,2.065
bdi,2013,2.039
bdi,2014,2.019
bdi,2015,2.044
bdi,2016,2.016
bdi,2017,1.998
bdi,2018,1.981
bdi,2019,1.969
bdi,2020,2.101
bdi,2021,2.179
bel,1991,4.562
bel,1992,4.795
bel,1993,6.166
bel,1994,7.703
bel,1995,7.31
bel,1996,7.407
bel,1997,7.094
bel,1998,7.581
bel,1999,7.476
bel,2000,5.313
bel,2001,5.634
bel,2002,6.243
bel,2003,7.439
bel,2004,6.648
bel,2005,7.599
bel,2006,7.404
bel,2007,6.666
bel,2008,6.473
bel,2009,7.743
bel,2010,8.105
bel,2011,7.108
bel,2012,7.649
bel,2013,8.645
bel,2014,9.018
bel,2015,9.089
bel,2016,8.06
bel,2017,7.118
bel,2018,6.286
bel,2019,5.728
bel,2020,5.722
bel,2021,6.309
ben,1991,2.125
ben,1992,2.172
ben,1993,2.031
ben,1994,1.95
ben,1995,1.798
ben,1996,1.693
ben,1997,1.561
ben,1998,1.449
ben,1999,1.314
ben,2000,1.182
ben,2001,1.054
ben,2002,0.923
ben,2003,0.931
ben,2004,0.929
ben,2005,0.942
ben,2006,0.933
ben,2007,0.924
ben,2008,0.928
ben,2009,0.937
ben,2010,0.936
ben,2011,2.431
ben,2012,2.249
ben,2013,2.062
ben,2014,1.906
ben,2015,1.776
ben,2016,1.593
ben,2017,1.407
ben,2018,1.229
ben,2019,1.228
ben,2020,1.333
ben,2021,1.295
bfa,1991,2.4
bfa,1992,2.443
bfa,1993,2.418
bfa,1994,2.424
bfa,1995,2.378
bfa,1996,2.329
bfa,1997,2.335
bfa,1998,2.312
bfa,1999,2.339
bfa,2000,2.399
bfa,2001,2.405
bfa,2002,2.451
bfa,2003,2.467
bfa,2004,3.001
bfa,2005,3.48
bfa,2006,3.155
bfa,2007,2.82
bfa,2008,2.98
bfa,2009,3.171
bfa,2010,3.305
bfa,2011,3.492
bfa,2012,3.667
bfa,2013,3.849
bfa,2014,4.039
bfa,2015,4.223
bfa,2016,4.386
bfa,2017,4.566
bfa,2018,4.744
bfa,2019,4.736
bfa,2020,4.938
bfa,2021,4.738
bgd,1991,2.232
