global,time,sl_uem_totl_ma_zs
world,1991,4.70948
world,1992,4.91027
world,1993,5.1669
world,1994,5.37436
world,1995,5.48399
world,1996,5.55033
world,1997,5.50657
world,1998,5.66677
world,1999,5.79261
world,2000,5.59516
world,2001,5.71081
world,2002,5.93679
world,2003,6.01117
world,2004,5.80272
world,2005,5.69338
world,2006,5.43911
world,2007,5.25352
world,2008,5.29602
world,2009,5.93252
world,2010,5.79239
world,2011,5.64332
world,2012,5.61771
world,2013,5.62077
world,2014,5.49899
world,2015,5.4927
world,2016,5.52186
world,2017,5.42267
world,2018,5.28346
world,2019,5.25773
world,2020,6.64565
world,2021,6.06135
