geo,time,sl_wag_0714_fe_zs
afg,2011,11.77
ago,2001,4.8
alb,2005,1.2
alb,2010,0
arg,2004,8.99
arg,2012,13.34
aze,2005,1.6
bdi,2010,5.04
ben,2012,4.42
bfa,2006,2.34
bfa,2010,1.48
bgd,2006,23
bgd,2013,43.81
bih,2006,3.26
blr,2005,6.1
blr,2012,17.13
bol,2009,7.06
bol,2013,5.06
bol,2015,6.04
bra,2011,35.24
bra,2013,36.24
bra,2014,31.52365
bra,2015,28.8
caf,2006,1.04
caf,2010,2.22
civ,2006,1.95
civ,2012,4.65
cmr,2007,9.11
cmr,2011,1.86
cod,2010,6.2
cog,2005,3.43
cog,2012,3.97
col,2009,12.58
col,2012,9.12
col,2014,6.36
col,2015,13.3
cri,2011,6.6
cri,2016,45.4
dom,2009,29.52
dom,2012,32.73
dza,2013,13
ecu,2011,7.8
ecu,2015,3.03
egy,2005,7.86
egy,2009,72.09
eth,2011,3.32
gab,2012,4.66
geo,2006,4.79
gha,2006,6.82
gha,2012,0.3
gin,2010,0.11
gin,2012,1.88
gmb,2015,0.22
gnb,2006,3
gtm,2006,18.49
gtm,2012,16.14
gtm,2014,19.5
gtm,2015,29.58812
hnd,2007,22.72
hnd,2011,18.54
hnd,2013,17.99
hnd,2014,16.11
hti,2006,1.3
hti,2012,3.42
idn,2010,15.66
ind,2010,2.58
ind,2012,32.63
irq,2006,1.06
irq,2011,6.04
jam,2005,10.33
jam,2011,16.64
jor,2007,23.31
jor,2016,1.43
kaz,2006,3.83
kgz,2007,0.37
kgz,2014,0.17773
khm,2009,6.86
khm,2012,20.44
lao,2006,3.77
lao,2010,3.83
lbr,2010,0.4
lka,2009,2.38
lso,2000,2.25
mda,2009,0.86
mdg,2007,8.96
mex,2011,35.29
mex,2013,34.8
mkd,2006,8.51
mkd,2011,21.87
mli,2007,6.15
mli,2013,2.95
mng,2007,0.14
moz,2008,2.68
mrt,2007,4.76
mrt,2011,12.98
mwi,2006,7.38
mwi,2015,3.64
nam,1999,3.2
ner,2006,77.3
ner,2009,2.02
ner,2012,6.67
nga,2007,1.57
nga,2011,13.57
nic,2005,10.22
nic,2010,9.46
nic,2012,7.99
npl,1999,2.7
npl,2008,1.69
pak,2011,7.31
pan,2008,10.43
pan,2010,2.58
pan,2012,10.32
pan,2014,6.08
per,2007,5.09
phl,2001,21
phl,2011,17.2
pry,2005,38.62
pry,2014,25.17
rwa,2008,15.57
rwa,2010,6.5
rwa,2011,25.04
sdn,2008,13.53
sen,2011,1.9
sle,2008,0.18
sle,2010,2.47
sle,2013,0.39
slv,2011,11.65
slv,2012,10.92
slv,2013,10.63
som,2006,2.44
srb,2005,2.31
ssd,2008,3.61
swz,2010,12.92
syr,2006,12.48
tcd,2004,2.1
tcd,2010,6.55
tgo,2010,2.63
tha,2005,15.04
tha,2006,15.04
tjk,2005,25.24
tto,2006,53.56
tun,2012,15.54
tur,2006,34.57
tza,2006,1.07
tza,2011,1.42
tza,2014,1.32
uga,2006,1.71
uga,2012,1.72
ukr,2005,4.97
ukr,2012,5.64
ury,2009,36.73
uzb,2005,4.47
uzb,2006,4.47
ven,2006,25.12
ven,2013,11.29
vnm,2011,11.59
vnm,2012,7.26
yem,2006,2.56
yem,2010,1.3
zaf,1999,6.89
zmb,2008,3.29
zwe,1999,30
