geo,time,sp_ado_tfrt
abw,1960,106.2062
abw,1961,102.8116
abw,1962,99.417
abw,1963,94.4542
abw,1964,89.4914
abw,1965,84.5286
abw,1966,79.5658
abw,1967,74.603
abw,1968,71.665
abw,1969,68.727
abw,1970,65.789
abw,1971,62.851
abw,1972,59.913
abw,1973,59.0044
abw,1974,58.0958
abw,1975,57.1872
abw,1976,56.2786
abw,1977,55.37
abw,1978,54.9542
abw,1979,54.5384
abw,1980,54.1226
abw,1981,53.7068
abw,1982,53.291
abw,1983,53.0288
abw,1984,52.7666
abw,1985,52.5044
abw,1986,52.2422
abw,1987,51.98
abw,1988,51.41
abw,1989,50.84
abw,1990,50.27
abw,1991,49.7
abw,1992,49.13
abw,1993,48.7648
abw,1994,48.3996
abw,1995,48.0344
abw,1996,47.6692
abw,1997,47.304
abw,1998,46.067
abw,1999,44.83
abw,2000,43.593
abw,2001,42.356
abw,2002,41.119
abw,2003,39.6676
abw,2004,38.2162
abw,2005,36.7648
abw,2006,35.3134
abw,2007,33.862
abw,2008,32.792
abw,2009,31.722
abw,2010,30.652
abw,2011,29.582
abw,2012,28.512
abw,2013,27.3444
abw,2014,26.1768
abw,2015,25.0092
abw,2016,23.8416
abw,2017,22.674
abw,2018,21.1736
abw,2019,19.6732
abw,2020,18.1728
afg,1960,145.245
afg,1961,145.245
afg,1962,145.245
afg,1963,145.245
afg,1964,145.245
afg,1965,145.245
afg,1966,145.245
afg,1967,145.245
afg,1968,145.245
afg,1969,145.245
afg,1970,145.245
afg,1971,145.245
afg,1972,145.245
afg,1973,146.2136
afg,1974,147.1822
afg,1975,148.1508
afg,1976,149.1194
afg,1977,150.088
afg,1978,151.1966
afg,1979,152.3052
afg,1980,153.4138
afg,1981,154.5224
afg,1982,155.631
afg,1983,156.7438
afg,1984,157.8566
afg,1985,158.9694
afg,1986,160.0822
afg,1987,161.195
afg,1988,161.7418
afg,1989,162.2886
afg,1990,162.8354
afg,1991,163.3822
afg,1992,163.929
afg,1993,164.1888
afg,1994,164.4486
afg,1995,164.7084
afg,1996,164.9682
afg,1997,165.228
afg,1998,161.469
afg,1999,157.71
afg,2000,153.951
afg,2001,150.192
afg,2002,146.433
afg,2003,143.7648
afg,2004,141.0966
afg,2005,138.4284
afg,2006,135.7602
afg,2007,133.092
afg,2008,126.633
afg,2009,120.174
afg,2010,113.715
afg,2011,107.256
afg,2012,100.797
afg,2013,94.429
afg,2014,88.061
afg,2015,81.693
afg,2016,75.325
afg,2017,68.957
afg,2018,65.141
afg,2019,61.325
afg,2020,57.509
ago,1960,202.2
ago,1961,204.6
ago,1962,207
ago,1963,209.4
ago,1964,211.8
ago,1965,214.2
ago,1966,216.6
ago,1967,219
ago,1968,220.2
ago,1969,221.4
ago,1970,222.6
ago,1971,223.8
ago,1972,225
ago,1973,224.736
ago,1974,224.472
ago,1975,224.208
ago,1976,223.944
ago,1977,223.68
ago,1978,223.68
ago,1979,223.68
ago,1980,223.68
ago,1981,223.68
ago,1982,223.68
ago,1983,223.344
ago,1984,223.008
ago,1985,222.672
ago,1986,222.336
ago,1987,222
ago,1988,220.2
ago,1989,218.4
ago,1990,216.6
ago,1991,214.8
ago,1992,213
ago,1993,210.9
ago,1994,208.8
ago,1995,206.7
ago,1996,204.6
ago,1997,202.5
ago,1998,200.5664
ago,1999,198.6328
ago,2000,196.6992
ago,2001,194.7656
ago,2002,192.832
ago,2003,190.5114
ago,2004,188.1908
ago,2005,185.8702
ago,2006,183.5496
ago,2007,181.229
ago,2008,178.4632
ago,2009,175.6974
ago,2010,172.9316
ago,2011,170.1658
ago,2012,167.4
ago,2013,164.0252
ago,2014,160.6504
ago,2015,157.2756
ago,2016,153.9008
ago,2017,150.526
ago,2018,147.958
ago,2019,145.39
ago,2020,142.822
alb,1960,54.4408
alb,1961,56.1654
alb,1962,57.89
alb,1963,55.368
alb,1964,52.846
alb,1965,50.324
alb,1966,47.802
alb,1967,45.28
alb,1968,42.1176
alb,1969,38.9552
alb,1970,35.7928
alb,1971,32.6304
alb,1972,29.468
alb,1973,28.6554
alb,1974,27.8428
alb,1975,27.0302
alb,1976,26.2176
alb,1977,25.405
alb,1978,23.6676
