geo,time,sp_dyn_amrt_ma
abw,1960,227.253
abw,1961,223.17
abw,1962,219.087
abw,1963,215.33
abw,1964,211.574
abw,1965,207.817
abw,1966,204.061
abw,1967,200.304
abw,1968,197.676
abw,1969,195.048
abw,1970,192.42
abw,1971,189.792
abw,1972,187.164
abw,1973,183.914
abw,1974,180.663
abw,1975,177.413
abw,1976,174.163
abw,1977,170.913
abw,1978,166.633
abw,1979,162.353
abw,1980,158.073
abw,1981,153.793
abw,1982,149.513
abw,1983,148.759
abw,1984,148.004
abw,1985,147.25
abw,1986,146.495
abw,1987,145.741
abw,1988,144.988
abw,1989,144.235
abw,1990,143.482
abw,1991,142.729
abw,1992,141.976
abw,1993,141.725
abw,1994,141.475
abw,1995,141.225
abw,1996,140.974
abw,1997,140.724
abw,1998,139.937
abw,1999,139.15
abw,2000,138.363
abw,2001,137.576
abw,2002,136.789
abw,2003,135.137
abw,2004,133.485
abw,2005,131.832
abw,2006,130.18
abw,2007,128.527
abw,2008,126.884
abw,2009,125.241
abw,2010,123.598
abw,2011,121.954
abw,2012,120.311
abw,2013,118.655
abw,2014,116.999
abw,2015,115.343
abw,2016,113.686
abw,2017,112.03
abw,2018,110.63
abw,2019,109.044
abw,2020,107.459
afg,1960,604.597
afg,1961,598.908
afg,1962,593.219
afg,1963,587.752
afg,1964,582.284
afg,1965,576.817
afg,1966,571.35
afg,1967,565.882
afg,1968,560.333
afg,1969,554.784
afg,1970,549.236
afg,1971,543.687
afg,1972,538.138
afg,1973,531.889
afg,1974,525.64
afg,1975,519.391
afg,1976,513.142
afg,1977,506.893
afg,1978,499.246
afg,1979,491.599
afg,1980,483.952
afg,1981,476.305
afg,1982,468.658
afg,1983,459.362
afg,1984,450.067
afg,1985,440.771
afg,1986,431.475
afg,1987,422.18
afg,1988,413.482
afg,1989,404.784
afg,1990,396.086
afg,1991,387.388
afg,1992,378.69
afg,1993,373.407
afg,1994,368.125
afg,1995,362.842
afg,1996,357.559
afg,1997,352.277
afg,1998,346.143
afg,1999,340.009
afg,2000,333.875
afg,2001,327.741
afg,2002,321.607
afg,2003,314.533
afg,2004,307.459
afg,2005,300.386
afg,2006,293.312
afg,2007,286.238
afg,2008,281.258
afg,2009,276.279
afg,2010,271.299
afg,2011,266.32
afg,2012,261.34
afg,2013,257.135
afg,2014,252.93
afg,2015,248.724
afg,2016,244.519
afg,2017,240.314
afg,2018,237.554
afg,2019,233.884
afg,2020,230.214
ago,1960,561.897
ago,1961,558.226
ago,1962,554.556
ago,1963,549.975
ago,1964,545.395
ago,1965,540.814
ago,1966,536.234
ago,1967,531.653
ago,1968,526.909
ago,1969,522.165
ago,1970,517.421
ago,1971,512.676
ago,1972,507.932
ago,1973,503.498
ago,1974,499.065
ago,1975,494.631
ago,1976,490.197
ago,1977,485.763
ago,1978,484.378
ago,1979,482.993
ago,1980,481.607
ago,1981,480.222
ago,1982,478.837
ago,1983,477.686
ago,1984,476.535
ago,1985,475.385
ago,1986,474.234
ago,1987,473.083
ago,1988,471.936
ago,1989,470.789
ago,1990,469.641
ago,1991,468.494
ago,1992,467.347
ago,1993,461.699
ago,1994,456.052
ago,1995,450.405
ago,1996,444.757
ago,1997,439.11
ago,1998,428.812
ago,1999,418.515
ago,2000,408.217
ago,2001,397.919
ago,2002,387.622
ago,2003,376.772
ago,2004,365.922
ago,2005,355.073
ago,2006,344.223
ago,2007,333.373
ago,2008,324.524
ago,2009,315.675
ago,2010,306.825
ago,2011,297.976
ago,2012,289.127
ago,2013,285.989
ago,2014,282.85
ago,2015,279.712
ago,2016,276.573
ago,2017,273.435
ago,2018,327.044
ago,2019,323.091
ago,2020,319.137
alb,1960,160.48
alb,1961,150.942
alb,1962,141.405
alb,1963,143.06
alb,1964,144.716
alb,1965,146.372
alb,1966,148.027
alb,1967,149.683
alb,1968,152.04
alb,1969,154.398
alb,1970,156.756
alb,1971,159.113
alb,1972,161.471
alb,1973,158.009
alb,1974,154.547
alb,1975,151.085
alb,1976,147.623
alb,1977,144.162
alb,1978,143.457
alb,1979,142.752
alb,1980,142.048
alb,1981,141.343
alb,1982,140.639
alb,1983,139.531
alb,1984,138.422
alb,1985,137.314
alb,1986,136.206
alb,1987,135.098
alb,1988,137.983
alb,1989,140.867
alb,1990,143.752
alb,1991,146.637
alb,1992,149.521
alb,1993,147.646
alb,1994,145.771
alb,1995,143.896
alb,1996,142.021
alb,1997,140.146
alb,1998,134.877
alb,1999,129.608
alb,2000,124.34
alb,2001,119.071
alb,2002,113.802
alb,2003,112.225
alb,2004,110.647
alb,2005,109.069
alb,2006,107.492
alb,2007,105.914
alb,2008,106.004
alb,2009,106.094
alb,2010,106.184
alb,2011,106.273
alb,2012,106.363
alb,2013,103.981
alb,2014,101.598
alb,2015,99.215
alb,2016,96.833
alb,2017,94.45
alb,2018,93.315
alb,2019,92.179
alb,2020,91.044
are,1960,328.373
are,1961,318.924
are,1962,309.474
are,1963,301.397
are,1964,293.32
are,1965,285.243
are,1966,277.166
are,1967,269.089
are,1968,262.194
are,1969,255.3
are,1970,248.405
are,1971,241.51
are,1972,234.615
are,1973,228.707
are,1974,222.8
are,1975,216.892
are,1976,210.984
are,1977,205.076
are,1978,199.987
are,1979,194.898
are,1980,189.809
are,1981,184.72
are,1982,179.631
are,1983,175.219
are,1984,170.807
are,1985,166.395
are,1986,161.984
are,1987,157.572
are,1988,153.714
are,1989,149.857
are,1990,146
are,1991,142.142
are,1992,138.285
are,1993,134.799
are,1994,131.312
are,1995,127.826
are,1996,124.34
are,1997,120.854
are,1998,117.758
are,1999,114.662
are,2000,111.566
are,2001,108.47
are,2002,105.374
are,2003,102.665
are,2004,99.955
are,2005,97.245
are,2006,94.535
are,2007,91.826
are,2008,90.298
are,2009,88.77
are,2010,87.243
are,2011,85.715
are,2012,84.187
are,2013,82.963
are,2014,81.739
are,2015,80.514
are,2016,79.29
are,2017,78.066
are,2018,69.555
are,2019,68.616
are,2020,67.678
arg,1960,255.069
arg,1961,252.62
arg,1962,250.171
arg,1963,250.957
arg,1964,251.743
