geo,time,sp_pop_0014_fe_in
abw,1960,11899
abw,1961,12012
abw,1962,12038
abw,1963,11987
abw,1964,11877
abw,1965,11725
abw,1966,11602
abw,1967,11419
abw,1968,11202
abw,1969,10997
abw,1970,10812
abw,1971,10509
abw,1972,10264
abw,1973,10033
abw,1974,9752
abw,1975,9382
abw,1976,9171
abw,1977,8844
abw,1978,8445
abw,1979,8064
abw,1980,7772
abw,1981,7625
abw,1982,7572
abw,1983,7594
abw,1984,7602
abw,1985,7529
abw,1986,7575
abw,1987,7481
abw,1988,7300
abw,1989,7179
abw,1990,7244
abw,1991,7407
abw,1992,7768
abw,1993,8285
abw,1994,8830
abw,1995,9285
abw,1996,9693
abw,1997,9972
abw,1998,10143
abw,1999,10266
abw,2000,10387
abw,2001,10540
abw,2002,10667
abw,2003,10748
abw,2004,10759
abw,2005,10699
abw,2006,10608
abw,2007,10535
abw,2008,10477
abw,2009,10436
abw,2010,10405
abw,2011,10283
abw,2012,10116
abw,2013,9919
abw,2014,9729
abw,2015,9575
abw,2016,9395
abw,2017,9296
abw,2018,9252
abw,2019,9201
abw,2020,9113
afg,1960,1889084
afg,1961,1938161
afg,1962,1980414
afg,1963,2019726
afg,1964,2061672
afg,1965,2108914
afg,1966,2169861
afg,1967,2232549
afg,1968,2297886
afg,1969,2365976
afg,1970,2436833
afg,1971,2522034
afg,1972,2606418
afg,1973,2687830
afg,1974,2762813
afg,1975,2827164
afg,1976,2900086
afg,1977,2965343
afg,1978,3014627
afg,1979,3035884
afg,1980,3020360
afg,1981,2993323
afg,1982,2939412
afg,1983,2870806
afg,1984,2806370
afg,1985,2763494
afg,1986,2726344
afg,1987,2700214
afg,1988,2705982
afg,1989,2770529
afg,1990,2914609
afg,1991,3107658
afg,1992,3366714
afg,1993,3661343
afg,1994,3940688
afg,1995,4163101
afg,1996,4362436
afg,1997,4515377
afg,1998,4640145
afg,1999,4772697
afg,2000,4941837
afg,2001,5137506
afg,2002,5353947
afg,2003,5579221
afg,2004,5792148
afg,2005,5976085
afg,2006,6173718
afg,2007,6354167
afg,2008,6523612
afg,2009,6692547
afg,2010,6868889
afg,2011,7024632
afg,2012,7173441
afg,2013,7311698
afg,2014,7434608
afg,2015,7538168
afg,2016,7640116
afg,2017,7732304
afg,2018,7814309
afg,2019,7885531
afg,2020,7947146
ago,1960,1119390
ago,1961,1156020
ago,1962,1198618
ago,1963,1239313
ago,1964,1268318
ago,1965,1281107
ago,1966,1278124
ago,1967,1264063
ago,1968,1252658
ago,1969,1258939
ago,1970,1290464
ago,1971,1330908
ago,1972,1390247
ago,1973,1461662
ago,1974,1533860
ago,1975,1599471
ago,1976,1674517
ago,1977,1737730
ago,1978,1795226
ago,1979,1856867
ago,1980,1927909
ago,1981,2006969
ago,1982,2095579
ago,1983,2189855
ago,1984,2283009
ago,1985,2371510
ago,1986,2469014
ago,1987,2561682
ago,1988,2651119
ago,1989,2740420
ago,1990,2830943
ago,1991,2932824
ago,1992,3033742
ago,1993,3134245
ago,1994,3234367
ago,1995,3334186
ago,1996,3444240
ago,1997,3553953
ago,1998,3664043
ago,1999,3775416
ago,2000,3889101
ago,2001,4017710
ago,2002,4147984
ago,2003,4282405
ago,2004,4424434
ago,2005,4576744
ago,2006,4751540
ago,2007,4934578
ago,2008,5125026
ago,2009,5320149
ago,2010,5517269
ago,2011,5730658
ago,2012,5941834
ago,2013,6151428
ago,2014,6359972
ago,2015,6566961
ago,2016,6776879
ago,2017,6984656
ago,2018,7189750
ago,2019,7391526
ago,2020,7590076
alb,1960,315480
alb,1961,329028
alb,1962,342694
alb,1963,356069
alb,1964,368714
alb,1965,380040
alb,1966,391206
alb,1967,401064
alb,1968,410758
alb,1969,420151
alb,1970,427825
alb,1971,434102
alb,1972,440893
alb,1973,446902
alb,1974,451792
alb,1975,455638
alb,1976,459582
alb,1977,462242
alb,1978,463578
alb,1979,464776
alb,1980,467042
alb,1981,469557
alb,1982,473486
alb,1983,478124
alb,1984,482984
alb,1985,487847
alb,1986,492433
alb,1987,497862
alb,1988,503433
alb,1989,513626
alb,1990,519368
alb,1991,518613
alb,1992,517649
alb,1993,515585
alb,1994,511748
alb,1995,505749
alb,1996,497010
alb,1997,486818
alb,1998,475768
alb,1999,464361
alb,2000,452977
alb,2001,437040
alb,2002,424027
alb,2003,410566
alb,2004,396765
alb,2005,382313
alb,2006,365416
alb,2007,349545
alb,2008,334678
alb,2009,320921
alb,2010,308516
alb,2011,294565
alb,2012,282007
alb,2013,270867
alb,2014,261200
alb,2015,252745
alb,2016,248337
alb,2017,243452
alb,2018,238481
alb,2019,234387
alb,2020,231501
are,1960,20609
are,1961,21727
are,1962,23069
are,1963,24512
are,1964,25883
are,1965,27118
are,1966,28261
are,1967,29518
are,1968,31299
are,1969,34115
are,1970,38376
are,1971,43065
are,1972,48724
are,1973,55600
are,1974,63973
are,1975,74123
are,1976,84133
are,1977,95767
are,1978,109255
are,1979,124287
are,1980,140306
are,1981,154261
are,1982,168992
are,1983,184286
are,1984,199552
are,1985,214169
are,1986,229062
are,1987,242654
are,1988,255112
are,1989,266716
are,1990,277702
are,1991,287394
are,1992,296822
are,1993,305682
are,1994,313703
are,1995,321067
are,1996,333119
are,1997,345427
are,1998,359434
are,1999,375347
are,2000,392256
are,2001,386658
are,2002,382113
are,2003,381824
are,2004,389202
are,2005,406384
are,2006,426228
are,2007,453520
are,2008,486361
are,2009,519969
are,2010,549546
are,2011,575998
are,2012,596729
are,2013,613891
are,2014,629226
are,2015,642811
are,2016,666188
are,2017,683740
are,2018,697316
are,2019,708435
are,2020,717714
