geo,time,sp_pop_0014_to
abw,1960,23769
abw,1961,24035
abw,1962,24139
abw,1963,24091
abw,1964,23924
abw,1965,23683
abw,1966,23479
abw,1967,23160
abw,1968,22773
abw,1969,22398
abw,1970,22043
abw,1971,21451
abw,1972,20956
abw,1973,20474
abw,1974,19895
abw,1975,19153
abw,1976,18708
abw,1977,18054
abw,1978,17270
abw,1979,16518
abw,1980,15934
abw,1981,15642
abw,1982,15528
abw,1983,15554
abw,1984,15572
abw,1985,15459
abw,1986,15575
abw,1987,15445
abw,1988,15178
abw,1989,15039
abw,1990,15257
abw,1991,15564
abw,1992,16244
abw,1993,17171
abw,1994,18101
abw,1995,18812
abw,1996,19607
abw,1997,20152
abw,1998,20503
abw,1999,20782
abw,2000,21062
abw,2001,21290
abw,2002,21490
abw,2003,21613
abw,2004,21608
abw,2005,21479
abw,2006,21400
abw,2007,21339
abw,2008,21292
abw,2009,21253
abw,2010,21221
abw,2011,20952
abw,2012,20608
abw,2013,20213
abw,2014,19833
abw,2015,19515
abw,2016,19146
abw,2017,18944
abw,2018,18843
abw,2019,18732
abw,2020,18558
afg,1960,3791398
afg,1961,3892774
afg,1962,3987207
afg,1963,4079604
afg,1964,4176097
afg,1965,4279405
afg,1966,4408354
afg,1967,4537726
afg,1968,4670217
afg,1969,4808160
afg,1970,4952749
afg,1971,5126255
afg,1972,5298650
afg,1973,5465752
afg,1974,5620548
afg,1975,5754600
afg,1976,5905310
afg,1977,6041229
afg,1978,6145529
afg,1979,6193728
afg,1980,6167998
afg,1981,6120206
afg,1982,6018772
afg,1983,5887421
afg,1984,5762967
afg,1985,5679716
afg,1986,5602622
afg,1987,5545199
afg,1988,5553638
afg,1989,5688388
afg,1990,5996166
afg,1991,6412435
afg,1992,6972007
afg,1993,7605924
afg,1994,8199804
afg,1995,8660290
afg,1996,9063144
afg,1997,9356593
afg,1998,9583636
afg,1999,9828707
afg,2000,10160022
afg,2001,10549109
afg,2002,10994238
afg,2003,11464836
afg,2004,11906924
afg,2005,12278044
afg,2006,12685156
afg,2007,13042470
afg,2008,13369666
afg,2009,13700611
afg,2010,14061038
afg,2011,14366484
afg,2012,14673818
afg,2013,14968789
afg,2014,15230632
afg,2015,15443806
afg,2016,15664814
afg,2017,15855058
afg,2018,16017446
afg,2019,16157198
afg,2020,16280845
ago,1960,2298278
ago,1961,2366950
ago,1962,2439505
ago,1963,2504062
ago,1964,2547437
ago,1965,2565875
ago,1966,2575162
ago,1967,2565406
ago,1968,2562164
ago,1969,2592704
ago,1970,2669035
ago,1971,2742738
ago,1972,2855508
ago,1973,2991264
ago,1974,3125336
ago,1975,3243453
ago,1976,3384465
ago,1977,3498666
ago,1978,3600313
ago,1979,3712169
ago,1980,3846099
ago,1981,3998021
ago,1982,4171958
ago,1983,4359410
ago,1984,4545141
ago,1985,4721214
ago,1986,4915385
ago,1987,5099944
ago,1988,5277940
ago,1989,5455525
ago,1990,5635397
ago,1991,5838644
ago,1992,6039555
ago,1993,6239209
ago,1994,6437829
ago,1995,6635638
ago,1996,6854778
ago,1997,7072950
ago,1998,7291638
ago,1999,7512795
ago,2000,7738638
ago,2001,7995677
ago,2002,8256395
ago,2003,8525293
ago,2004,8808623
ago,2005,9111255
ago,2006,9459742
ago,2007,9823509
ago,2008,10201777
ago,2009,10590934
ago,2010,10987155
ago,2011,11418718
ago,2012,11849941
ago,2013,12280862
ago,2014,12710363
ago,2015,13136045
ago,2016,13571355
ago,2017,13999872
ago,2018,14421730
ago,2019,14837599
ago,2020,15248424
alb,1960,646025
alb,1961,672912
alb,1962,699944
alb,1963,726429
alb,1964,751660
alb,1965,774509
alb,1966,797288
alb,1967,817709
alb,1968,837976
alb,1969,857640
alb,1970,873672
alb,1971,887046
alb,1972,901357
alb,1973,914016
alb,1974,924477
alb,1975,932982
alb,1976,941877
alb,1977,948326
alb,1978,952165
alb,1979,955738
alb,1980,961426
alb,1981,967751
alb,1982,976735
alb,1983,987108
alb,1984,998122
alb,1985,1009417
alb,1986,1020875
alb,1987,1034400
alb,1988,1047555
alb,1989,1068374
alb,1990,1077154
alb,1991,1074586
alb,1992,1069575
alb,1993,1061867
alb,1994,1052793
alb,1995,1043751
alb,1996,1020696
alb,1997,999590
alb,1998,979684
alb,1999,959258
alb,2000,937016
alb,2001,907894
alb,2002,882748
alb,2003,855353
alb,2004,827057
alb,2005,798071
alb,2006,765255
alb,2007,734104
alb,2008,704868
alb,2009,678030
alb,2010,654121
alb,2011,623783
alb,2012,597500
alb,2013,574857
alb,2014,555294
alb,2015,537791
alb,2016,528734
alb,2017,518036
alb,2018,506571
alb,2019,496617
alb,2020,489128
are,1960,41184
are,1961,43747
are,1962,47181
are,1963,51008
are,1964,54531
are,1965,57446
are,1966,59527
are,1967,61578
are,1968,64931
are,1969,71200
are,1970,81606
are,1971,90007
are,1972,100972
are,1973,115023
are,1974,132684
are,1975,154344
are,1976,175066
are,1977,199262
are,1978,227333
are,1979,257332
are,1980,286609
are,1981,316293
are,1982,344839
are,1983,373720
are,1984,404351
are,1985,437297
are,1986,465313
are,1987,492369
are,1988,518793
are,1989,544169
are,1990,567999
are,1991,587110
are,1992,606644
are,1993,625811
are,1994,643561
are,1995,660128
are,1996,684503
are,1997,709253
are,1998,739446
are,1999,775914
are,2000,816214
are,2001,789171
are,2002,765574
are,2003,759301
are,2004,782991
are,2005,841538
are,2006,876732
are,2007,936996
are,2008,1012222
are,2009,1081357
are,2010,1124863
are,2011,1201024
are,2012,1241612
are,2013,1262873
are,2014,1283360
are,2015,1311986
are,2016,1346624
are,2017,1376064
are,2018,1406459
are,2019,1437500
are,2020,1465172
arg,1960,6359619
arg,1961,6443595
arg,1962,6515681
arg,1963,6578462
arg,1964,6636512
arg,1965,6692680
arg,1966,6757942
arg,1967,6820985
arg,1968,6884882
arg,1969,6953530
arg,1970,7030163
arg,1971,7127579
arg,1972,7235064
arg,1973,7351515
arg,1974,7476084
arg,1975,7608884
arg,1976,7769439
arg,1977,7943479
arg,1978,8126119
arg,1979,8308493
arg,1980,8485078
arg,1981,8694707
arg,1982,8871424
arg,1983,9029442
arg,1984,9189224
arg,1985,9358491
arg,1986,9487610
arg,1987,9646334
arg,1988,9810965
arg,1989,9947654
arg,1990,10041981
arg,1991,10148345
arg,1992,10210465
arg,1993,10243125
arg,1994,10271830
arg,1995,10308660
arg,1996,10347240
arg,1997,10385460
arg,1998,10424412
arg,1999,10461215
arg,2000,10494238
arg,2001,10510963
arg,2002,10540093
arg,2003,10573025
arg,2004,10598085
arg,2005,10609994
arg,2006,10634080
arg,2007,10637333
arg,2008,10630193
arg,2009,10630362
arg,2010,10619665
arg,2011,10654653
arg,2012,10705359
arg,2013,10765954
arg,2014,10824454
arg,2015,10874071
arg,2016,10932227
arg,2017,10978949
arg,2018,11017254
arg,2019,11052913
arg,2020,11087953
arm,1960,724437
