geo,time,sp_pop_2024_ma_5y
abw,1960,8.0006
abw,1961,8.10831
abw,1962,8.18162
abw,1963,8.24757
abw,1964,8.31156
abw,1965,8.38347
abw,1966,8.44218
abw,1967,8.50135
abw,1968,8.55553
abw,1969,8.63197
abw,1970,8.74758
abw,1971,8.99449
abw,1972,9.18179
abw,1973,9.2944
abw,1974,9.34732
abw,1975,9.39841
abw,1976,9.51993
abw,1977,9.71508
abw,1978,9.97984
abw,1979,10.27957
abw,1980,10.57663
abw,1981,10.89542
abw,1982,11.13565
abw,1983,11.24278
abw,1984,11.19135
abw,1985,10.99863
abw,1986,10.33051
abw,1987,9.56582
abw,1988,8.78487
abw,1989,8.07284
abw,1990,7.47252
abw,1991,7.65448
abw,1992,7.66997
abw,1993,7.48878
abw,1994,7.16038
abw,1995,6.76999
abw,1996,6.53858
abw,1997,6.30079
abw,1998,6.02761
abw,1999,5.75885
abw,2000,5.57165
abw,2001,5.6739
abw,2002,5.89192
abw,2003,6.15634
abw,2004,6.37493
abw,2005,6.51196
abw,2006,6.4212
abw,2007,6.19651
abw,2008,5.89393
abw,2009,5.62267
abw,2010,5.48024
abw,2011,5.82347
abw,2012,6.31062
abw,2013,6.84923
abw,2014,7.31243
abw,2015,7.61336
abw,2016,7.80394
abw,2017,7.83083
abw,2018,7.73824
abw,2019,7.61652
abw,2020,7.5155
afg,1960,8.94641
afg,1961,8.92018
afg,1962,8.91388
afg,1963,8.91262
afg,1964,8.89914
afg,1965,8.86691
afg,1966,8.77029
afg,1967,8.66442
afg,1968,8.56039
afg,1969,8.4755
afg,1970,8.42031
afg,1971,8.3499
afg,1972,8.30834
afg,1973,8.29185
afg,1974,8.29798
afg,1975,8.32788
afg,1976,8.34969
afg,1977,8.38584
afg,1978,8.43237
afg,1979,8.48902
afg,1980,8.56078
afg,1981,8.56895
afg,1982,8.57257
afg,1983,8.57299
afg,1984,8.56987
afg,1985,8.56079
afg,1986,8.54335
afg,1987,8.55643
afg,1988,8.58604
afg,1989,8.6063
afg,1990,8.58938
afg,1991,8.62376
afg,1992,8.65006
afg,1993,8.6658
afg,1994,8.68747
afg,1995,8.73507
afg,1996,8.70252
afg,1997,8.6698
afg,1998,8.6465
afg,1999,8.63179
afg,2000,8.62173
afg,2001,8.73793
afg,2002,8.86541
afg,2003,8.99019
afg,2004,9.10045
afg,2005,9.18993
afg,2006,9.06735
afg,2007,8.92631
afg,2008,8.78112
afg,2009,8.65208
afg,2010,8.55992
afg,2011,8.68434
afg,2012,8.8389
afg,2013,9.0203
afg,2014,9.22399
afg,2015,9.44036
afg,2016,9.57525
