geo,time,sp_pop_6569_fe_5y
abw,1960,1.25927
abw,1961,1.30256
abw,1962,1.35031
abw,1963,1.40787
abw,1964,1.46776
abw,1965,1.54787
abw,1966,1.60606
abw,1967,1.67426
abw,1968,1.74838
abw,1969,1.83716
abw,1970,1.94818
abw,1971,2.09526
abw,1972,2.24224
abw,1973,2.37656
abw,1974,2.48197
abw,1975,2.56196
abw,1976,2.58751
abw,1977,2.63965
abw,1978,2.71787
abw,1979,2.8196
abw,1980,2.92151
abw,1981,2.90877
abw,1982,2.87395
abw,1983,2.82912
abw,1984,2.7745
abw,1985,2.7181
abw,1986,2.65785
abw,1987,2.60658
abw,1988,2.57878
abw,1989,2.56501
abw,1990,2.56247
abw,1991,2.4714
abw,1992,2.41844
abw,1993,2.41345
abw,1994,2.4621
abw,1995,2.54741
abw,1996,2.6052
abw,1997,2.70555
abw,1998,2.83965
abw,1999,2.98966
abw,2000,3.1349
abw,2001,3.23737
abw,2002,3.33899
abw,2003,3.43155
abw,2004,3.50182
abw,2005,3.54406
abw,2006,3.59391
abw,2007,3.61866
abw,2008,3.64345
abw,2009,3.70349
abw,2010,3.83271
abw,2011,3.95678
abw,2012,4.13446
abw,2013,4.35708
abw,2014,4.59675
abw,2015,4.83358
abw,2016,5.06322
abw,2017,5.29208
abw,2018,5.52318
abw,2019,5.75653
abw,2020,5.99209
afg,1960,1.30248
afg,1961,1.29288
afg,1962,1.28602
afg,1963,1.28121
afg,1964,1.27742
afg,1965,1.27458
afg,1966,1.26807
afg,1967,1.26224
afg,1968,1.25739
afg,1969,1.25393
afg,1970,1.25218
afg,1971,1.24547
afg,1972,1.24
afg,1973,1.236
afg,1974,1.23372
afg,1975,1.23393
afg,1976,1.22603
afg,1977,1.21677
afg,1978,1.20708
afg,1979,1.19857
afg,1980,1.19312
afg,1981,1.1878
afg,1982,1.18044
afg,1983,1.1715
afg,1984,1.16039
afg,1985,1.14542
afg,1986,1.15172
afg,1987,1.15954
afg,1988,1.16451
afg,1989,1.15911
afg,1990,1.13732
afg,1991,1.11577
afg,1992,1.09812
afg,1993,1.08708
afg,1994,1.08617
afg,1995,1.09688
afg,1996,1.08231
afg,1997,1.0688
afg,1998,1.05794
afg,1999,1.05052
afg,2000,1.04643
afg,2001,1.03677
afg,2002,1.03491
afg,2003,1.03833
afg,2004,1.04401
afg,2005,1.05068
afg,2006,1.05176
afg,2007,1.04999
afg,2008,1.05155
afg,2009,1.0648
afg,2010,1.09306
afg,2011,1.12178
afg,2012,1.16452
afg,2013,1.20995
afg,2014,1.2437
afg,2015,1.25967
afg,2016,1.25524
afg,2017,1.23859
afg,2018,1.21899
afg,2019,1.20763
afg,2020,1.20948
ago,1960,1.49991
ago,1961,1.51239
ago,1962,1.51716
ago,1963,1.51917
ago,1964,1.52207
ago,1965,1.52647
ago,1966,1.47628
ago,1967,1.40235
ago,1968,1.30124
ago,1969,1.18641
ago,1970,1.08155
ago,1971,1.11041
ago,1972,1.16334
ago,1973,1.21947
ago,1974,1.25606
ago,1975,1.26595
ago,1976,1.23292
ago,1977,1.18746
ago,1978,1.14615
ago,1979,1.12751
ago,1980,1.13774
ago,1981,1.15846
ago,1982,1.19859
ago,1983,1.24125
ago,1984,1.26717
ago,1985,1.26984
ago,1986,1.23761
ago,1987,1.19123
ago,1988,1.14883
ago,1989,1.13098
ago,1990,1.14479
ago,1991,1.16698
ago,1992,1.20944
ago,1993,1.25864
ago,1994,1.2991
ago,1995,1.32472
ago,1996,1.32371
ago,1997,1.31336
ago,1998,1.30165
ago,1999,1.29719
ago,2000,1.30255
ago,2001,1.29968
ago,2002,1.30513
ago,2003,1.31026
ago,2004,1.30374
ago,2005,1.2814
ago,2006,1.2331
ago,2007,1.17583
ago,2008,1.1207
ago,2009,1.08041
ago,2010,1.05948
ago,2011,1.043
ago,2012,1.04218
ago,2013,1.04749
ago,2014,1.04732
ago,2015,1.03732
ago,2016,1.01146
ago,2017,0.97942
ago,2018,0.95198
ago,2019,0.94239
ago,2020,0.95567
alb,1960,1.98948
alb,1961,2.01058
alb,1962,2.08827
alb,1963,2.18297
alb,1964,2.24379
alb,1965,2.24785
alb,1966,2.18225
alb,1967,2.07793
alb,1968,1.96809
alb,1969,1.89729
alb,1970,1.88534
alb,1971,1.90527
alb,1972,1.96935
alb,1973,2.05252
alb,1974,2.12268
alb,1975,2.16392
alb,1976,2.16168
alb,1977,2.14346
alb,1978,2.11858
alb,1979,2.09852
alb,1980,2.08931
alb,1981,2.07377
alb,1982,2.06643
alb,1983,2.06632
alb,1984,2.07216
alb,1985,2.08293
alb,1986,2.08457
alb,1987,2.09183
alb,1988,2.10541
alb,1989,2.12758
alb,1990,2.15984
alb,1991,2.20816
alb,1992,2.27218
alb,1993,2.34672
alb,1994,2.42296
alb,1995,2.49522
alb,1996,2.50655
alb,1997,2.51039
alb,1998,2.51519
alb,1999,2.53594
alb,2000,2.57909
alb,2001,2.6652
alb,2002,2.77946
alb,2003,2.90764
alb,2004,3.02681
alb,2005,3.12411
alb,2006,3.23296
alb,2007,3.33024
alb,2008,3.42444
alb,2009,3.52937
alb,2010,3.65287
alb,2011,3.76321
alb,2012,3.87373
alb,2013,3.97941
alb,2014,4.09476
alb,2015,4.23715
alb,2016,4.35553
alb,2017,4.52586
alb,2018,4.73748
alb,2019,4.97635
alb,2020,5.23294
are,1960,1.64467
are,1961,1.58094
are,1962,1.50765
are,1963,1.42384
are,1964,1.32786
are,1965,1.21112
are,1966,1.09205
are,1967,0.96036
are,1968,0.81942
are,1969,0.68982
are,1970,0.58284
are,1971,0.54355
are,1972,0.65288
are,1973,0.87598
are,1974,1.13276
are,1975,1.34739
are,1976,1.28107
are,1977,1.22801
are,1978,1.19606
are,1979,1.16488
are,1980,1.10869
