geo,time,sp_pop_65up_ma_in
abw,1960,540
abw,1961,580
abw,1962,624
abw,1963,656
abw,1964,696
abw,1965,742
abw,1966,788
abw,1967,842
abw,1968,896
abw,1969,965
abw,1970,1038
abw,1971,1145
abw,1972,1260
abw,1973,1374
abw,1974,1485
abw,1975,1585
abw,1976,1642
abw,1977,1687
abw,1978,1722
abw,1979,1764
abw,1980,1803
abw,1981,1843
abw,1982,1888
abw,1983,1932
abw,1984,1965
abw,1985,1977
abw,1986,1980
abw,1987,1968
abw,1988,1962
abw,1989,1976
abw,1990,2019
abw,1991,2040
abw,1992,2109
abw,1993,2211
abw,1994,2332
abw,1995,2452
abw,1996,2575
abw,1997,2678
abw,1998,2772
abw,1999,2874
abw,2000,2984
abw,2001,3120
abw,2002,3269
abw,2003,3426
abw,2004,3579
abw,2005,3723
abw,2006,3878
abw,2007,4019
abw,2008,4149
abw,2009,4292
abw,2010,4461
abw,2011,4619
abw,2012,4796
abw,2013,4994
abw,2014,5202
abw,2015,5409
abw,2016,5641
abw,2017,5864
abw,2018,6093
abw,2019,6326
abw,2020,6582
afg,1960,136008
afg,1961,138633
afg,1962,140446
afg,1963,141463
afg,1964,141751
afg,1965,141324
afg,1966,144379
afg,1967,146848
afg,1968,148651
afg,1969,149704
afg,1970,149961
afg,1971,153488
afg,1972,156330
afg,1973,158391
afg,1974,159611
afg,1975,159945
afg,1976,163253
afg,1977,165181
afg,1978,165265
afg,1979,163051
afg,1980,158394
afg,1981,157480
afg,1982,153685
afg,1983,147422
afg,1984,139244
afg,1985,129454
afg,1986,128796
afg,1987,128222
afg,1988,128325
afg,1989,129651
afg,1990,132068
afg,1991,143003
afg,1992,158244
afg,1993,176084
afg,1994,194295
afg,1995,211628
afg,1996,220117
afg,1997,224095
afg,1998,225520
afg,1999,226857
afg,2000,229548
afg,2001,236176
afg,2002,244999
afg,2003,255015
afg,2004,264882
afg,2005,273779
afg,2006,285368
afg,2007,294997
afg,2008,303492
afg,2009,312173
afg,2010,322056
afg,2011,334412
afg,2012,348538
afg,2013,363833
afg,2014,379274
afg,2015,394172
afg,2016,412202
afg,2017,429085
afg,2018,445277
afg,2019,461518
afg,2020,478367
ago,1960,77066
ago,1961,79095
ago,1962,80403
ago,1963,81180
ago,1964,81588
ago,1965,81640
ago,1966,82551
ago,1967,83427
ago,1968,84042
ago,1969,84358
ago,1970,84637
ago,1971,87684
ago,1972,90589
ago,1973,93390
