geo,time,sp_pop_65up_to_zs
abw,1960,2.48289
abw,1961,2.58487
abw,1962,2.69097
abw,1963,2.80095
abw,1964,2.92993
abw,1965,3.0788
abw,1966,3.23486
abw,1967,3.39678
abw,1968,3.57449
abw,1969,3.77856
abw,1970,4.0042
abw,1971,4.3607
abw,1972,4.73596
abw,1973,5.12093
abw,1974,5.49167
abw,1975,5.85588
abw,1976,6.04265
abw,1977,6.24192
abw,1978,6.44061
abw,1979,6.64722
abw,1980,6.85071
abw,1981,6.98565
abw,1982,7.10734
abw,1983,7.19442
abw,1984,7.26972
abw,1985,7.31761
abw,1986,7.38139
abw,1987,7.45557
abw,1988,7.53287
abw,1989,7.60912
abw,1990,7.65579
abw,1991,7.39222
abw,1992,7.17374
abw,1993,7.01616
abw,1994,6.9296
abw,1995,6.91201
abw,1996,6.98678
abw,1997,7.09061
abw,1998,7.22985
abw,1999,7.3906
abw,2000,7.58038
abw,2001,7.75797
abw,2002,7.95541
abw,2003,8.16764
abw,2004,8.38288
abw,2005,8.59134
abw,2006,8.91862
abw,2007,9.22922
abw,2008,9.54833
abw,2009,9.89108
abw,2010,10.28829
abw,2011,10.58346
abw,2012,10.92044
abw,2013,11.29809
abw,2014,11.70717
abw,2015,12.13713
abw,2016,12.60489
abw,2017,13.07348
abw,2018,13.55095
abw,2019,14.05836
abw,2020,14.60577
afg,1960,2.79831
afg,1961,2.80813
afg,1962,2.80411
afg,1963,2.78617
afg,1964,2.75422
afg,1965,2.70889
afg,1966,2.71838
afg,1967,2.71611
afg,1968,2.70122
afg,1969,2.67296
afg,1970,2.63161
afg,1971,2.63524
afg,1972,2.62746
afg,1973,2.60951
afg,1974,2.58351
afg,1975,2.55145
afg,1976,2.55835
afg,1977,2.54932
afg,1978,2.5246
afg,1979,2.48576
afg,1980,2.43475
afg,1981,2.45276
afg,1982,2.44685
afg,1983,2.41337
afg,1984,2.34674
afg,1985,2.2394
afg,1986,2.27145
afg,1987,2.29474
afg,1988,2.30278
afg,1989,2.28528
afg,1990,2.23254
afg,1991,2.24233
afg,1992,2.25936
afg,1993,2.28341
afg,1994,2.31788
afg,1995,2.36832
afg,1996,2.36938
afg,1997,2.35894
afg,1998,2.34153
afg,1999,2.31929
afg,2000,2.29194
afg,2001,2.27187
afg,2002,2.25585
afg,2003,2.24315
afg,2004,2.23343
afg,2005,2.22749
afg,2006,2.25182
afg,2007,2.27064
afg,2008,2.28717
afg,2009,2.30559
afg,2010,2.32813
afg,2011,2.35446
afg,2012,2.38629
afg,2013,2.42021
afg,2014,2.45157
afg,2015,2.47866
afg,2016,2.51992
afg,2017,2.55425
afg,2018,2.58493
afg,2019,2.61579
afg,2020,2.64907
ago,1960,3.00695
ago,1961,3.04512
ago,1962,3.06449
ago,1963,3.07135
ago,1964,3.07068
ago,1965,3.06188
ago,1966,3.03201
ago,1967,2.98096
ago,1968,2.89512
ago,1969,2.76841
ago,1970,2.60753
ago,1971,2.643
ago,1972,2.66527
ago,1973,2.67562
ago,1974,2.67629
ago,1975,2.66922
ago,1976,2.64529
ago,1977,2.62096
ago,1978,2.59839
ago,1979,2.57882
ago,1980,2.56324
ago,1981,2.57372
ago,1982,2.58128
ago,1983,2.5834
ago,1984,2.57646
ago,1985,2.55968
ago,1986,2.54523
ago,1987,2.52096
ago,1988,2.49469
ago,1989,2.4753
ago,1990,2.46697
ago,1991,2.48174
ago,1992,2.49965
ago,1993,2.51718
ago,1994,2.53039
ago,1995,2.5379
ago,1996,2.55664
ago,1997,2.56699
ago,1998,2.57092
ago,1999,2.57059
ago,2000,2.56688
ago,2001,2.57473
ago,2002,2.57691
ago,2003,2.57132
ago,2004,2.55474
ago,2005,2.52636
