geo,time,sp_pop_totl_fe_zs
abw,1960,50.97956
abw,1961,50.96511
abw,1962,50.96561
abw,1963,50.98679
abw,1964,51.01264
abw,1965,51.02429
abw,1966,51.03983
abw,1967,51.03887
abw,1968,51.04579
abw,1969,51.06412
abw,1970,51.09531
abw,1971,51.14565
abw,1972,51.19384
abw,1973,51.27332
abw,1974,51.32255
abw,1975,51.35443
abw,1976,51.35015
abw,1977,51.33519
abw,1978,51.30112
abw,1979,51.27226
abw,1980,51.26046
abw,1981,51.26071
abw,1982,51.27892
abw,1983,51.30439
abw,1984,51.28768
abw,1985,51.25349
abw,1986,51.17088
abw,1987,51.05922
abw,1988,50.9235
abw,1989,50.78236
abw,1990,50.67094
abw,1991,50.59189
abw,1992,50.53488
abw,1993,50.52486
abw,1994,50.56776
abw,1995,50.67975
abw,1996,50.83463
abw,1997,51.04037
abw,1998,51.28208
abw,1999,51.52063
abw,2000,51.74543
abw,2001,51.94096
abw,2002,52.11597
abw,2003,52.26561
abw,2004,52.37382
abw,2005,52.43932
abw,2006,52.45959
abw,2007,52.44305
abw,2008,52.39537
abw,2009,52.35185
abw,2010,52.32873
abw,2011,52.32925
abw,2012,52.35217
abw,2013,52.3918
abw,2014,52.42831
abw,2015,52.46552
abw,2016,52.49034
abw,2017,52.51279
abw,2018,52.53104
abw,2019,52.55103
abw,2020,52.5673
afg,1960,48.32066
afg,1961,48.41269
afg,1962,48.49939
afg,1963,48.58087
afg,1964,48.65714
afg,1965,48.72839
afg,1966,48.79406
afg,1967,48.85427
afg,1968,48.91017
afg,1969,48.96317
afg,1970,49.01378
afg,1971,49.06212
afg,1972,49.1071
afg,1973,49.14641
afg,1974,49.17745
afg,1975,49.1986
afg,1976,49.2105
afg,1977,49.21422
afg,1978,49.20979
afg,1979,49.19712
afg,1980,49.17626
afg,1981,49.14293
afg,1982,49.09634
afg,1983,49.04418
afg,1984,48.99945
afg,1985,48.97148
afg,1986,48.97384
afg,1987,49.00136
afg,1988,49.02165
afg,1989,48.98972
afg,1990,48.88448
afg,1991,48.70543
afg,1992,48.49284
afg,1993,48.30251
afg,1994,48.1796
afg,1995,48.13758
afg,1996,48.17661
afg,1997,48.2762
afg,1998,48.40211
afg,1999,48.50693
afg,2000,48.55857
afg,2001,48.54557
afg,2002,48.48802
afg,2003,48.41983
afg,2004,48.38077
afg,2005,48.3919
afg,2006,48.45887
afg,2007,48.56572
afg,2008,48.68487
afg,2009,48.77917
afg,2010,48.82476
afg,2011,48.81578
afg,2012,48.76711
afg,2013,48.70007
afg,2014,48.64132
afg,2015,48.60705
afg,2016,48.59967
afg,2017,48.61162
afg,2018,48.63585
afg,2019,48.66239
afg,2020,48.68452
ago,1960,49.33563
ago,1961,49.24126
ago,1962,49.28981
ago,1963,49.40607
ago,1964,49.48719
ago,1965,49.46517
ago,1966,49.31621
ago,1967,49.07051
ago,1968,48.78383
ago,1969,48.54285
ago,1970,48.41062
ago,1971,48.40734
ago,1972,48.50189
ago,1973,48.65191
ago,1974,48.80785
ago,1975,48.93825
