geo,time,st_int_xpnd_mp_zs
abw,1995,3.9149
abw,1996,5.00153
abw,1997,5.93668
abw,1998,6.75927
abw,1999,9.49539
abw,2000,10.8245
abw,2001,9.82523
abw,2002,10.84134
abw,2003,11.89599
abw,2004,5.85683
abw,2005,4.99211
abw,2006,4.39818
abw,2007,4.56741
abw,2008,3.99301
abw,2009,8.39226
abw,2010,12.58695
abw,2011,4.24549
abw,2012,10.2461
abw,2013,15.0708
abw,2014,15.47546
abw,2015,16.7402
abw,2016,15.86483
abw,2017,17.1229
abw,2018,17.35789
abw,2019,17.81228
abw,2020,18.56444
afg,2008,1.01834
afg,2009,1.72113
afg,2010,1.83667
afg,2011,3.53808
afg,2012,1.12575
afg,2013,1.3725
afg,2014,1.69766
afg,2015,1.78439
afg,2016,1.21461
afg,2017,1.63389
afg,2018,2.82937
afg,2019,2.27926
afg,2020,0.70172
ago,1995,3.21108
ago,1996,2.4643
ago,1997,2.40273
ago,1998,2.03626
ago,1999,2.48964
ago,2000,2.54401
ago,2001,1.19451
ago,2002,0.73424
ago,2003,0.55674
ago,2004,0.80869
ago,2005,0.89143
ago,2006,2.4127
ago,2007,1.79816
ago,2008,1.03661
ago,2009,0.64548
ago,2010,0.77637
ago,2011,0.73579
ago,2012,0.62816
ago,2013,0.63977
ago,2014,0.94326
ago,2015,1.02453
ago,2016,3.2077
ago,2017,4.30343
ago,2018,2.94352
ago,2019,3.21534
ago,2020,4.56235
alb,1995,2.27218
alb,1996,2.24942
alb,1997,1.89556
alb,1998,2.80806
alb,1999,3.69901
alb,2000,21.47671
alb,2001,16.86415
alb,2002,21.12164
alb,2003,22.3749
alb,2004,23.12681
alb,2005,23.08341
alb,2006,24.28116
alb,2007,24.9058
alb,2008,24.43266
alb,2009,28.0659
alb,2010,25.11795
alb,2011,24.99607
alb,2012,23.47781
alb,2013,26.07767
alb,2014,27.07071
alb,2015,25.85666
alb,2016,24.58921
alb,2017,24.05899
alb,2018,25.53147
alb,2019,26.74054
alb,2020,14.19431
and,2019,9.2023
arg,1995,15.4138
arg,1996,14.72584
arg,1997,13.25724
arg,1998,13.61427
arg,1999,15.88909
arg,2000,16.51103
arg,2001,17.71339
arg,2002,20.574
arg,2003,16.00576
arg,2004,11.52976
arg,2005,10.21353
arg,2006,9.80809
arg,2007,9.48055
arg,2008,8.7731
arg,2009,11.69017
arg,2010,9.37489
arg,2011,8.59777
arg,2012,10.15265
arg,2013,9.3254
arg,2014,9.68288
arg,2015,12.20003
arg,2016,16.27284
arg,2017,15.87718
arg,2018,15.06997
arg,2019,14.79165
arg,2020,5.2854
arm,1995,1.6016
arm,1996,2.8678
arm,1997,4.60776
arm,1998,5.49615
arm,1999,5.64557
arm,2000,5.67979
arm,2001,5.4466
arm,2002,7.04208
arm,2003,6.34124
arm,2004,11.29041
arm,2005,11.37661
arm,2006,11.18584
arm,2007,11.09593
arm,2008,9.74145
arm,2009,12.63507
arm,2010,14.12777
arm,2011,15.37263
arm,2012,17.03246
arm,2013,18.38586
arm,2014,20.06468
arm,2015,23.91839
arm,2016,23.10987
arm,2017,21.55539
arm,2018,20.10078
arm,2019,20.53794
arm,2020,6.57545
atg,2014,9.62971
atg,2015,11.14814
atg,2016,10.94031
atg,2017,10.9192
atg,2018,9.79781
atg,2019,10.08757
atg,2020,4.74452
aus,1995,10.08313
aus,1996,10.63126
aus,1997,10.73148
aus,1998,10.43573
aus,1999,10.36246
aus,2000,10.26985
aus,2001,10.29723
aus,2002,9.68426
aus,2003,9.61612
aus,2004,10.96423
aus,2005,10.6087
aus,2006,10.17055
aus,2007,10.71363
aus,2008,10.37108
aus,2009,11.05583
aus,2010,10.9622
aus,2011,10.90163
aus,2012,10.56478
aus,2013,10.97619
aus,2014,11.52094
aus,2015,12.57784
aus,2016,13.66997
aus,2017,13.69977
aus,2018,13.66076
aus,2019,13.99134
aus,2020,3.06343
aut,2005,7.43995
aut,2015,6.01468
aut,2016,6.04748
aut,2017,6.0488
aut,2018,5.90499
aut,2019,6.00661
aut,2020,2.63621
aze,1995,12.78999
aze,1996,6.46621
aze,1997,9.18559
aze,1998,7.46491
aze,1999,7.76645
aze,2000,6.81982
aze,2001,5.58704
aze,2002,3.53791
aze,2003,2.52565
aze,2004,2.25793
aze,2005,2.76047
aze,2006,3.2436
aze,2007,4.1136
aze,2008,4.06391
aze,2009,4.98624
aze,2010,8.36232
aze,2011,11.3195
aze,2012,15.04622
aze,2013,15.55443
aze,2014,16.04059
aze,2015,14.87005
