geo,time,tm_tax_manf_ip_zs
abw,2011,13.80741
abw,2012,13.37699
abw,2013,13.37699
abw,2015,14.44349
abw,2016,13.5925
abw,2017,13.43895
abw,2018,13.58881
abw,2019,13.58881
afg,2004,0
afg,2006,8.92857
afg,2007,8.92857
afg,2008,3.48754
afg,2012,6.5
afg,2013,6.5
afg,2018,11.19311
ago,2002,14.78947
ago,2004,14.6871
ago,2005,8.57924
ago,2006,8.57924
ago,2008,21.25468
ago,2009,21.0512
ago,2010,9.15741
ago,2011,8.85723
ago,2012,8.56868
ago,2013,8.62989
ago,2014,17.74526
ago,2015,17.2777
ago,2016,17.24432
ago,2018,15.19677
ago,2019,15.59646
ago,2020,20.74474
alb,1997,58.10796
alb,2000,37.05447
alb,2001,37.02003
alb,2002,0
alb,2003,0.02304
alb,2004,0
alb,2005,0
alb,2006,0
alb,2007,0
alb,2008,7.27118
alb,2009,0
alb,2010,0
alb,2011,7.49824
alb,2012,0
alb,2013,4.64423
alb,2014,3.52988
alb,2015,3.40821
alb,2016,4.0029
alb,2017,3.40538
alb,2018,0
alb,2019,0
alb,2020,0
are,2005,0.01013
are,2007,0.00959
are,2008,0.01087
are,2009,0.01087
are,2011,0.01242
are,2012,0
are,2013,0
are,2014,0
are,2015,0
are,2016,0
are,2017,0
are,2018,0
are,2019,0
are,2020,0
arg,1992,32.68466
arg,1993,7.29863
arg,1995,35.13675
arg,1996,36.7929
arg,1997,35.84802
arg,1998,50.04288
arg,1999,46.20511
arg,2000,43.23831
arg,2001,39.01847
arg,2002,55.56794
arg,2003,28.46812
arg,2004,37.48459
arg,2005,23.11772
arg,2006,23.7862
arg,2007,25.5828
arg,2008,25.87377
arg,2009,25.4997
arg,2010,25.21231
arg,2011,25.28094
arg,2012,24.55474
arg,2013,24.95428
arg,2014,25.3991
arg,2015,24.93391
arg,2016,25.33467
arg,2017,25.51559
arg,2018,27.05132
arg,2019,26.10424
arg,2020,25.66757
arm,2001,0
arm,2003,0.00914
arm,2004,0.00845
arm,2005,0.00808
arm,2006,0.0064
arm,2007,0.01603
arm,2008,0
arm,2009,0
arm,2010,0
arm,2011,0
arm,2012,0
arm,2013,0
arm,2014,0
arm,2015,6.98013
arm,2016,4.97616
arm,2017,3.7058
arm,2019,0.43717
arm,2020,0.43491
atg,1996,49.97257
atg,1999,40.63636
atg,2000,54.64108
atg,2001,42.01106
atg,2002,40.59525
atg,2003,44.40041
atg,2004,46.90001
atg,2005,46.90001
atg,2006,37.99553
atg,2007,47.61028
atg,2008,46.91983
atg,2009,45.68753
atg,2010,46.43455
atg,2011,46.43455
atg,2012,40.97895
atg,2013,49.65216
atg,2014,48.59294
atg,2015,49.87807
atg,2016,49.40763
atg,2017,48.92052
atg,2018,39.84224
atg,2019,40.78078
atg,2020,40.78078
aus,1991,34.36237
aus,1993,13.0078
aus,1996,13.68223
aus,1997,13.95827
aus,1998,13.96899
aus,1999,13.88976
aus,2000,7.21516
aus,2001,7.52791
aus,2002,6.64846
aus,2003,6.82711
aus,2004,7.18497
aus,2005,6.88199
aus,2006,6.15418
aus,2007,6.15057
aus,2008,6.24909
aus,2009,6.23287
aus,2010,0.16956
aus,2011,0
aus,2012,0
aus,2013,0
aus,2014,0
aus,2015,0
aus,2016,0
aus,2017,0
aus,2018,0
aus,2019,0
aus,2020,0
aut,1988,0.40636
aut,1989,0.40087
aut,1990,8.29505
aut,1991,1.10627
aut,1992,1.3299
aut,1993,1.04121
aut,1994,0.84577
aut,1995,1.45276
aut,1996,0.33013
aut,1997,0.26792
aut,1998,0.3514
aut,1999,0.3784
aut,2000,0.29833
aut,2001,0.37783
aut,2002,0.71963
aut,2003,0.42054
aut,2004,0.27023
aut,2005,0.27562
aut,2006,0.26842
aut,2007,0.27449
aut,2008,0.23388
aut,2009,0.23462
aut,2010,0.28697
aut,2011,0.20848
aut,2012,0.19128
aut,2013,0.19562
aut,2014,0.30697
aut,2015,0.3214
aut,2016,0.27395
aut,2017,0.29305
aut,2018,0.2841
aut,2019,0.28788
aut,2020,0.18364
aze,2002,0.5424
aze,2005,0.17307
aze,2007,42.63407
aze,2008,41.11246
aze,2009,42.7727
aze,2011,42.16584
aze,2012,0.09066
aze,2013,43.40084
aze,2014,44.47409
aze,2015,44.36607
aze,2019,0.18332
aze,2020,0.15729
bdi,2002,35.39804
bdi,2003,35.99404
bdi,2005,48.05369
bdi,2006,30.92617
bdi,2007,25.80695
bdi,2008,33.75515
bdi,2009,33.4092
bdi,2010,32.21131
bdi,2011,31.98754
bdi,2012,30.7745
bdi,2013,28.95331
bdi,2014,29.01794
bdi,2015,32.27339
bdi,2016,32.846
bdi,2018,30.79019
bdi,2019,32.75741
bdi,2020,35.82627
bel,1988,0.40636
bel,1989,0.40087
bel,1990,8.29505
bel,1991,1.10627
bel,1992,1.3299
bel,1993,1.04121
bel,1994,0.84577
bel,1995,1.45276
bel,1996,0.33013
bel,1997,0.26792
bel,1998,0.3514
bel,1999,0.3784
bel,2000,0.29833
bel,2001,0.37783
bel,2002,0.71963
bel,2003,0.42054
bel,2004,0.27023
bel,2005,0.27562
bel,2006,0.26842
bel,2007,0.27449
bel,2008,0.23388
bel,2009,0.23462
bel,2010,0.28697
bel,2011,0.20848
bel,2012,0.19128
bel,2013,0.19562
bel,2014,0.30697
bel,2015,0.3214
bel,2016,0.27395
bel,2017,0.29305
bel,2018,0.2841
bel,2019,0.28788
bel,2020,0.18364
ben,2001,56.55029
ben,2002,55.7079
ben,2003,58.05936
ben,2004,58.08832
ben,2005,58.08023
ben,2006,54.81989
ben,2007,49.65665
ben,2008,49.65665
ben,2009,49.65665
ben,2010,49.65665
ben,2011,50.96875
ben,2012,50.96875
ben,2013,50.96875
ben,2014,50.1867
ben,2015,34.69997
ben,2016,34.73583
ben,2017,44.71717
ben,2018,43.63079
ben,2019,37.81462
ben,2020,37.81462
bfa,1993,0
bfa,2001,51.48985
bfa,2002,50.90299
bfa,2003,52.85014
bfa,2004,52.75128
bfa,2005,52.00401
bfa,2006,47.89935
bfa,2007,46.49805
bfa,2008,46.49805
bfa,2009,46.49805
bfa,2010,45.22758
bfa,2011,45.32167
bfa,2012,45.33015
bfa,2013,45.33015
bfa,2014,46.76981
bfa,2015,33.81989
bfa,2016,34.68661
bfa,2017,39.39517
bfa,2018,38.06602
bfa,2019,36.32854
bfa,2020,35.99831
bgd,1989,98.80067
bgd,1994,99.2999
bgd,1998,71.88559
bgd,1999,55.84057
bgd,2000,55.56928
bgd,2001,50.0226
bgd,2002,50.99499
bgd,2003,49.83314
bgd,2004,48.32995
bgd,2005,39.73512
bgd,2006,38.81684
bgd,2007,38.8267
bgd,2008,35.71705
bgd,2009,39.75075
bgd,2010,38.67823
bgd,2011,38.61651
bgd,2012,37.5195
bgd,2013,37.2136
bgd,2015,35.52248
bgd,2016,38.64893
bgd,2019,37.65715
bgd,2020,38.41061
bgr,1988,0.40636
bgr,1989,0.40087
bgr,1990,8.29505
bgr,1991,1.10627
bgr,1992,1.3299
bgr,1993,1.04121
bgr,1994,0.84577
bgr,1995,1.45276
bgr,1996,0.33013
bgr,1997,0.26792
bgr,1998,0.3514
bgr,1999,0.3784
bgr,2000,0.29833
bgr,2001,0.37783
bgr,2002,0.71963
bgr,2003,0.42054
bgr,2004,0.27023
bgr,2005,0.27562
bgr,2006,0.26842
bgr,2007,0.27449
bgr,2008,0.23388
bgr,2009,0.23462
bgr,2010,0.28697
bgr,2011,0.20848
bgr,2012,0.19128
bgr,2013,0.19562
bgr,2014,0.30697
bgr,2015,0.3214
bgr,2016,0.27395
bgr,2017,0.29305
bgr,2018,0.2841
bgr,2019,0.28788
bgr,2020,0.18364
bhr,1999,4.43989
bhr,2000,3.98593
bhr,2001,4.369
bhr,2002,0.92778
bhr,2003,0.84551
bhr,2004,0.83169
bhr,2005,0.00509
bhr,2006,0.00646
bhr,2007,0.00362
bhr,2008,0.00583
bhr,2009,0.00554
bhr,2010,0.85779
bhr,2011,0.60373
bhr,2012,0.60373
bhr,2013,0
bhr,2014,0
bhr,2015,0
