geo,time,tm_tax_manf_sm_fn_zs
abw,2011,10.55
abw,2012,10.55
abw,2013,10.55
abw,2015,10.56
abw,2016,10.56
abw,2017,10.56
abw,2018,10.56
abw,2019,10.56
afg,2004,4.31
afg,2006,5.81
afg,2007,5.81
afg,2008,5.66
afg,2012,5.84
afg,2013,5.85
afg,2018,6.2
ago,2002,7.91
ago,2004,7.9
ago,2005,6.34
ago,2006,6.34
ago,2008,6.41
ago,2009,6.39
ago,2010,6.43
ago,2011,6.43
ago,2012,6.4
ago,2013,6.4
ago,2014,8.42
ago,2015,8.42
ago,2016,8.42
ago,2018,6.18
ago,2019,6.18
ago,2020,7.19
alb,1997,16.31
alb,2000,10.59
alb,2001,10.6
alb,2002,7.28
alb,2003,6.94
alb,2004,6.31
alb,2005,6.05
alb,2006,5.55
alb,2007,5.36
alb,2008,5.13
alb,2009,4.94
alb,2010,4.94
alb,2011,4.95
alb,2012,3.46
alb,2013,3.46
alb,2014,3.46
alb,2015,3.44
alb,2016,3.44
alb,2017,3.37
alb,2018,3.32
alb,2019,3.32
alb,2020,3.32
are,2003,4.99
are,2005,4.92
are,2006,4.86
are,2007,4.7
are,2008,4.7
are,2009,4.7
are,2011,4.7
are,2012,4.63
are,2013,4.63
are,2014,4.62
are,2015,4.63
are,2016,4.63
are,2017,4.64
are,2018,4.64
are,2019,4.66
are,2020,4.64
arg,1992,14.23
arg,1993,12.89
arg,1995,13.13
arg,1996,13.91
arg,1997,14.07
arg,1998,16.39
arg,1999,16.18
arg,2000,16.1
arg,2001,13.26
arg,2002,14.95
arg,2003,15.81
arg,2004,13.1
arg,2005,12.01
arg,2006,11.98
arg,2007,13.14
arg,2008,12.96
arg,2009,14.15
arg,2010,14.04
arg,2011,13.79
arg,2012,13.74
arg,2013,15.02
arg,2014,15.31
arg,2015,15.31
arg,2016,15.31
arg,2017,15.39
arg,2018,14.92
arg,2019,14.72
arg,2020,14.64
arm,2001,2.38
arm,2003,2.31
arm,2004,2.31
arm,2005,2.31
arm,2006,2.26
arm,2007,2.24
arm,2008,2.23
arm,2009,2.29
arm,2010,2.29
arm,2011,2.38
arm,2012,2.95
arm,2013,2.95
arm,2014,2.97
arm,2015,6.59
arm,2016,5.7
arm,2017,5.45
arm,2018,5.83
arm,2019,7.23
arm,2020,5.85
atg,1996,20.65
atg,1999,17.23
atg,2000,10.43
atg,2001,8.86
atg,2002,8.87
atg,2003,8.86
atg,2004,9.02
atg,2005,9.02
atg,2006,8.95
atg,2007,8.95
atg,2008,8.95
atg,2009,9.02
