geo,time,tm_tax_manf_wm_ar_zs
abw,2011,10.93
abw,2012,10.95
abw,2013,10.95
abw,2015,11.09
abw,2016,11.3
abw,2017,11.33
abw,2018,11.4
abw,2019,11.4
afg,2004,4.53
afg,2006,9.48
afg,2007,9.48
afg,2008,6.01
afg,2012,6.2
afg,2013,6.2
afg,2018,6.41
ago,2002,5.87
ago,2004,4.55
ago,2005,5.7
ago,2006,5.7
ago,2008,6.24
ago,2009,6.24
ago,2010,6.04
ago,2011,5.44
ago,2012,5.73
ago,2013,5.18
ago,2014,8.39
ago,2015,7.11
ago,2016,7.11
ago,2018,6.88
ago,2019,5.34
ago,2020,7.3
alb,1997,15.2
alb,2000,12.05
alb,2001,11.6
alb,2002,8.66
alb,2003,8.44
alb,2004,7.49
alb,2005,7.36
alb,2006,6.72
alb,2007,5.99
alb,2008,1.43
alb,2009,4.72
alb,2010,4.82
alb,2011,0.89
alb,2012,0.7
alb,2013,0.74
alb,2014,0.67
alb,2015,0.66
alb,2016,0.75
alb,2017,0.63
alb,2018,0.77
alb,2019,0.77
alb,2020,0.76
are,2005,4.68
are,2007,4.19
are,2008,4.2
are,2009,4.2
are,2011,4.44
are,2012,3.67
are,2013,3.8
are,2014,3.43
are,2015,3.19
are,2016,3.32
are,2017,3.53
are,2018,2.99
are,2019,3.23
are,2020,3.25
arg,1992,13.73
arg,1993,13.58
arg,1995,9.02
arg,1996,14.34
arg,1997,14.92
arg,1998,16.49
arg,1999,12.01
arg,2000,11.33
arg,2001,10.01
arg,2002,13.12
arg,2003,14.05
arg,2004,6.5
arg,2005,5.74
arg,2006,6.09
arg,2007,6.58
arg,2008,6.24
arg,2009,6.65
arg,2010,6.81
arg,2011,6.8
arg,2012,7.21
arg,2013,7.67
arg,2014,8.08
arg,2015,8.61
arg,2016,8.58
arg,2017,9.13
arg,2018,8.61
arg,2019,8.39
arg,2020,8.07
arm,2001,1.55
arm,2003,1.76
arm,2004,2.09
arm,2005,1.92
arm,2006,2.02
arm,2007,2.25
arm,2008,2.44
arm,2009,2.18
arm,2010,2.47
arm,2011,2.89
arm,2012,2.88
arm,2013,2.76
arm,2014,2.87
arm,2015,3.79
arm,2016,2.83
arm,2017,2.56
arm,2019,4.07
arm,2020,3.67
atg,1996,25.08
atg,1999,22.19
atg,2000,15.39
atg,2001,12.49
atg,2002,12.49
atg,2003,13.92
atg,2004,13.91
atg,2005,13.91
atg,2006,11.65
atg,2007,13.72
atg,2008,12.95
atg,2009,14.08
atg,2010,14.83
atg,2011,14.83
atg,2012,14.17
atg,2013,14.31
atg,2014,14.06
atg,2015,14.17
atg,2016,13.55
atg,2017,12.53
atg,2018,15.62
atg,2019,13.07
atg,2020,13.07
aus,1991,10.56
aus,1993,10.15
aus,1996,6.63
aus,1997,6.73
aus,1998,6.54
aus,1999,6.03
aus,2000,5.81
aus,2001,5.64
aus,2002,4.29
aus,2003,4.39
aus,2004,4.36
aus,2005,3.68
aus,2006,4.31
aus,2007,4.39
aus,2008,4.18
aus,2009,4.78
aus,2010,3.63
aus,2011,2.37
aus,2012,2.39
aus,2013,2.44
aus,2014,2.49
aus,2015,2.31
aus,2016,1.41
aus,2017,0.97
aus,2018,0.95
aus,2019,0.83
aus,2020,0.75
aut,1988,4.32
aut,1989,4.57
aut,1990,5.99
aut,1991,5.39
aut,1992,4.78
aut,1993,4.47
aut,1994,4.96
aut,1995,5.3
aut,1996,3.33
aut,1997,3.1
aut,1998,2.87
aut,1999,2.85
aut,2000,2.14
aut,2001,2.82
aut,2002,2.3
aut,2003,2.22
aut,2004,2.03
aut,2005,2.39
aut,2006,2.44
aut,2007,2.36
aut,2008,1.84
aut,2009,1.86
aut,2010,2.48
aut,2011,1.73
aut,2012,1.67
aut,2013,1.62
aut,2014,2.27
aut,2015,2.26
aut,2016,2.12
aut,2017,2.08
aut,2018,1.98
aut,2019,2.01
aut,2020,1.8
aze,2002,7.42
aze,2005,6.1
aze,2007,4.06
aze,2008,4.01
aze,2009,4.45
aze,2011,4.01
aze,2012,4.86
aze,2013,4.86
aze,2014,5.1
aze,2015,5.2
aze,2019,6.31
aze,2020,6.32
bdi,2002,16.73
bdi,2003,16.79
bdi,2005,19.74
bdi,2006,15.89
bdi,2007,11.51
bdi,2008,11.29
bdi,2009,10.34
bdi,2010,6.21
bdi,2011,6.07
bdi,2012,5.91
bdi,2013,4.99
bdi,2014,4.9
bdi,2015,5.33
bdi,2016,5.48
bdi,2018,4.95
bdi,2019,6.09
bdi,2020,6.77
bel,1988,4.32
bel,1989,4.57
bel,1990,5.99
bel,1991,5.39
bel,1992,4.78
bel,1993,4.47
bel,1994,4.96
bel,1995,5.3
bel,1996,3.33
bel,1997,3.1
bel,1998,2.87
bel,1999,2.85
bel,2000,2.14
bel,2001,2.82
bel,2002,2.3
bel,2003,2.22
bel,2004,2.03
bel,2005,2.39
bel,2006,2.44
bel,2007,2.36
bel,2008,1.84
bel,2009,1.86
bel,2010,2.48
bel,2011,1.73
bel,2012,1.67
bel,2013,1.62
bel,2014,2.27
bel,2015,2.26
bel,2016,2.12
bel,2017,2.08
bel,2018,1.98
bel,2019,2.01
bel,2020,1.8
ben,2001,12.44
ben,2002,12.47
ben,2003,13.56
ben,2004,13.56
ben,2005,13.52
ben,2006,12.47
ben,2007,10.25
ben,2008,10.25
ben,2009,10.25
ben,2010,10.25
ben,2011,10.53
ben,2012,10.53
ben,2013,10.53
ben,2014,9.89
ben,2015,9.12
ben,2016,8.99
ben,2017,13.83
ben,2018,12.44
ben,2019,7.67
