global,time,tm_tax_mrch_ip_zs
world,1988,24.5469
world,1989,23.38784
world,1990,28.45542
world,1991,26.42546
world,1992,25.2283
world,1993,24.23119
world,1994,26.87054
world,1995,19.97127
world,1996,18.81352
world,1997,20.16922
world,1998,19.05879
world,1999,19.35946
world,2000,21.9468
world,2001,20.72962
world,2002,19.83016
world,2003,20.77323
world,2004,18.23321
world,2005,15.43066
world,2006,15.08905
world,2007,16.59257
world,2008,18.07278
world,2009,16.48886
world,2010,15.75425
world,2011,15.62757
world,2012,12.02674
world,2013,14.59169
world,2014,13.71038
world,2015,12.76093
world,2016,12.94091
world,2017,10.83129
