geo,time,tx_mnf_tech_zs_un
afg,1990,0
afg,1991,0
afg,1992,0
afg,1993,0
afg,1994,0
afg,1995,0
afg,1996,0
afg,1997,0
afg,1998,0
afg,1999,0
afg,2000,0
afg,2001,0
afg,2002,0
afg,2003,0
afg,2004,0
afg,2005,0
afg,2006,0
afg,2007,0
afg,2008,0
afg,2009,0
afg,2010,0
afg,2011,0
afg,2012,0
afg,2013,0
afg,2014,0
afg,2015,0.04983
afg,2016,0
afg,2017,0
afg,2018,1.38005
afg,2019,1.38005
ago,1990,0
ago,1991,0.00555
ago,1992,0.00555
ago,1993,0.00555
ago,1994,0.00555
ago,1995,0.00555
ago,1996,0.00555
ago,1997,0.00555
ago,1998,0.00555
ago,1999,0.00555
ago,2000,0
ago,2001,0
ago,2002,0
ago,2003,0
ago,2004,0
ago,2005,0
ago,2006,0
ago,2007,0
ago,2008,0
ago,2009,0
ago,2010,0
ago,2011,0
ago,2012,0
ago,2013,0
ago,2014,0
ago,2015,49.26344
ago,2016,40.05107
ago,2017,24.72648
ago,2018,57.66114
ago,2019,57.66114
alb,1990,10.02537
alb,1991,10.02537
alb,1992,10.02537
alb,1993,10.02537
alb,1994,10.02537
alb,1995,10.02537
alb,1996,10.02537
alb,1997,12.93149
alb,1998,4.98621
alb,1999,8.31142
alb,2000,6.55992
alb,2001,6.63984
alb,2002,6.61385
alb,2003,8.86667
alb,2004,8.81059
alb,2005,30.54577
alb,2006,16.27355
alb,2007,5.81667
alb,2008,14.26789
alb,2009,6.81943
alb,2010,15.42085
alb,2011,16.67494
alb,2012,14.69095
alb,2013,10.80985
alb,2014,3.87133
alb,2015,9.07478
alb,2016,10.18869
alb,2017,3.55659
alb,2018,4.80494
alb,2019,4.80494
are,1990,27.42524
are,1991,27.42524
are,1992,34.67731
are,1993,50.41904
are,1994,50.41904
are,1995,50.41904
are,1996,50.41904
are,1997,3.14643
are,1998,3.14643
are,1999,3.14643
are,2000,4.23087
are,2001,6.03171
are,2002,4.07989
are,2003,10.7283
are,2004,4.10967
are,2005,9.90705
are,2006,9.22532
are,2007,8.83715
are,2008,7.70156
are,2009,17.96052
are,2010,29.65416
are,2011,22.77312
are,2012,29.06574
are,2013,22.58418
are,2014,22.44392
are,2015,15.94322
are,2016,22.58483
are,2017,21.32982
are,2018,19.37069
are,2019,10.70265
arg,1990,23.62443
arg,1991,23.62443
arg,1992,23.62443
arg,1993,28.97218
arg,1994,30.00642
arg,1995,30.4614
arg,1996,31.78929
arg,1997,37.40616
arg,1998,38.01619
arg,1999,33.07762
arg,2000,36.17355
arg,2001,36.6756
arg,2002,31.65961
arg,2003,28.32215
arg,2004,30.02681
arg,2005,32.44099
arg,2006,34.19105
arg,2007,35.16519
arg,2008,38.61985
arg,2009,42.43973
arg,2010,45.01552
arg,2011,46.40126
arg,2012,46.72101
arg,2013,49.67688
arg,2014,49.12868
arg,2015,46.12701
arg,2016,44.11849
arg,2017,45.42343
arg,2018,46.24276
arg,2019,42.69659
arm,1990,21.17157
arm,1991,21.17157
arm,1992,21.17157
arm,1993,21.17157
arm,1994,21.17157
arm,1995,21.17157
arm,1996,21.17157
arm,1997,21.17157
arm,1998,21.17157
arm,1999,14.56874
arm,2000,27.45488
arm,2001,20.31695
arm,2002,8.61757
arm,2003,6.79088
arm,2004,17.13055
arm,2005,35.54424
arm,2006,25.69973
arm,2007,35.35019
arm,2008,30.8681
arm,2009,27.50333
arm,2010,24.79813
arm,2011,21.59623
arm,2012,16.88577
arm,2013,15.45894
arm,2014,15.25352
arm,2015,10.38253
arm,2016,10.70689
arm,2017,13.25342
arm,2018,14.73683
arm,2019,15.24779
aus,1990,23.79129
aus,1991,26.47294
aus,1992,29.73322
aus,1993,32.54522
aus,1994,34.39805
aus,1995,35.18519
aus,1996,35.60453
aus,1997,36.55934
aus,1998,35.73218
aus,1999,37.42576
aus,2000,40.07625
aus,2001,41.17753
aus,2002,41.3103
aus,2003,39.66411
aus,2004,37.04192
aus,2005,33.84375
aus,2006,29.31684
aus,2007,29.32701
aus,2008,26.34308
aus,2009,25.66962
aus,2010,19.94227
aus,2011,17.4684
aus,2012,19.64464
aus,2013,17.13228
aus,2014,17.81666
aus,2015,21.7575
aus,2016,21.81802
aus,2017,19.71507
aus,2018,20.63641
aus,2019,18.81311
aut,1990,53.21127
aut,1991,54.46619
aut,1992,54.9314
aut,1993,55.27782
aut,1994,54.9502
aut,1995,54.34462
aut,1996,55.81845
aut,1997,55.86532
aut,1998,55.48942
aut,1999,56.27131
aut,2000,58.89334
aut,2001,58.77352
aut,2002,59.31147
aut,2003,59.04482
aut,2004,61.36704
aut,2005,60.04579
aut,2006,60.73176
aut,2007,59.96293
aut,2008,59.26424
aut,2009,59.50295
aut,2010,59.97324
aut,2011,59.92959
aut,2012,61.05826
aut,2013,62.04743
aut,2014,61.93641
aut,2015,62.38099
aut,2016,62.53259
aut,2017,61.26962
aut,2018,61.18417
