concept,name,concept_type,domain,color,tags,drill_up
drill_up,drill ups,string,,,_none,
name,Name,string,,,_none,
time,Year,time,,,_none,
domain,Domain,string,,,_none,
geo,Geo,entity_domain,,,_none,
country,Country,entity_set,geo,,,"[""world_6region"", ""income_groups"", ""landlocked"", ""g77_and_oecd_countries"", ""main_religion_2008"", ""world_4region"", ""unicef_region"", ""un_sdg_ldc"", ""un_sdg_region"", ""income_3groups"",""unhcr_region"",""west_and_rest""]"
income_groups_wb,Income Groups (WorldBank),entity_set,geo,,,
west_and_rest,West and Rest,entity_set,geo,,,
world_4region,World in 4 Regions,entity_set,geo,"{""shades"": {""fill3"": 2, ""print_stroke"": 5, ""print_fill"": 4, ""fill2"": 1, ""shade"": 3, ""fill1"": 0}, ""palette"": {""americas"": [""#7feb00"", ""#5de200"", ""#81f201"", ""#00b900"", ""#b5ea32"", ""#008d36""], ""europe"": [""#ffe700"", ""#fbdd00"", ""#fff400"", ""#fbaf09"", ""#ffe700"", ""#b17f4a""], ""africa"": [""#00d5e9"", ""#00c8ec"", ""#00e1ec"", ""#0098df"", ""#77dff7"", ""#0586c6""], ""asia"": [""#ff5872"", ""#ff5178"", ""#ff658a"", ""#da0025"", ""#fa4e73"", ""#b2043a""], ""_default"": [""#ffb600"", ""#ffaa14"", ""#ffc500"", ""#fb6d19"", ""#ffb600"", ""#9b4838""]}, ""selectable"": false}",,
coverage_type,CoverageType,entity_domain,,,_none,
income_bracket_50,50 income brackets,entity_domain,,,_none,
income_bracket_200,200 income brackets,entity_domain,,,_none,
relative_bracket,relative income brackets,entity_domain,,,_none,
bracket_start,Bracket Start,string,,,_none,
bracket_end,Bracket End,string,,,_none,
population,Population,measure,,,_none,
population_percentage,Population Percentage,measure,,,_none,
income_mountain_50bracket_shape_for_log,Shape for 50 brackets,measure,,,_none,
income_mountain_79bracket_shape_for_log,Shape for 79 brackets,measure,,,_none,
poverty_population_under_1_9_per_day,Poverty Population under 1.9$/day,measure,,,_none,
mean_income,Mean income or consumption per month,measure,,,_none,
median_income,Median income or consumption per month,measure,,,_none,
color,Color,string,,,_none,
description,Description,string,,,_none,
rank,rank,string,,,_none,
shape_lores_svg,shape lores svg,string,,,_none,
poverty_population,Poverty population count,measure,,,_none,
poverty_rate,Poverty rate,measure,,,_none,
poverty_line,Poverty line,measure,,,_none,
gm_level,Gapminder income level,entity_domain,,,_none,
wb_level,World Bank income level,entity_domain,,,_none,
income_mountain_50bracket_max_height_for_log,Max Height for income mountain,string,,,_none,
latitude,Latitude,string,,,_none,
longitude,Longitude,string,,,_none,
name_long,Name Long,string,,,_none,
name_short,Name Short,string,,,_none,
un_state,,boolean,,,_none,
g77_and_oecd_countries,G77 and OECD countries,entity_set,geo,"{""palette"": {""others"": ""#f05656"", ""oecd"": ""#71c44c"", ""g77"": ""#7487ef""}}",,
global,Global,entity_set,geo,,,
income_3groups,Income 3 Groups,entity_set,geo,,,
income_groups,Income groups,entity_set,geo,"{""palette"": {""upper_middle_income"": ""#a7cb7d"", ""lower_middle_income"": ""#7ea1d1"", ""high_income"": ""#7bc135"", ""low_income"": ""#4366f4""}}",,
landlocked,Landlocked,entity_set,geo,"{""palette"": {""landlocked"": ""#f05656"", ""coastline"": ""#7487ef""}}",,
main_religion_2008,Main religion 2008,entity_set,geo,"{""palette"": {""muslim"": ""#71c44c"", ""christian"": ""#7487ef"", ""eastern_religions"": ""#f05656""}, ""selectable"": false}",,
un_sdg_ldc,UN SDG Least Developed Countries,entity_set,geo,"{""palette"": {""un_least_developed"": ""#dc2339"", ""un_not_least_developed"": ""#23DCC6""}}",,
un_sdg_region,UN SDG Regions,entity_set,geo,"{""palette"": {""un_sub_saharan_africa"":""#e11484"",""un_northern_africa_and_western_asia"":""#f99d26"",""un_central_and_southern_asia"":""#f36d25"",""un_eastern_and_south_eastern_asia"":""#279b48"",""un_oceania_exc_australia_and_new_zealand"":""#8f1838"",""un_latin_america_and_the_caribbean"":""#00aed9"",""un_australia_and_new_zealand"":""#eb1c2d"",""un_europe_and_northern_america"":""#02558b""}, ""selectable"": true}",,
unhcr_region,UNHCR Regions,entity_set,geo,,,
unicef_region,UNICEF regions,entity_set,geo,"{""palette"": {""sa"": ""#961a49"", ""eca"": ""#ffc20e"", ""mena"": ""#374ea2"", ""ssa"": ""#6a1e74"", ""lac"": ""#f26a21"", ""eap"": ""#e2231a"", ""na"": ""#00833d""}}",,
world_6region,World regions (6 colors),entity_set,geo,"{""palette"": {""east_asia_pacific"": ""#f03838"", ""sub_saharan_africa"": ""#4e7af0"", ""south_asia"": ""#35d1d1"", ""europe_central_asia"": ""#f49d37"", ""middle_east_north_africa"": ""#5be56b"", ""america"": ""#ebcc21""}, ""selectable"": false}",,
iso3166_1_alpha2,ISO 3166-1 alpha-2,string,,,_none,
unicode_region_subtag,Unicode CLDR Region subtag,string,,,_none,
iso3166_1_alpha3,ISO 3166-1 alpha-3,string,,,_none,
iso3166_1_numeric,ISO 3166-1 mumeric,string,,,_none,
iso3166_2,ISO 3166-2,string,,,_none,
topojson,Topojson,string,,,_none,
tags,Tags,string,,,_none,
set,Entity set,string,,,_none,
