income_3groups,time,income_mountain_50bracket_shape_for_log
high_income,1944,"0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,10,18,28,49,92,178,341,617,1151,2051,3323,4860,6380,6979,6126,4538,3040,1860,1084,598,313,156,76,37,17,10,0,0,0,0,0,0,0,0,0"
high_income,1945,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,14,24,39,71,137,267,518,968,1809,3045,4516,6154,7040,6707,5111,3437,2091,1168,620,314,152,72,33,15,9,0,0,0,0,0,0,0,0,0"
high_income,1946,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,17,26,46,83,167,341,685,1408,2545,4048,5713,6927,7060,5866,4076,2600,1489,819,430,214,102,49,22,10,2,0,0,0,0,0,0,0,0"
high_income,1947,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,20,35,62,118,222,404,761,1451,2569,4500,6951,9508,11898,13390,13763,13089,11785,9719,7052,3308,840,219,87,44,20,10,1,0,0,0,0,0,0,0"
high_income,1948,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,12,23,40,85,159,294,548,1035,1870,3388,5608,8160,10961,13268,14447,14397,13211,11016,8128,4325,1243,343,135,67,32,13,9,0,0,0,0,0,0,0"
high_income,1949,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,16,30,61,129,236,437,829,1504,2752,4754,7130,9868,12660,14536,15302,14689,12509,9303,5417,1735,482,181,86,44,18,10,5,0,0,0,0,0,0"
high_income,1950,"853,1099,1286,1351,1249,985,625,285,77,8,0,6,34,246,940,1991,2502,1872,1034,1561,4672,10345,18777,37796,75721,149549,303519,585562,767057,803344,688509,567717,369720,185080,93942,50167,25623,12331,5298,3769,4057,2722,1011,234,65,28,12,5,0,0"
high_income,1951,"810,1069,1282,1382,1320,1086,730,365,116,15,0,2,19,164,737,1776,2526,2122,1141,1180,3566,8736,16012,31306,64101,125214,258680,516823,752512,818214,732520,607483,430643,221724,110479,58693,30477,14952,6442,3775,4157,3208,1375,335,81,33,14,7,0,0"
high_income,1952,"835,1100,1317,1417,1350,1107,740,368,116,15,0,2,21,175,770,1840,2584,2144,1125,1170,3605,8787,15940,31074,63740,125795,262585,528755,765747,831234,741378,615249,433384,222299,110968,59212,30901,14998,6385,3794,4222,3226,1362,326,79,30,13,7,0,0"
high_income,1953,"834,1108,1336,1450,1395,1160,790,404,132,20,0,1,17,152,717,1793,2619,2252,1190,1051,3244,8219,14934,28588,59090,117392,248419,507871,766723,843412,765447,635676,460103,239451,119123,63598,33760,16334,6910,3844,4271,3426,1515,369,84,30,13,7,0,0"
high_income,1954,"810,1092,1337,1478,1453,1239,876,474,168,29,1,0,11,114,597,1642,2606,2421,1311,855,2529,7088,13366,25083,52401,104336,222334,459636,752409,850714,801063,664885,504947,272228,134040,71009,38454,18825,7991,3939,4240,3750,1820,471,100,33,14,7,0,0"
high_income,1955,"771,1062,1326,1497,1507,1326,977,562,220,46,3,0,8,77,466,1453,2571,2730,1821,1302,2770,7284,14056,25297,51621,102740,212970,430841,753103,878974,859314,710556,562346,321574,156696,81260,43497,21503,9512,4234,4140,4091,2240,646,128,36,15,8,0,0"
high_income,1956,"735,1034,1312,1508,1553,1405,1076,653,280,66,6,0,5,53,360,1259,2454,2858,2042,1305,2333,6323,12788,22294,44198,88473,183726,378266,711928,880971,895694,749229,608906,371318,181119,92261,49370,24630,11199,4705,4016,4337,2655,860,166,41,16,8,0,0"
high_income,1957,"725,1032,1320,1533,1593,1459,1134,704,312,79,7,0,3,42,321,1185,2410,2909,2091,1160,1864,5467,11550,19934,39182,79528,168056,355339,693914,890310,921416,778172,637248,400580,196023,98773,52446,26173,12081,5002,3988,4459,2873,979,188,42,15,8,0,0"
high_income,1958,"782,1095,1385,1588,1624,1460,1106,671,288,74,16,20,24,88,448,1441,2714,3131,2341,1849,3514,8813,17393,29634,54085,99944,199567,407277,758157,929215,939431,785094,635175,381601,186449,95561,51209,25517,11524,4907,4315,4536,2700,850,173,44,18,6,0,0"
high_income,1959,"747,1066,1371,1601,1673,1543,1209,766,354,101,18,12,22,62,346,1243,2564,3219,2541,1802,2953,7598,15827,26881,47910,88466,174659,360542,707996,927986,973235,831462,685656,440497,217432,109681,58716,29581,13618,5597,4218,4750,3155,1114,228,53,20,7,0,0"
high_income,1960,"711,1038,1356,1614,1721,1626,1315,866,424,135,25,10,16,49,269,1061,2402,3284,2781,1875,2575,6623,14539,24626,42542,78344,152431,320441,652734,925310,1001603,883959,734823,504023,253947,126266,67174,34215,15972,6513,4176,4888,3618,1432,304,68,22,8,0,0"
high_income,1961,"678,1009,1342,1623,1768,1707,1423,974,509,175,36,10,16,39,211,902,2237,3334,3067,2082,2422,5913,13495,23059,38091,68782,131545,281448,590282,916424,1024039,942204,785971,573530,299318,148086,78962,42172,19727,7914,4262,4951,4086,1810,418,81,32,8,0,0"
high_income,1962,"673,1015,1358,1650,1811,1759,1483,1033,551,195,41,10,17,45,205,871,2228,3418,3253,2272,2538,5992,13732,23756,38877,69331,130329,276064,579095,927628,1049723,985245,827002,618251,330140,164721,88911,49604,24222,9334,4548,5080,4338,2002,481,94,37,12,0,0"
high_income,1963,"663,1012,1364,1674,1852,1821,1554,1103,599,217,47,11,10,30,177,791,2136,3417,3353,2302,2328,5417,12890,22832,37005,65506,122508,260463,551491,926569,1067161,1026602,868336,670395,370030,186054,101138,57689,30489,11777,5028,5198,4646,2266,582,117,40,20,0,0"
high_income,1964,"641,995,1359,1683,1886,1884,1639,1191,670,259,60,12,10,26,143,695,2013,3399,3521,2477,2271,5028,12289,22531,35716,61487,113032,239602,511908,912826,1080759,1071578,912900,728494,419613,212035,115551,66993,37854,15733,5921,5333,5013,2617,724,146,50,21,5,0"
high_income,1965,"39171,52282,59622,60634,54797,43252,28705,15446,6394,2705,2223,3669,12661,41352,91951,137643,139044,112570,146907,278375,472269,786110,1414743,2653067,4688923,7818382,11999974,17787083,25392618,31749304,32680242,27885262,19496819,11260727,5398855,2252188,891282,412944,190846,56110,13822,8223,6589,3514,1126,313,121,55,21,4"
high_income,1966,"36914,51185,59783,61983,57276,46387,31828,17714,7479,2741,1816,2732,9588,34186,82507,132878,143210,114790,129956,243970,423384,697613,1239288,2324951,4192958,7137962,11212637,16718344,24334937,31406208,33464349,29551633,21391917,12775115,6299736,2682206,1062392,473485,227834,74192,17324,8805,6931,3781,1265,361,146,67,24,10"
