un_sdg_region,time,income_mountain_50bracket_shape_for_log
un_australia_and_new_zealand,1800,"14,23,35,55,85,139,244,462,935,1937,3937,7780,15132,28373,46634,61668,65327,56982,42471,27904,16641,9654,5609,3240,1862,1073,628,377,237,155,106,75,56,41,30,23,16,11,8,5,3,2,1,1,0,0,0,0,0,0"
un_australia_and_new_zealand,1801,"13,22,35,52,82,133,232,440,890,1849,3775,7483,14561,27396,45546,61042,65331,57368,43030,28420,16988,9856,5727,3309,1902,1095,640,384,240,157,108,76,56,42,31,22,16,11,8,5,3,2,1,1,0,0,0,0,0,0"
un_australia_and_new_zealand,1802,"13,21,34,51,79,129,225,425,857,1780,3641,7226,14070,26531,44476,60349,65297,57793,43644,28964,17339,10061,5847,3381,1943,1118,653,390,244,159,109,78,57,41,31,22,16,12,8,6,3,3,1,1,0,0,0,0,0,0"
un_australia_and_new_zealand,1803,"12,21,32,49,78,125,219,410,826,1714,3513,6984,13605,25714,43464,59705,65305,58253,44283,29527,17704,10272,5971,3454,1985,1142,667,398,248,161,110,78,57,42,31,23,17,12,8,6,3,3,1,1,0,0,0,0,0,0"
un_australia_and_new_zealand,1804,"12,21,31,49,75,122,211,396,794,1648,3383,6735,13127,24872,42425,59059,65367,58802,45015,30169,18122,10515,6114,3537,2034,1170,682,407,253,164,112,80,58,43,32,23,17,12,9,6,4,3,1,1,0,0,0,0,0,0"
un_australia_and_new_zealand,1805,"12,20,32,48,74,120,206,384,769,1594,3278,6529,12721,24159,41604,58586,65410,59244,45670,30765,18506,10728,6236,3612,2080,1198,698,417,259,168,114,81,58,43,32,24,17,12,9,6,4,3,1,1,0,0,0,0,0,0"
un_australia_and_new_zealand,1806,"12,20,31,47,73,117,200,372,743,1540,3171,6327,12333,23474,40760,58089,65540,59803,46383,31389,18915,10965,6375,3694,2127,1225,714,425,264,171,116,82,60,44,32,23,17,13,9,6,4,3,1,1,0,0,0,0,0,0"
un_australia_and_new_zealand,1807,"12,19,30,46,72,116,199,365,726,1501,3086,6153,12002,22889,39981,57548,65601,60377,47137,32047,19353,11218,6521,3781,2177,1253,730,434,269,174,118,83,60,45,33,24,17,13,8,6,4,3,1,1,0,0,0,0,0,0"
un_australia_and_new_zealand,1808,"12,19,30,46,71,113,193,355,702,1451,2989,5971,11654,22276,39213,57082,65750,60998,47927,32756,19839,11504,6687,3878,2234,1286,749,445,274,178,120,84,61,45,34,25,18,13,8,6,4,3,1,1,0,0,0,0,0,0"
un_australia_and_new_zealand,1809,"11,18,30,45,69,111,188,345,683,1409,2907,5813,11352,21733,38510,56667,65943,61638,48724,33466,20321,11785,6850,3974,2291,1318,767,455,281,180,122,85,62,46,33,25,18,12,9,7,4,3,1,1,0,0,0,0,0,0"
un_australia_and_new_zealand,1810,"11,19,29,44,68,109,185,337,664,1370,2830,5668,11074,21228,37840,56285,66206,62380,49625,34270,20871,12106,7037,4083,2354,1355,788,467,288,185,124,88,63,47,34,26,19,13,9,7,4,3,1,1,0,0,0,0,0,0"
