unicef_region,time,income_mountain_50bracket_shape_for_log
eap,1800,"24244,33720,47010,68582,106830,178989,321150,620810,1275187,2635768,5256777,9972550,17948275,29283239,41827983,51960316,57329381,55624045,46418867,34543190,22648865,13420870,7632590,4239008,2265393,1218956,655911,354313,197733,115247,70295,44334,28388,18198,11534,7176,4393,2635,1549,876,467,240,118,39,6,0,0,0,0,0"
eap,1801,"24413,33946,47338,69099,107750,180668,324428,627638,1289701,2665210,5312757,10073368,18118681,29525012,42115235,52246494,57579965,55787272,46492827,34561623,22638307,13408595,7625474,4234939,2263068,1217759,655326,354012,197564,115142,70230,44297,28359,18181,11517,7176,4382,2636,1551,878,468,241,118,38,6,0,0,0,0,0"
eap,1802,"24579,34162,47649,69622,108658,182344,327692,634446,1304198,2694642,5368804,10174604,18289826,29767926,42404452,52534870,57833043,55953251,46569791,34582250,22628548,13396565,7618473,4230928,2260788,1216584,654768,353726,197409,115051,70176,44260,28333,18163,11509,7164,4385,2635,1547,875,468,241,118,37,6,0,0,0,0,0"
eap,1803,"24748,34388,47985,70163,109609,184115,331159,641702,1319612,2725733,5427656,10280378,18466479,30015366,42693231,52821147,58083223,56113284,46643963,34603214,22621726,13387928,7613598,4228123,2259175,1215785,654390,353528,197296,114980,70122,44226,28305,18147,11502,7160,4378,2630,1549,874,468,242,118,36,6,0,0,0,0,0"
eap,1804,"24919,34619,48321,70717,110577,185906,334673,649047,1335186,2757129,5487100,10387203,18644869,30265154,42984963,53110580,58336312,56275367,46719299,34624622,22614727,13379027,7608583,4225236,2257504,1214952,653996,353324,197184,114902,70074,44198,28289,18132,11493,7155,4385,2636,1550,873,468,240,118,36,6,0,0,0,0,0"
eap,1805,"25093,34845,48660,71267,111546,187715,338210,656441,1350881,2788759,5546973,10494752,18824444,30516624,43278371,53401590,58590981,56438773,46795618,34647227,22609226,13371444,7604468,4222986,2256207,1214351,653735,353185,197107,114861,70039,44173,28270,18125,11486,7151,4377,2629,1551,874,465,241,119,37,6,0,0,0,0,0"
eap,1806,"25271,35089,49018,71863,112602,189696,342139,664697,1368253,2823509,5612082,10609494,19015431,30781982,43584709,53704133,58850365,56596972,46858700,34656767,22594524,13358000,7596889,4218722,2253739,1213041,653053,352790,196856,114699,69939,44102,28228,18091,11467,7141,4370,2629,1543,878,464,238,121,37,6,0,0,0,0,0"
eap,1807,"25448,35338,49377,72464,113672,191714,346118,673042,1385815,2858631,5677829,10725277,19208199,31049438,43893473,54009081,59111708,56756388,46922634,34667244,22580489,13345038,7589659,4214690,2251403,1211808,652417,352420,196628,114540,69834,44027,28178,18065,11451,7136,4366,2629,1545,877,465,238,120,35,6,0,0,0,0,0"
eap,1808,"25628,35576,49740,73058,114737,193713,350082,681341,1403295,2893587,5743346,10840911,19400783,31316779,44202295,54314339,59374496,56918182,46989719,34680965,22569252,13334205,7583827,4211522,2249590,1210906,651974,352163,196471,114426,69749,43977,28142,18042,11436,7126,4365,2625,1547,877,466,238,120,36,6,0,0,0,0,0"
eap,1809,"25808,35819,50111,73672,115835,195782,354185,689932,1421338,2929588,5810498,10959007,19597483,31588464,44516006,54623993,59639311,57079358,47055095,34693424,22556615,13322243,7577317,4207955,2247522,1209851,651441,351848,196268,114300,69666,43919,28110,18014,11421,7117,4361,2624,1541,877,464,236,121,35,6,0,0,0,0,0"
