world_4region,time,income_mountain_50bracket_shape_for_log
africa,1800,"9226,14908,23497,36536,55996,85212,130318,205191,335912,568244,980935,1676650,2778854,4322010,6127777,7908622,9305590,9822873,9290708,8055593,6375970,4699823,3226567,2065937,1268507,756588,443055,259756,152651,89137,51689,30135,17758,10625,6459,3966,2407,1464,874,500,251,150,57,33,20,11,10,3,0,0"
africa,1801,"9236,14908,23507,36545,56020,85220,130336,205210,335939,568299,981019,1676750,2779614,4324649,6132891,7915683,9316083,9835670,9303870,8067550,6387617,4709769,3234066,2070841,1271187,757944,443756,260141,152865,89249,51755,30175,17788,10641,6477,3970,2413,1469,879,501,251,150,58,33,20,11,10,3,0,0"
africa,1802,"9236,14909,23509,36550,56028,85251,130358,205230,335967,568328,981122,1676940,2780685,4328003,6139254,7924390,9328027,9849008,9316663,8078702,6397733,4718234,3240778,2075466,1273984,759508,444596,260598,153129,89409,51841,30236,17817,10661,6486,3980,2419,1468,880,502,252,150,59,33,20,11,10,3,0,0"
africa,1803,"9241,14908,23522,36570,56059,85285,130402,205286,336069,568490,981418,1677359,2781956,4331309,6145120,7932051,9338658,9861355,9329290,8090035,6408899,4728097,3248531,2080699,1276918,761089,445437,261056,153381,89546,51923,30277,17853,10676,6493,3987,2425,1469,882,503,251,150,59,33,20,11,10,3,0,0"
africa,1804,"9243,14915,23526,36579,56069,85309,130426,205323,336132,568632,981692,1677807,2783382,4335085,6151805,7941020,9350465,9874678,9342523,8101559,6419450,4736833,3255161,2085167,1279610,762543,446224,261493,153622,89690,52008,30335,17877,10690,6503,3993,2428,1473,882,503,251,150,59,33,20,11,10,3,0,0"
africa,1805,"9285,14982,23630,36716,56251,85530,130690,205660,336596,569281,982706,1679329,2786481,4341675,6162300,7953605,9365754,9888210,9353093,8109032,6427547,4744492,3261089,2088361,1280447,762432,445939,261299,153493,89614,51965,30309,17876,10683,6502,4001,2426,1474,881,505,252,150,59,33,20,11,10,3,0,0"
africa,1806,"9267,14960,23612,36704,56242,85509,130660,205595,336476,569086,982393,1678831,2786457,4343303,6166486,7960490,9376334,9901328,9366931,8122272,6440013,4755328,3269884,2094740,1284603,765039,447497,262215,154008,89897,52123,30399,17930,10713,6518,4010,2431,1479,886,506,252,150,59,33,20,11,10,3,0,0"
africa,1807,"9174,14825,23416,36450,55921,85130,130184,204974,335647,567950,980699,1676094,2782565,4338155,6160939,7957125,9377334,9912483,9386204,8145015,6461222,4772122,3283039,2105416,1293043,771013,451260,264374,155270,90624,52534,30628,18059,10790,6562,4036,2449,1487,890,508,255,151,59,33,20,11,10,3,0,0"
africa,1808,"9311,15031,23714,36857,56441,85771,130986,206043,337162,570194,984228,1681643,2792131,4354817,6183887,7981673,9400797,9924050,9388029,8141252,6460718,4774201,3284864,2104435,1289766,767654,448851,262951,154398,90099,52235,30461,17967,10743,6534,4019,2439,1482,886,507,251,151,60,33,20,11,10,3,0,0"
africa,1809,"9334,15065,23757,36918,56526,85882,131132,206246,337446,570625,984962,1682865,2794778,4360569,6193112,7993761,9415069,9937817,9400181,8151180,6470094,4782101,3290994,2108347,1291953,768819,449442,263282,154566,90213,52305,30501,17991,10760,6540,4026,2443,1483,894,509,251,151,61,33,20,11,10,3,0,0"
africa,1810,"9202,14888,23514,36580,56104,85368,130495,205417,336321,569006,982520,1678941,2789054,4352690,6185449,7988306,9416682,9952886,9423760,8177390,6492984,4800239,3305121,2119928,1300906,774977,453262,265461,155857,90936,52729,30739,18128,10835,6585,4054,2455,1492,896,512,254,151,61,33,20,11,10,3,0,0"
africa,1811,"9498,15302,24096,37370,57095,86590,132075,207590,339444,573796,990114,1691231,2810488,4388745,6231489,8039375,9458952,9967798,9412381,8155389,6475408,4786689,3292827,2107249,1289419,766747,448177,262615,154202,90025,52215,30470,17986,10750,6537,4025,2443,1484,896,508,253,151,63,33,20,11,10,3,0,0"
africa,1812,"9474,15277,24054,37324,57047,86543,132012,207511,339377,573776,990205,1691394,2811171,4391279,6236957,8046972,9469668,9982310,9429834,8172876,6491671,4799845,3303436,2115329,1294827,770231,450398,263960,155014,90505,52493,30631,18077,10805,6568,4043,2455,1490,896,511,253,151,63,33,20,11,10,3,0,0"
africa,1813,"8745,14119,22222,34500,52796,80369,123370,195822,323960,553687,963752,1655723,2763212,4329434,6179012,7998040,9445896,10021836,9518501,8276131,6577028,4860636,3347206,2148531,1319370,786917,461113,270721,159483,93474,54499,31950,18927,11354,6914,4248,2570,1557,929,540,270,161,66,33,20,11,10,3,0,0"
africa,1814,"8720,14087,22192,34454,52756,80332,123334,195795,323971,553789,964056,1656245,2764675,4332812,6185157,8007592,9459763,10040271,9539390,8296087,6595460,4875970,3358917,2156866,1324789,790287,463124,271889,160184,93892,54729,32088,19008,11403,6938,4274,2579,1565,935,541,272,161,66,33,20,11,10,3,0,0"
africa,1815,"8946,14411,22645,35064,53540,81317,124594,197513,326444,557519,969989,1665724,2780597,4359301,6219297,8045516,9494135,10057872,9543801,8292283,6594309,4876617,3358697,2153377,1319493,785655,459984,270082,159092,93279,54384,31907,18910,11352,6913,4255,2570,1566,934,543,270,163,66,33,20,11,10,3,0,0"
africa,1816,"8886,14332,22534,34923,53373,81106,124327,197173,326009,556914,969129,1664332,2779068,4358760,6222526,8052866,9509291,10082332,9573064,8319786,6618022,4895789,3373155,2163963,1326642,790095,462596,271607,159992,93794,54682,32075,19011,11413,6953,4281,2585,1574,936,550,272,163,66,33,20,12,10,3,0,0"
africa,1817,"8830,14245,22436,34785,53209,80923,124115,196931,325726,556632,968903,1664096,2779398,4360648,6228069,8062512,9525393,10106247,9600777,8346338,6641341,4914857,3388085,2175240,1334524,795131,465616,273357,161021,94386,55020,32280,19131,11480,6995,4309,2597,1584,937,553,274,164,66,33,20,12,10,3,0,0"
africa,1818,"8746,14128,22271,34575,52949,80620,123762,196493,325196,555991,968103,1662969,2778454,4360489,6231144,8070960,9542115,10133562,9633031,8378011,6667783,4935505,3403655,2187061,1343107,800855,469144,275439,162246,95114,55445,32519,19267,11564,7034,4335,2615,1592,945,556,277,164,69,33,21,12,10,3,0,0"
africa,1819,"8954,14420,22680,35147,53689,81551,125017,198249,327815,560059,974722,1673714,2796347,4389585,6268689,8114560,9584362,10163845,9653587,8390870,6681132,4947465,3411472,2189542,1342129,799169,467871,274714,161805,94865,55320,32451,19246,11556,7028,4327,2622,1591,947,554,276,164,69,33,21,12,10,4,0,0"
africa,1820,"8983,14466,22759,35260,53870,81834,125464,198956,329003,562127,978415,1680146,2807684,4408572,6296658,8151277,9627471,10209123,9696451,8427715,6711348,4970960,3428861,2201423,1349713,803783,470597,276306,162755,95432,55637,32644,19353,11627,7083,4352,2638,1607,955,558,279,164,69,34,21,12,10,4,0,0"
