income_groups,time,poverty_population_under_1_9_per_day
low_income,1800,758276971
low_income,1801,761135220
low_income,1802,764406770
low_income,1803,767712908
low_income,1804,771031396
low_income,1805,774424777
low_income,1806,777851471
low_income,1807,781281432
low_income,1808,784801854
low_income,1809,788436690
low_income,1810,793093820
low_income,1811,797736690
low_income,1812,802771211
low_income,1813,807831323
low_income,1814,813174788
low_income,1815,818675200
low_income,1816,823934614
low_income,1817,828871519
low_income,1818,835350954
low_income,1819,840334029
low_income,1820,843038875
low_income,1821,847154223
low_income,1822,852288441
low_income,1823,855561546
low_income,1824,860525438
low_income,1825,866183313
low_income,1826,870500826
low_income,1827,873513576
low_income,1828,877872853
low_income,1829,882176826
low_income,1830,889001922
low_income,1831,896564218
low_income,1832,900920525
low_income,1833,906533431
low_income,1834,909347658
low_income,1835,911955694
low_income,1836,915628119
low_income,1837,917987938
low_income,1838,920291918
low_income,1839,923415202
low_income,1840,905934989
low_income,1841,909872130
low_income,1842,931517647
low_income,1843,916601087
low_income,1844,915725479
low_income,1845,918676052
low_income,1846,921306532
low_income,1847,924257676
low_income,1848,928156172
low_income,1849,930285711
low_income,1850,916881527
low_income,1851,929037450
low_income,1852,914854772
low_income,1853,926779314
low_income,1854,911754035
low_income,1855,908099400
low_income,1856,908434318
low_income,1857,905736745
low_income,1858,906249979
low_income,1859,905439807
low_income,1860,904940505
low_income,1861,903577939
low_income,1862,905579199
low_income,1863,908180970
low_income,1864,908933387
low_income,1865,910668014
low_income,1866,910044571
low_income,1867,910754937
low_income,1868,912333198
low_income,1869,913442674
low_income,1870,915602035
low_income,1871,916931496
low_income,1872,918195547
low_income,1873,911666698
low_income,1874,922978672
low_income,1875,918660945
low_income,1876,921905635
low_income,1877,924325146
low_income,1878,925918604
low_income,1879,929358099
low_income,1880,928831914
low_income,1881,935611061
low_income,1882,938998335
low_income,1883,944888530
low_income,1884,945936581
low_income,1885,949741233
low_income,1886,960224988
low_income,1887,922541042
low_income,1888,925554142
low_income,1889,970436725
low_income,1890,968026405
low_income,1891,992438957
low_income,1892,976192041
low_income,1893,939236847
low_income,1894,937498825
low_income,1895,944151917
low_income,1896,956486094
low_income,1897,938586659
low_income,1898,931187222
low_income,1899,954856114
low_income,1900,955430643
low_income,1901,957808610
low_income,1902,947079562
low_income,1903,946750482
low_income,1904,952824247
low_income,1905,968003386
low_income,1906,946592283
low_income,1907,972061014
low_income,1908,972530870
low_income,1909,951705588
low_income,1910,961189164
low_income,1911,971464651
low_income,1912,973162362
low_income,1913,979149411
low_income,1914,971443169
low_income,1915,984657516
low_income,1916,985806026
low_income,1917,1000112886
low_income,1918,1085418013
low_income,1919,1068914610
low_income,1920,1089542718
low_income,1921,1080767589
low_income,1922,1068672717
low_income,1923,1082369334
low_income,1924,1067106932
low_income,1925,1021322617
low_income,1926,1014004093
low_income,1927,1017705820
low_income,1928,1019263084
low_income,1929,1013819877
low_income,1930,1034066209
low_income,1931,1040495446
low_income,1932,1065213945
low_income,1933,1090629615
low_income,1934,1096833294
low_income,1935,1067916801
low_income,1936,1062592100
low_income,1937,1074299997
low_income,1938,1091057881
low_income,1939,1092968144
low_income,1940,1110500208
low_income,1941,1119184383
low_income,1942,1138133903
low_income,1943,1144654757
low_income,1944,1178553411
low_income,1945,1204919088
low_income,1946,1219574629
low_income,1947,1222342584
low_income,1948,1209544443
low_income,1949,1214930594
low_income,1950,1237586458
low_income,1951,1182058130
low_income,1952,1185588600
low_income,1953,1167444372
low_income,1954,1199344224
low_income,1955,1189490342
low_income,1956,1187071117
low_income,1957,1200040012
low_income,1958,1218089480
low_income,1959,1240687551
low_income,1960,1255404099
low_income,1961,1315698184
low_income,1962,1322063483
low_income,1963,1313338918
low_income,1964,1302399750
low_income,1965,1342181915
low_income,1966,1376403046
low_income,1967,1413038739
low_income,1968,1439326308
low_income,1969,1439500087
low_income,1970,1423739010
low_income,1971,1448205773
low_income,1972,1510527056
low_income,1973,1423421140
low_income,1974,1453326248
low_income,1975,1461433174
low_income,1976,1524023021
low_income,1977,1532031359
low_income,1978,1527223576
low_income,1979,1582427694
low_income,1980,1589519611
low_income,1981,1656888177
low_income,1982,1661584255
low_income,1983,1648439939
low_income,1984,1603553996
low_income,1985,1570317189
low_income,1986,1493163637
low_income,1987,1642506977
low_income,1988,1587190811
low_income,1989,1778164473
low_income,1990,1784109539
low_income,1991,1794509524
low_income,1992,1767918614
low_income,1993,1648447321
low_income,1994,1615887412
low_income,1995,1557692827
low_income,1996,1508678670
low_income,1997,992494006
low_income,1998,1673322769
low_income,1999,1123888510
low_income,2000,1133045703
low_income,2001,1137120332
low_income,2002,1115866898
low_income,2003,1060327956
low_income,2004,1025431425
low_income,2005,990657348
low_income,2006,976215950
low_income,2007,510129174
low_income,2008,395274587
low_income,2009,362819654
low_income,2010,340618969
low_income,2011,337873793
low_income,2012,337478261
low_income,2013,330715219
low_income,2014,287732117
low_income,2015,294901760
low_income,2016,297475131
low_income,2017,317248923
low_income,2018,314442770
low_income,2019,294436895
low_income,2020,299231962
low_income,2021,291683339
low_income,2022,285139549
low_income,2023,265615605
low_income,2024,260415915
low_income,2025,243595315
low_income,2026,245671571
low_income,2027,273930307
low_income,2028,261943026
low_income,2029,255707985
low_income,2030,257947670
low_income,2031,259463712
low_income,2032,260400195
low_income,2033,260960197
low_income,2034,261298634
low_income,2035,261738060
low_income,2036,261905243
low_income,2037,246931552
low_income,2038,247061123
low_income,2039,246941930
low_income,2040,235311525
low_income,2041,234714234
low_income,2042,231132506
low_income,2043,230378348
low_income,2044,204914652
low_income,2045,203827972
low_income,2046,201550348
